C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
행정구역별(시도),계,1651561,0,00,A,In person,T10,DT_1JA1503,외국인,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Foreigner,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,215367,0,00,A,In person,T11,DT_1JA1503,중국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,531263,0,00,A,In person,T12,DT_1JA1503,중국(한국계),성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China (Korean-Chinese),By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,13798,0,00,A,In person,T13,DT_1JA1503,대만,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Taiwan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,18801,0,00,A,In person,T14,DT_1JA1503,일본,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Japan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,32704,0,00,A,In person,T15,DT_1JA1503,몽골,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Mongolia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,169177,0,00,A,In person,T16,DT_1JA1503,베트남,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Vietnam,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,47532,0,00,A,In person,T17,DT_1JA1503,필리핀,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Philippines,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,151104,0,00,A,In person,T18,DT_1JA1503,태국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Thailand,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,38890,0,00,A,In person,T19,DT_1JA1503,인도네시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Indonesia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,45144,0,00,A,In person,T20,DT_1JA1503,캄보디아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Cambodia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,25874,0,00,A,In person,T21,DT_1JA1503,미얀마,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Republic of the Union of Myanmar,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,24727,0,00,A,In person,T22,DT_1JA1503,스리랑카,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Sri Lanka,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,10550,0,00,A,In person,T23,DT_1JA1503,파키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Pakistan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,13555,0,00,A,In person,T24,DT_1JA1503,방글라데시,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Bangladesh,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,37346,0,00,A,In person,T25,DT_1JA1503,네팔,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Nepal,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,57998,0,00,A,In person,T26,DT_1JA1503,우즈베키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Uzbekistan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,25850,0,00,A,In person,T27,DT_1JA1503,카자흐스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Kazakhstan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,18615,0,00,A,In person,T28,DT_1JA1503,러시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Russia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,66003,0,00,A,In person,T29,DT_1JA1503,미국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,United States,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,13602,0,00,A,In person,T35,DT_1JA1503,캐나다,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Canada,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,93661,0,00,A,In person,T36,DT_1JA1503,기타,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Others,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),남자,945641,1,00,A,In person,T10,DT_1JA1503,외국인,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Foreigner,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,102160,1,00,A,In person,T11,DT_1JA1503,중국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,285723,1,00,A,In person,T12,DT_1JA1503,중국(한국계),성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China (Korean-Chinese),By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,6392,1,00,A,In person,T13,DT_1JA1503,대만,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Taiwan,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,3361,1,00,A,In person,T14,DT_1JA1503,일본,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Japan,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,16059,1,00,A,In person,T15,DT_1JA1503,몽골,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Mongolia,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,86345,1,00,A,In person,T16,DT_1JA1503,베트남,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Vietnam,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,26610,1,00,A,In person,T17,DT_1JA1503,필리핀,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Philippines,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,80124,1,00,A,In person,T18,DT_1JA1503,태국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Thailand,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,35118,1,00,A,In person,T19,DT_1JA1503,인도네시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Indonesia,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,30860,1,00,A,In person,T20,DT_1JA1503,캄보디아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Cambodia,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,24995,1,00,A,In person,T21,DT_1JA1503,미얀마,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Republic of the Union of Myanmar,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,23947,1,00,A,In person,T22,DT_1JA1503,스리랑카,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Sri Lanka,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,9225,1,00,A,In person,T23,DT_1JA1503,파키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Pakistan,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,12686,1,00,A,In person,T24,DT_1JA1503,방글라데시,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Bangladesh,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,33385,1,00,A,In person,T25,DT_1JA1503,네팔,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Nepal,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,39717,1,00,A,In person,T26,DT_1JA1503,우즈베키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Uzbekistan,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,16254,1,00,A,In person,T27,DT_1JA1503,카자흐스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Kazakhstan,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,10887,1,00,A,In person,T28,DT_1JA1503,러시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Russia,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,36927,1,00,A,In person,T29,DT_1JA1503,미국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,United States,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,6593,1,00,A,In person,T35,DT_1JA1503,캐나다,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Canada,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),남자,58273,1,00,A,In person,T36,DT_1JA1503,기타,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Others,By gender,Male,101,By administrative divisions,성별
행정구역별(시도),여자,705920,2,00,A,In person,T10,DT_1JA1503,외국인,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Foreigner,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,113207,2,00,A,In person,T11,DT_1JA1503,중국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,245540,2,00,A,In person,T12,DT_1JA1503,중국(한국계),성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,China (Korean-Chinese),By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,7406,2,00,A,In person,T13,DT_1JA1503,대만,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Taiwan,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,15440,2,00,A,In person,T14,DT_1JA1503,일본,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Japan,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,16645,2,00,A,In person,T15,DT_1JA1503,몽골,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Mongolia,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,82832,2,00,A,In person,T16,DT_1JA1503,베트남,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Vietnam,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,20922,2,00,A,In person,T17,DT_1JA1503,필리핀,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Philippines,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,70980,2,00,A,In person,T18,DT_1JA1503,태국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Thailand,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,3772,2,00,A,In person,T19,DT_1JA1503,인도네시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Indonesia,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,14284,2,00,A,In person,T20,DT_1JA1503,캄보디아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Cambodia,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,879,2,00,A,In person,T21,DT_1JA1503,미얀마,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Republic of the Union of Myanmar,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,780,2,00,A,In person,T22,DT_1JA1503,스리랑카,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Sri Lanka,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,1325,2,00,A,In person,T23,DT_1JA1503,파키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Pakistan,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,869,2,00,A,In person,T24,DT_1JA1503,방글라데시,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Bangladesh,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,3961,2,00,A,In person,T25,DT_1JA1503,네팔,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Nepal,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,18281,2,00,A,In person,T26,DT_1JA1503,우즈베키스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Uzbekistan,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,9596,2,00,A,In person,T27,DT_1JA1503,카자흐스탄,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Kazakhstan,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,7728,2,00,A,In person,T28,DT_1JA1503,러시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Russia,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,29076,2,00,A,In person,T29,DT_1JA1503,미국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,United States,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,7009,2,00,A,In person,T35,DT_1JA1503,캐나다,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Canada,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),여자,35388,2,00,A,In person,T36,DT_1JA1503,기타,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Whole country,전국,명,Others,By gender,Female,101,By administrative divisions,성별
행정구역별(시도),계,1188850,0,03,A,In person,T10,DT_1JA1503,외국인,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Foreigner,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,185944,0,03,A,In person,T11,DT_1JA1503,중국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,China,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,467334,0,03,A,In person,T12,DT_1JA1503,중국(한국계),성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,China (Korean-Chinese),By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,12972,0,03,A,In person,T13,DT_1JA1503,대만,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Taiwan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,14871,0,03,A,In person,T14,DT_1JA1503,일본,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Japan,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,23865,0,03,A,In person,T15,DT_1JA1503,몽골,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Mongolia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,105139,0,03,A,In person,T16,DT_1JA1503,베트남,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Vietnam,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,25871,0,03,A,In person,T17,DT_1JA1503,필리핀,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Philippines,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,70952,0,03,A,In person,T18,DT_1JA1503,태국,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Thailand,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,16962,0,03,A,In person,T19,DT_1JA1503,인도네시아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Indonesia,By gender,Total,101,By administrative divisions,성별
행정구역별(시도),계,14006,0,03,A,In person,T20,DT_1JA1503,캄보디아,성 및 현재 국적별 외국인 - 시도,2018,2019-08-23,Total for dongs,동부,명,Cambodia,By gender,Total,101,By administrative divisions,성별
