year,age_0_14_share,age_15_64_share,age_65_plus_share
2000,21.1,71.7,7.2
2001,20.8,71.7,7.5
2002,20.4,71.7,7.9
2003,20.0,71.8,8.2
2004,19.6,71.8,8.6
2005,19.1,71.9,9.0
2006,18.5,72.1,9.3
2007,17.9,72.3,9.8
2008,17.3,72.6,10.2
2009,16.7,72.8,10.5
2010,16.1,73.1,10.8
2011,15.6,73.4,11.0
2012,15.1,73.4,11.5
2013,14.7,73.4,11.9
2014,14.2,73.4,12.4
2015,13.8,73.4,12.8
2016,13.4,73.4,13.2
2017,13.1,73.2,13.8
2018,12.8,72.9,14.3
2019,12.5,72.7,14.9
2020,12.2,72.1,15.7
2021,11.9,71.6,16.6
2022,11.5,71.1,17.4
2023,11.0,70.7,18.2
2024,10.6,70.2,19.2
2025,10.2,69.5,20.3
2026,9.7,68.8,21.6
2027,9.2,68.3,22.5
2028,8.8,67.6,23.6
2029,8.5,67.2,24.4
2030,8.1,66.6,25.3
2031,7.8,66.0,26.2
2032,7.6,65.4,27.1
2033,7.4,64.6,27.9
2034,7.4,63.6,29.0
2035,7.4,62.7,29.9
2036,7.4,61.7,30.9
2037,7.4,60.7,31.8
2038,7.5,59.8,32.7
2039,7.6,58.8,33.6
2040,7.7,58.0,34.3
2041,7.9,57.3,34.9
2042,7.9,56.6,35.5
2043,8.0,56.0,36.0
2044,8.1,55.3,36.6
2045,8.1,54.6,37.3
2046,8.1,53.9,38.1
2047,8.1,53.2,38.8
2048,8.1,52.6,39.4
2049,8.0,52.2,39.8
2050,8.0,51.9,40.1
2051,7.9,51.6,40.5
2052,7.8,51.4,40.8
