year,child_share,older_share,aging_index,old_age_dependency_ratio,median_age,aging_index_change_from_2000
2000,21.1,7.2,34.3,10.1,31.8,0.0
2001,20.8,7.5,36.2,10.5,32.3,1.9
2002,20.4,7.9,38.6,11.0,32.9,4.3
2003,20.0,8.2,41.1,11.5,33.5,6.8
2004,19.6,8.6,43.8,12.0,34.1,9.5
2005,19.1,9.0,46.9,12.5,34.8,12.6
2006,18.5,9.3,50.4,13.0,35.4,16.1
2007,17.9,9.8,54.6,13.5,36.1,20.3
2008,17.3,10.2,58.8,14.0,36.7,24.5
2009,16.7,10.5,62.9,14.4,37.3,28.6
2010,16.1,10.8,67.3,14.8,37.9,33.0
2011,15.6,11.0,71.0,15.1,38.5,36.7
2012,15.1,11.5,76.1,15.7,39.1,41.8
2013,14.7,11.9,81.5,16.3,39.7,47.2
2014,14.2,12.4,87.0,16.9,40.3,52.7
2015,13.8,12.8,93.0,17.5,40.88,58.7
2016,13.4,13.2,98.4,18.0,41.4,64.1
2017,13.1,13.8,105.1,18.8,42.0,70.8
2018,12.8,14.3,111.7,19.6,42.6,77.4
2019,12.5,14.9,119.2,20.4,43.1,84.9
2020,12.2,15.7,129.3,21.8,43.7,95.0
2021,11.9,16.6,139.4,23.1,44.3,105.1
2022,11.5,17.4,151.0,24.4,44.9,116.7
2023,11.0,18.2,165.4,25.8,45.5,131.1
2024,10.6,19.2,181.2,27.4,46.1,146.9
2025,10.2,20.3,199.9,29.3,46.7,165.6
2026,9.7,21.6,222.7,31.3,47.3,188.4
2027,9.2,22.5,244.0,33.0,47.9,209.7
2028,8.8,23.6,267.6,34.8,48.5,233.3
2029,8.5,24.4,288.2,36.3,49.1,253.9
2030,8.1,25.3,312.0,38.0,49.7,277.7
2031,7.8,26.2,336.0,39.7,50.3,301.7
2032,7.6,27.1,356.8,41.4,50.9,322.5
2033,7.4,27.9,375.1,43.2,51.4,340.8
2034,7.4,29.0,393.1,45.5,52.0,358.8
2035,7.4,29.9,406.7,47.7,52.5,372.4
2036,7.4,30.9,418.7,50.1,53.0,384.4
2037,7.4,31.8,427.6,52.4,53.4,393.3
2038,7.5,32.7,434.6,54.7,53.9,400.3
2039,7.6,33.6,439.8,57.1,54.3,405.5
2040,7.7,34.3,442.2,59.1,54.6,407.9
2041,7.9,34.9,443.7,60.9,55.0,409.4
2042,7.9,35.5,446.0,62.6,55.4,411.7
2043,8.0,36.0,449.7,64.4,55.7,415.4
2044,8.1,36.6,454.6,66.2,56.0,420.3
2045,8.1,37.3,462.1,68.4,56.4,427.8
2046,8.1,38.1,470.5,70.7,56.7,436.2
2047,8.1,38.8,479.8,72.9,57.0,445.5
2048,8.1,39.4,488.6,74.9,57.3,454.3
2049,8.0,39.8,496.5,76.3,57.7,462.2
2050,8.0,40.1,504.0,77.3,58.1,469.7
2051,7.9,40.5,512.8,78.4,58.4,478.5
2052,7.8,40.8,522.4,79.3,58.8,488.1
