region_code,region,policy_basis,policy_source_url,birth_year,age0_year,age4_year,pop_0,pop_4,pop_decrease,retention_rate,decrease_ratio
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2013,2013,2017,350,225,125,64.29,35.71
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2014,2014,2018,329,204,125,62.01,37.99
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2015,2015,2019,282,189,93,67.02,32.98
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2016,2016,2020,263,155,108,58.94,41.06
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2017,2017,2021,205,145,60,70.73,29.27
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2018,2018,2022,190,131,59,68.95,31.05
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2019,2019,2023,188,148,40,78.72,21.28
46810,강진군,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2020,2020,2024,123,111,12,90.24,9.76
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2013,2013,2017,283,289,-6,102.12,-2.12
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2014,2014,2018,236,261,-25,110.59,-10.59
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2015,2015,2019,222,233,-11,104.95,-4.95
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2016,2016,2020,260,268,-8,103.08,-3.08
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2017,2017,2021,214,205,9,95.79,4.21
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2018,2018,2022,206,204,2,99.03,0.97
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2019,2019,2023,241,195,46,80.91,19.09
46770,고흥군,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2020,2020,2024,241,174,67,72.2,27.8
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2013,2013,2017,412,352,60,85.44,14.56
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2014,2014,2018,419,355,64,84.73,15.27
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2015,2015,2019,401,338,63,84.29,15.71
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2016,2016,2020,397,334,63,84.13,15.87
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2017,2017,2021,351,317,34,90.31,9.69
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2018,2018,2022,389,320,69,82.26,17.74
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2019,2019,2023,552,360,192,65.22,34.78
46870,영광군,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2020,2020,2024,534,391,143,73.22,26.78
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2013,2013,2017,201,189,12,94.03,5.97
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2014,2014,2018,199,173,26,86.93,13.07
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2015,2015,2019,192,189,3,98.44,1.56
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2016,2016,2020,171,160,11,93.57,6.43
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2017,2017,2021,170,155,15,91.18,8.82
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2018,2018,2022,130,126,4,96.92,3.08
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2019,2019,2023,157,149,8,94.9,5.1
46900,진도군,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2020,2020,2024,104,93,11,89.42,10.58
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2013,2013,2017,784,451,333,57.53,42.47
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2014,2014,2018,807,446,361,55.27,44.73
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2015,2015,2019,811,406,405,50.06,49.94
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2016,2016,2020,729,363,366,49.79,50.21
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2017,2017,2021,615,346,269,56.26,43.74
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2018,2018,2022,513,328,185,63.94,36.06
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2019,2019,2023,468,285,183,60.9,39.1
46820,해남군,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2020,2020,2024,366,252,114,68.85,31.15
