region_code,region,vital_region_code,policy_basis,policy_source_url,birth_year,age4_year,births,crude_birth_rate,crude_birth_implied_denominator,retention_rate,decrease_ratio,pop_0,pop_4
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2013,2017,363.0,9.1,39890.0,64.29,35.71,350,225
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2014,2018,349.0,8.8,39659.0,62.01,37.99,329,204
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2015,2019,301.0,7.7,39091.0,67.02,32.98,282,189
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2016,2020,270.0,7.1,38028.0,58.94,41.06,263,155
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2017,2021,222.0,6.0,37000.0,70.73,29.27,205,145
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2018,2022,194.0,5.4,35926.0,68.95,31.05,190,131
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2019,2023,189.0,5.3,35660.0,78.72,21.28,188,148
46810,강진군,36390,2025년 강진군 육아수당과 전남 출생기본수당을 합쳐 0-6세 월 60만원 지원,https://www.yna.co.kr/view/AKR20250121099200054,2020,2024,129.0,3.7,34865.0,90.24,9.76,123,111
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2013,2017,283.0,4.0,70750.0,102.12,-2.12,283,289
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2014,2018,251.0,3.6,69722.0,110.59,-10.59,236,261
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2015,2019,236.0,3.4,69412.0,104.95,-4.95,222,233
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2016,2020,270.0,4.0,67500.0,103.08,-3.08,260,268
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2017,2021,227.0,3.4,66765.0,95.79,4.21,214,205
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2018,2022,219.0,3.3,66364.0,99.03,0.97,206,204
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2019,2023,252.0,3.9,64615.0,80.91,19.09,241,195
46770,고흥군,36350,"출산장려금 첫째-셋째 1,080만원, 넷째 이상 1,440만원과 출생기본수당 운영",https://www.fnnews.com/news/202501061517133878,2020,2024,243.0,3.8,63947.0,72.2,27.8,241,174
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2013,2017,417.0,7.3,57123.0,85.44,14.56,412,352
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2014,2018,432.0,7.6,56842.0,84.73,15.27,419,355
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2015,2019,415.0,7.4,56081.0,84.29,15.71,401,338
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2016,2020,403.0,7.3,55205.0,84.13,15.87,397,334
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2017,2021,360.0,6.6,54545.0,90.31,9.69,351,317
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2018,2022,411.0,7.6,54079.0,82.26,17.74,389,320
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2019,2023,570.0,10.7,53271.0,65.22,34.78,552,360
46870,영광군,36440,2019년 결혼장려금 500만원 및 신생아 양육비 첫째 500만원 이상 확대,https://www.newsis.com/view/NISX20190121_0000536348,2020,2024,558.0,10.5,53143.0,73.22,26.78,534,391
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2013,2017,210.0,6.4,32812.0,94.03,5.97,201,189
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2014,2018,211.0,6.5,32462.0,86.93,13.07,199,173
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2015,2019,206.0,6.4,32188.0,98.44,1.56,192,189
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2016,2020,181.0,5.7,31754.0,93.57,6.43,171,160
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2017,2021,174.0,5.5,31636.0,91.18,8.82,170,155
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2018,2022,133.0,4.3,30930.0,96.92,3.08,130,126
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2019,2023,160.0,5.2,30769.0,94.9,5.1,157,149
46900,진도군,36470,"2023년부터 첫째·둘째 출산장려금 1,000만원, 셋째 2,000만원으로 상향",https://www.fnnews.com/news/202301051127005918,2020,2024,110.0,3.6,30556.0,89.42,10.58,104,93
46820,해남군,36400,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2013,2017,808.0,10.5,76952.0,57.53,42.47,784,451
46820,해남군,36400,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2014,2018,835.0,10.9,76606.0,55.27,44.73,807,446
46820,해남군,36400,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2015,2019,839.0,11.0,76273.0,50.06,49.94,811,406
46820,해남군,36400,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2016,2020,786.0,10.5,74857.0,49.79,50.21,729,363
46820,해남군,36400,"출생기본수당, 신생아 양육비, 임신·출산 지원을 결합한 생애초기 지원체계 운영",https://www.asiae.co.kr/article/2025010713084158881,2017,2021,640.0,8.7,73563.0,56.26,43.74,615,346
