year,region,life_satisfaction_positive_pct
2011,경기도,25.3
2012,경기도,32.8
2013,경기도,34.8
2014,경기도,42.7
2015,경기도,33.4
2016,경기도,42.8
2017,경기도,28.9
2018,경기도,39.0
2019,경기도,40.0
2020,경기도,44.3
2021,경기도,33.3
2022,경기도,42.6
2023,경기도,41.3
2024,경기도,35.7
2025,경기도,46.5
2011,서울특별시,27.2
2012,서울특별시,32.7
2013,서울특별시,35.8
2014,서울특별시,43.4
2015,서울특별시,36.6
2016,서울특별시,43.1
2017,서울특별시,32.3
2018,서울특별시,42.1
2019,서울특별시,40.6
2020,서울특별시,46.4
2021,서울특별시,34.1
2022,서울특별시,43.2
2023,서울특별시,41.8
2024,서울특별시,46.3
2025,서울특별시,44.2
2011,수도권,25.8
2012,수도권,32.4
2013,수도권,35.0
2014,수도권,43.0
2015,수도권,34.4
2016,수도권,42.5
2017,수도권,30.1
2018,수도권,40.3
2019,수도권,40.6
2020,수도권,44.9
2021,수도권,33.3
2022,수도권,42.5
2023,수도권,41.3
2024,수도권,38.7
2025,수도권,45.6
2011,인천광역시,22.6
2012,인천광역시,29.3
2013,인천광역시,32.7
2014,인천광역시,42.6
2015,인천광역시,31.3
2016,인천광역시,38.9
2017,인천광역시,27.7
2018,인천광역시,40.0
2019,인천광역시,43.6
2020,인천광역시,42.3
2021,인천광역시,31.1
2022,인천광역시,39.4
2023,인천광역시,39.8
2024,인천광역시,28.0
2025,인천광역시,46.0
2011,전국,24.1
2012,전국,33.3
2013,전국,34.1
2014,전국,42.2
2015,전국,33.3
2016,전국,42.4
2017,전국,29.7
2018,전국,40.8
2019,전국,39.1
2020,전국,42.7
2021,전국,34.0
2022,전국,43.3
2023,전국,42.2
2024,전국,40.1
2025,전국,45.3
