year,region_code,region,under40_owner_households,under40_nonowner_households,under40_homeownership_rate,under40_nonowner_rate,births,crude_birth_rate,marriages,crude_marriage_rate,capital_area
2015,11,서울특별시,273411.0,799401.0,25.49,74.51,83005.0,8.4,64193.0,6.5,True
2016,11,서울특별시,254579.0,805519.0,24.01,75.99,75536.0,7.7,57643.0,5.9,True
2017,11,서울특별시,255503.0,812659.0,23.92,76.08,65389.0,6.7,53776.0,5.5,True
2018,11,서울특별시,256389.0,831304.0,23.57,76.43,58074.0,6.0,52005.0,5.4,True
2019,11,서울특별시,245129.0,869069.0,22.0,78.0,53673.0,5.6,48261.0,5.0,True
2020,11,서울특별시,249473.0,909288.0,21.53,78.47,47445.0,5.0,44746.0,4.7,True
2021,11,서울특별시,259139.0,928238.0,21.82,78.18,45531.0,4.8,37012.0,3.9,True
2022,11,서울특별시,245898.0,957322.0,20.44,79.56,42602.0,4.5,35752.0,3.8,True
2023,11,서울특별시,228428.0,982832.0,18.86,81.14,39456.0,4.2,36324.0,3.9,True
2024,11,서울특별시,216129.0,992856.0,17.88,82.12,41605.0,4.5,42471.0,4.6,True
2015,23,인천광역시,99151.0,153060.0,39.31,60.69,25491.0,8.8,17118.0,5.9,True
2016,23,인천광역시,94822.0,155747.0,37.84,62.16,23609.0,8.1,16092.0,5.5,True
2017,23,인천광역시,93515.0,155686.0,37.53,62.47,20445.0,7.0,15235.0,5.2,True
2018,23,인천광역시,92558.0,152523.0,37.77,62.23,20087.0,6.9,14850.0,5.1,True
2019,23,인천광역시,87661.0,162706.0,35.01,64.99,18522.0,6.3,13401.0,4.6,True
2020,23,인천광역시,83257.0,171949.0,32.62,67.38,16040.0,5.5,11574.0,4.0,True
2021,23,인천광역시,85261.0,181283.0,31.99,68.01,14947.0,5.1,10881.0,3.7,True
2022,23,인천광역시,81168.0,187603.0,30.2,69.8,14464.0,4.9,10849.0,3.7,True
2023,23,인천광역시,78025.0,192131.0,28.88,71.12,13659.0,4.6,11621.0,3.9,True
2024,23,인천광역시,76287.0,195362.0,28.08,71.92,15236.0,5.1,13223.0,4.4,True
2015,31,경기도,393713.0,710809.0,35.65,64.35,113495.0,9.2,73950.0,6.0,True
2016,31,경기도,376497.0,719601.0,34.35,65.65,105643.0,8.4,70052.0,5.6,True
2017,31,경기도,378294.0,726140.0,34.25,65.75,94088.0,7.4,66429.0,5.2,True
2018,31,경기도,391313.0,744986.0,34.44,65.56,88175.0,6.9,66877.0,5.2,True
2019,31,경기도,394007.0,774347.0,33.72,66.28,83198.0,6.4,62356.0,4.8,True
2020,31,경기도,394006.0,823391.0,32.36,67.64,77737.0,5.9,57814.0,4.4,True
2021,31,경기도,407827.0,858138.0,32.21,67.79,76139.0,5.7,54658.0,4.1,True
2022,31,경기도,386732.0,877466.0,30.59,69.41,75323.0,5.6,54178.0,4.0,True
2023,31,경기도,377726.0,858655.0,30.55,69.45,68817.0,5.1,54221.0,4.0,True
2024,31,경기도,374224.0,857416.0,30.38,69.62,71285.0,5.2,62629.0,4.6,True
