year,childcare_children,childcare_facilities,children_per_facility
2000,686000,19276.0,35.59
2001,734192,20097.0,36.53
2002,800991,22147.0,36.17
2003,858345,24142.0,35.55
2004,930252,26903.0,34.58
2005,989390,28367.0,34.88
2006,1040361,29233.0,35.59
2007,1099933,30856.0,35.65
2008,1135502,33499.0,33.9
2009,1175049,35550.0,33.05
2010,1279910,38021.0,33.66
2011,1348729,39842.0,33.85
2012,1487361,42527.0,34.97
2013,1486980,43770.0,33.97
2014,1496671,43742.0,34.22
2015,1452813,42517.0,34.17
2016,1451215,41084.0,35.32
2017,1450243,40238.0,36.04
2018,1415742,39171.0,36.14
2019,1365085,37371.0,36.53
2020,1244396,35352.0,35.2
2021,1184716,33246.0,35.63
2022,1095450,30923.0,35.43
2023,1011813,28954.0,34.95
2024,941303,27387.0,34.37
