year,type_code,type,childcare_facilities
1990,02,국·공립,360.0
1990,03,사회복지법인,
1990,04,법인·단체 등,39.0
1990,05,민간,1500.0
1990,06,가정,
1990,07,협동,20.0
1990,08,직장,
1991,02,국·공립,503.0
1991,03,사회복지법인,
1991,04,법인·단체 등,1237.0
1991,05,민간,1931.0
1991,06,가정,
1991,07,협동,19.0
1991,08,직장,
1992,02,국·공립,720.0
1992,03,사회복지법인,425.0
1992,04,법인·단체 등,1383.0
1992,05,민간,1957.0
1992,06,가정,
1992,07,협동,28.0
1992,08,직장,
1993,02,국·공립,837.0
1993,03,사회복지법인,624.0
1993,04,법인·단체 등,19.0
1993,05,민간,1776.0
1993,06,가정,2205.0
1993,07,협동,
1993,08,직장,29.0
1994,02,국·공립,983.0
1994,03,사회복지법인,807.0
1994,04,법인·단체 등,17.0
1994,05,민간,2267.0
1994,06,가정,2864.0
1994,07,협동,
1994,08,직장,37.0
1995,02,국·공립,1029.0
1995,03,사회복지법인,928.0
1995,04,법인·단체 등,22.0
1995,05,민간,3175.0
1995,06,가정,3844.0
1995,07,협동,
1995,08,직장,87.0
1996,02,국·공립,1079.0
1996,03,사회복지법인,1280.0
1996,04,법인·단체 등,69.0
1996,05,민간,4688.0
1996,06,가정,4865.0
1996,07,협동,
1996,08,직장,117.0
1997,02,국·공립,1158.0
1997,03,사회복지법인,1634.0
1997,04,법인·단체 등,150.0
1997,05,민간,6388.0
1997,06,가정,5887.0
1997,07,협동,
1997,08,직장,158.0
1998,02,국·공립,1258.0
1998,03,사회복지법인,1927.0
1998,04,법인·단체 등,227.0
1998,05,민간,7468.0
1998,06,가정,6541.0
1998,07,협동,
1998,08,직장,184.0
1999,02,국·공립,1300.0
1999,03,사회복지법인,1965.0
1999,04,법인·단체 등,266.0
1999,05,민간,8327.0
1999,06,가정,6703.0
1999,07,협동,
1999,08,직장,207.0
2000,02,국·공립,1295.0
2000,03,사회복지법인,2010.0
2000,04,법인·단체 등,324.0
2000,05,민간,8970.0
2000,06,가정,6473.0
2000,07,협동,
2000,08,직장,204.0
2001,02,국·공립,1306.0
2001,03,사회복지법인,1991.0
2001,04,법인·단체 등,313.0
2001,05,민간,9490.0
2001,06,가정,6801.0
2001,07,협동,
2001,08,직장,196.0
2002,02,국·공립,1330.0
2002,03,사회복지법인,1633.0
2002,04,법인·단체 등,575.0
2002,05,민간,10471.0
2002,06,가정,7939.0
2002,07,협동,
2002,08,직장,199.0
2003,02,국·공립,1329.0
2003,03,사회복지법인,1632.0
2003,04,법인·단체 등,787.0
2003,05,민간,11225.0
2003,06,가정,8933.0
2003,07,협동,
2003,08,직장,236.0
2004,02,국·공립,1349.0
2004,03,사회복지법인,1537.0
2004,04,법인·단체 등,966.0
2004,05,민간,12225.0
2004,06,가정,10583.0
2004,07,협동,
2004,08,직장,243.0
2005,02,국·공립,1473.0
2005,03,사회복지법인,1495.0
2005,04,법인·단체 등,979.0
2005,05,민간,12769.0
2005,06,가정,11346.0
2005,07,협동,42.0
2005,08,직장,263.0
2006,02,국·공립,1643.0
2006,03,사회복지법인,1475.0
2006,04,법인·단체 등,1066.0
2006,05,민간,12864.0
2006,06,가정,11828.0
2006,07,협동,59.0
2006,08,직장,298.0
2007,02,국·공립,1748.0
2007,03,사회복지법인,1460.0
2007,04,법인·단체 등,1002.0
2007,05,민간,13081.0
2007,06,가정,13184.0
2007,07,협동,61.0
2007,08,직장,320.0
2008,02,국·공립,1826.0
2008,03,사회복지법인,1458.0
2008,04,법인·단체 등,969.0
2008,05,민간,13306.0
2008,06,가정,15525.0
2008,07,협동,65.0
2008,08,직장,350.0
2009,02,국·공립,1917.0
2009,03,사회복지법인,1470.0
2009,04,법인·단체 등,935.0
2009,05,민간,13433.0
2009,06,가정,17359.0
2009,07,협동,66.0
2009,08,직장,370.0
2010,02,국·공립,2034.0
2010,03,사회복지법인,1468.0
2010,04,법인·단체 등,888.0
2010,05,민간,13789.0
2010,06,가정,19367.0
2010,07,협동,74.0
2010,08,직장,401.0
2011,02,국·공립,2116.0
2011,03,사회복지법인,1462.0
2011,04,법인·단체 등,870.0
2011,05,민간,14134.0
2011,06,가정,20722.0
2011,07,협동,89.0
2011,08,직장,449.0
2012,02,국·공립,2203.0
2012,03,사회복지법인,1444.0
2012,04,법인·단체 등,869.0
2012,05,민간,14440.0
2012,06,가정,22935.0
2012,07,협동,113.0
2012,08,직장,523.0
2013,02,국·공립,2332.0
2013,03,사회복지법인,1439.0
2013,04,법인·단체 등,868.0
2013,05,민간,14751.0
2013,06,가정,23632.0
2013,07,협동,129.0
2013,08,직장,619.0
2014,02,국·공립,2489.0
2014,03,사회복지법인,1420.0
2014,04,법인·단체 등,852.0
2014,05,민간,14822.0
2014,06,가정,23318.0
2014,07,협동,149.0
2014,08,직장,692.0
2015,02,국·공립,2629.0
2015,03,사회복지법인,1414.0
2015,04,법인·단체 등,834.0
2015,05,민간,14626.0
2015,06,가정,22074.0
2015,07,협동,155.0
2015,08,직장,785.0
2016,02,국·공립,2859.0
2016,03,사회복지법인,1402.0
2016,04,법인·단체 등,804.0
2016,05,민간,14316.0
2016,06,가정,20598.0
2016,07,협동,157.0
2016,08,직장,948.0
2017,02,국·공립,3157.0
2017,03,사회복지법인,1392.0
2017,04,법인·단체 등,771.0
2017,05,민간,14045.0
2017,06,가정,19656.0
2017,07,협동,164.0
2017,08,직장,1053.0
2018,02,국·공립,3602.0
2018,03,사회복지법인,1377.0
2018,04,법인·단체 등,748.0
2018,05,민간,13518.0
2018,06,가정,18651.0
2018,07,협동,164.0
2018,08,직장,1111.0
2019,02,국·공립,4324.0
2019,03,사회복지법인,1343.0
2019,04,법인·단체 등,707.0
2019,05,민간,12568.0
2019,06,가정,17117.0
2019,07,협동,159.0
2019,08,직장,1153.0
2020,02,국·공립,4958.0
