year,type_code,type,childcare_facilities,childcare_children,children_per_facility,total_facilities,total_children,facility_share,children_share
2000,02,국·공립,1295.0,99666,76.96,19276.0,686000,6.72,14.53
2000,03,사회복지법인,2010.0,157993,78.6,19276.0,686000,10.43,23.03
2000,04,법인·단체 등,324.0,15949,49.23,19276.0,686000,1.68,2.32
2000,05,민간,8970.0,336625,37.53,19276.0,686000,46.53,49.07
2000,06,가정,6473.0,67960,10.5,19276.0,686000,33.58,9.91
2000,08,직장,204.0,7807,38.27,19276.0,686000,1.06,1.14
2001,02,국·공립,1306.0,102118,78.19,20097.0,734192,6.5,13.91
2001,03,사회복지법인,1991.0,161419,81.07,20097.0,734192,9.91,21.99
2001,04,법인·단체 등,313.0,16483,52.66,20097.0,734192,1.56,2.25
2001,05,민간,9490.0,369044,38.89,20097.0,734192,47.22,50.27
2001,06,가정,6801.0,77247,11.36,20097.0,734192,33.84,10.52
2001,08,직장,196.0,7881,40.21,20097.0,734192,0.98,1.07
2002,02,국·공립,1330.0,103351,77.71,22147.0,800991,6.01,12.9
2002,03,사회복지법인,1633.0,142035,86.98,22147.0,800991,7.37,17.73
2002,04,법인·단체 등,575.0,30289,52.68,22147.0,800991,2.6,3.78
2002,05,민간,10471.0,425647,40.65,22147.0,800991,47.28,53.14
2002,06,가정,7939.0,90939,11.45,22147.0,800991,35.85,11.35
2002,08,직장,199.0,8730,43.87,22147.0,800991,0.9,1.09
2003,02,국·공립,1329.0,103474,77.86,24142.0,858345,5.5,12.06
2003,03,사회복지법인,1632.0,140994,86.39,24142.0,858345,6.76,16.43
2003,04,법인·단체 등,787.0,37911,48.17,24142.0,858345,3.26,4.42
2003,05,민간,11225.0,461640,41.13,24142.0,858345,46.5,53.78
2003,06,가정,8933.0,103935,11.63,24142.0,858345,37.0,12.11
2003,08,직장,236.0,10391,44.03,24142.0,858345,0.98,1.21
2004,02,국·공립,1349.0,107335,79.57,26903.0,930252,5.01,11.54
2004,03,사회복지법인,1537.0,135531,88.18,26903.0,930252,5.71,14.57
2004,04,법인·단체 등,966.0,48414,50.12,26903.0,930252,3.59,5.2
2004,05,민간,12225.0,507398,41.5,26903.0,930252,45.44,54.54
2004,06,가정,10583.0,119787,11.32,26903.0,930252,39.34,12.88
2004,08,직장,243.0,11787,48.51,26903.0,930252,0.9,1.27
2005,02,국·공립,1473.0,111911,75.97,28367.0,989390,5.19,11.31
2005,03,사회복지법인,1495.0,125820,84.16,28367.0,989390,5.27,12.72
2005,04,법인·단체 등,979.0,56374,57.58,28367.0,989390,3.45,5.7
2005,05,민간,12769.0,552360,43.26,28367.0,989390,45.01,55.83
2005,06,가정,11346.0,129007,11.37,28367.0,989390,40.0,13.04
2005,07,협동,42.0,933,22.21,28367.0,989390,0.15,0.09
2005,08,직장,263.0,12985,49.37,28367.0,989390,0.93,1.31
2006,02,국·공립,1643.0,114657,69.79,29233.0,1040361,5.62,11.02
2006,03,사회복지법인,1475.0,120551,81.73,29233.0,1040361,5.05,11.59
2006,04,법인·단체 등,1066.0,58808,55.17,29233.0,1040361,3.65,5.65
2006,05,민간,12864.0,582329,45.27,29233.0,1040361,44.01,55.97
2006,06,가정,11828.0,148240,12.53,29233.0,1040361,40.46,14.25
2006,07,협동,59.0,1238,20.98,29233.0,1040361,0.2,0.12
2006,08,직장,298.0,14538,48.79,29233.0,1040361,1.02,1.4
2007,02,국·공립,1748.0,119141,68.16,30856.0,1099933,5.67,10.83
2007,03,사회복지법인,1460.0,118211,80.97,30856.0,1099933,4.73,10.75
2007,04,법인·단체 등,1002.0,55906,55.79,30856.0,1099933,3.25,5.08
2007,05,민간,13081.0,612484,46.82,30856.0,1099933,42.39,55.68
2007,06,가정,13184.0,177623,13.47,30856.0,1099933,42.73,16.15
2007,07,협동,61.0,1444,23.67,30856.0,1099933,0.2,0.13
2007,08,직장,320.0,15124,47.26,30856.0,1099933,1.04,1.37
2008,02,국·공립,1826.0,123405,67.58,33499.0,1135502,5.45,10.87
2008,03,사회복지법인,1458.0,113894,78.12,33499.0,1135502,4.35,10.03
2008,04,법인·단체 등,969.0,53818,55.54,33499.0,1135502,2.89,4.74
2008,05,민간,13306.0,615647,46.27,33499.0,1135502,39.72,54.22
2008,06,가정,15525.0,210438,13.55,33499.0,1135502,46.34,18.53
2008,07,협동,65.0,1491,22.94,33499.0,1135502,0.19,0.13
2008,08,직장,350.0,16809,48.03,33499.0,1135502,1.04,1.48
2009,02,국·공립,1917.0,129656,67.63,35550.0,1175049,5.39,11.03
2009,03,사회복지법인,1470.0,112338,76.42,35550.0,1175049,4.14,9.56
2009,04,법인·단체 등,935.0,52718,56.38,35550.0,1175049,2.63,4.49
2009,05,민간,13433.0,623045,46.38,35550.0,1175049,37.79,53.02
2009,06,가정,17359.0,236843,13.64,35550.0,1175049,48.83,20.16
2009,07,협동,66.0,1655,25.08,35550.0,1175049,0.19,0.14
2009,08,직장,370.0,18794,50.79,35550.0,1175049,1.04,1.6
2010,02,국·공립,2034.0,137604,67.65,38021.0,1279910,5.35,10.75
2010,03,사회복지법인,1468.0,114054,77.69,38021.0,1279910,3.86,8.91
2010,04,법인·단체 등,888.0,51126,57.57,38021.0,1279910,2.34,3.99
2010,05,민간,13789.0,671891,48.73,38021.0,1279910,36.27,52.5
2010,06,가정,19367.0,281436,14.53,38021.0,1279910,50.94,21.99
2010,07,협동,74.0,1898,25.65,38021.0,1279910,0.19,0.15
2010,08,직장,401.0,21901,54.62,38021.0,1279910,1.05,1.71
2011,02,국·공립,2116.0,143035,67.6,39842.0,1348729,5.31,10.61
2011,03,사회복지법인,1462.0,112688,77.08,39842.0,1348729,3.67,8.36
2011,04,법인·단체 등,870.0,50676,58.25,39842.0,1348729,2.18,3.76
2011,05,민간,14134.0,706647,50.0,39842.0,1348729,35.48,52.39
2011,06,가정,20722.0,308410,14.88,39842.0,1348729,52.01,22.87
2011,07,협동,89.0,2286,25.69,39842.0,1348729,0.22,0.17
2011,08,직장,449.0,24987,55.65,39842.0,1348729,1.13,1.85
2012,02,국·공립,2203.0,149677,67.94,42527.0,1487361,5.18,10.06
2012,03,사회복지법인,1444.0,113049,78.29,42527.0,1487361,3.4,7.6
2012,04,법인·단체 등,869.0,51914,59.74,42527.0,1487361,2.04,3.49
2012,05,민간,14440.0,768256,53.2,42527.0,1487361,33.95,51.65
2012,06,가정,22935.0,371671,16.21,42527.0,1487361,53.93,24.99
2012,07,협동,113.0,2913,25.78,42527.0,1487361,0.27,0.2
2012,08,직장,523.0,29881,57.13,42527.0,1487361,1.23,2.01
2013,02,국·공립,2332.0,154465,66.24,43770.0,1486980,5.33,10.39
2013,03,사회복지법인,1439.0,108834,75.63,43770.0,1486980,3.29,7.32
2013,04,법인·단체 등,868.0,51684,59.54,43770.0,1486980,1.98,3.48
2013,05,민간,14751.0,770179,52.21,43770.0,1486980,33.7,51.79
2013,06,가정,23632.0,364113,15.41,43770.0,1486980,53.99,24.49
2013,07,협동,129.0,3226,25.01,43770.0,1486980,0.29,0.22
2013,08,직장,619.0,34479,55.7,43770.0,1486980,1.41,2.32
2014,02,국·공립,2489.0,159241,63.98,43742.0,1496671,5.69,10.64
2014,03,사회복지법인,1420.0,104552,73.63,43742.0,1496671,3.25,6.99
2014,04,법인·단체 등,852.0,49175,57.72,43742.0,1496671,1.95,3.29
2014,05,민간,14822.0,775414,52.32,43742.0,1496671,33.89,51.81
2014,06,가정,23318.0,365250,15.66,43742.0,1496671,53.31,24.4
2014,07,협동,149.0,3774,25.33,43742.0,1496671,0.34,0.25
2014,08,직장,692.0,39265,56.74,43742.0,1496671,1.58,2.62
2015,02,국·공립,2629.0,165743,63.04,42517.0,1452813,6.18,11.41
2015,03,사회복지법인,1414.0,99715,70.52,42517.0,1452813,3.33,6.86
2015,04,법인·단체 등,834.0,46858,56.18,42517.0,1452813,1.96,3.23
2015,05,민간,14626.0,747598,51.11,42517.0,1452813,34.4,51.46
2015,06,가정,22074.0,344007,15.58,42517.0,1452813,51.92,23.68
2015,07,협동,155.0,4127,26.63,42517.0,1452813,0.36,0.28
2015,08,직장,785.0,44765,57.03,42517.0,1452813,1.85,3.08
2016,02,국·공립,2859.0,175929,61.54,41084.0,1451215,6.96,12.12
2016,03,사회복지법인,1402.0,99113,70.69,41084.0,1451215,3.41,6.83
2016,04,법인·단체 등,804.0,45374,56.44,41084.0,1451215,1.96,3.13
2016,05,민간,14316.0,745663,52.09,41084.0,1451215,34.85,51.38
2016,06,가정,20598.0,328594,15.95,41084.0,1451215,50.14,22.64
2016,07,협동,157.0,4240,27.01,41084.0,1451215,0.38,0.29
2016,08,직장,948.0,52302,55.17,41084.0,1451215,2.31,3.6
2017,02,국·공립,3157.0,186916,59.21,40238.0,1450243,7.85,12.89
2017,03,사회복지법인,1392.0,96794,69.54,40238.0,1450243,3.46,6.67
2017,04,법인·단체 등,771.0,43404,56.3,40238.0,1450243,1.92,2.99
2017,05,민간,14045.0,738559,52.59,40238.0,1450243,34.9,50.93
2017,06,가정,19656.0,321608,16.36,40238.0,1450243,48.85,22.18
2017,07,협동,164.0,4508,27.49,40238.0,1450243,0.41,0.31
2017,08,직장,1053.0,58454,55.51,40238.0,1450243,2.62,4.03
2018,02,국·공립,3602.0,200783,55.74,39171.0,1415742,9.2,14.18
2018,03,사회복지법인,1377.0,92787,67.38,39171.0,1415742,3.52,6.55
2018,04,법인·단체 등,748.0,41298,55.21,39171.0,1415742,1.91,2.92
2018,05,민간,13518.0,711209,52.61,39171.0,1415742,34.51,50.24
2018,06,가정,18651.0,302674,16.23,39171.0,1415742,47.61,21.38
2018,07,협동,164.0,4360,26.59,39171.0,1415742,0.42,0.31
2018,08,직장,1111.0,62631,56.37,39171.0,1415742,2.84,4.42
2019,02,국·공립,4324.0,232123,53.68,37371.0,1365085,11.57,17.0
2019,03,사회복지법인,1343.0,86775,64.61,37371.0,1365085,3.59,6.36
2019,04,법인·단체 등,707.0,38538,54.51,37371.0,1365085,1.89,2.82
2019,05,민간,12568.0,664106,52.84,37371.0,1365085,33.63,48.65
2019,06,가정,17117.0,273399,15.97,37371.0,1365085,45.8,20.03
2019,07,협동,159.0,4121,25.92,37371.0,1365085,0.43,0.3
2019,08,직장,1153.0,66023,57.26,37371.0,1365085,3.09,4.84
2020,02,국·공립,4958.0,253251,51.08,35352.0,1244396,14.02,20.35
2020,03,사회복지법인,1316.0,78322,59.52,35352.0,1244396,3.72,6.29
2020,04,법인·단체 등,671.0,34066,50.77,35352.0,1244396,1.9,2.74
2020,05,민간,11510.0,578196,50.23,35352.0,1244396,32.56,46.46
2020,06,가정,15529.0,230444,14.84,35352.0,1244396,43.93,18.52
2020,07,협동,152.0,3716,24.45,35352.0,1244396,0.43,0.3
2020,08,직장,1216.0,66401,54.61,35352.0,1244396,3.44,5.34
2021,02,국·공립,5437.0,268967,49.47,33246.0,1184716,16.35,22.7
2021,03,사회복지법인,1285.0,72085,56.1,33246.0,1184716,3.87,6.08
2021,04,법인·단체 등,640.0,30998,48.43,33246.0,1184716,1.93,2.62
2021,05,민간,10603.0,535428,50.5,33246.0,1184716,31.89,45.19
2021,06,가정,13891.0,208842,15.03,33246.0,1184716,41.78,17.63
2021,07,협동,142.0,3465,24.4,33246.0,1184716,0.43,0.29
2021,08,직장,1248.0,64931,52.03,33246.0,1184716,3.75,5.48
2022,02,국·공립,5801.0,276670,47.69,30923.0,1095450,18.76,25.26
2022,03,사회복지법인,1254.0,64503,51.44,30923.0,1095450,4.06,5.89
2022,04,법인·단체 등,610.0,27743,45.48,30923.0,1095450,1.97,2.53
2022,05,민간,9726.0,477628,49.11,30923.0,1095450,31.45,43.6
2022,06,가정,12109.0,184053,15.2,30923.0,1095450,39.16,16.8
2022,07,협동,132.0,3203,24.27,30923.0,1095450,0.43,0.29
2022,08,직장,1291.0,61650,47.75,30923.0,1095450,4.17,5.63
2023,02,국·공립,6187.0,286487,46.3,28954.0,1011813,21.37,28.31
2023,03,사회복지법인,1206.0,56812,47.11,28954.0,1011813,4.17,5.61
2023,04,법인·단체 등,551.0,24010,43.58,28954.0,1011813,1.9,2.37
2023,05,민간,8886.0,420219,47.29,28954.0,1011813,30.69,41.53
2023,06,가정,10692.0,159864,14.95,28954.0,1011813,36.93,15.8
2023,07,협동,124.0,2851,22.99,28954.0,1011813,0.43,0.28
2023,08,직장,1308.0,61570,47.07,28954.0,1011813,4.52,6.09
2024,02,국·공립,6521.0,293049,44.94,27387.0,941303,23.81,31.13
2024,03,사회복지법인,1171.0,50377,43.02,27387.0,941303,4.28,5.35
2024,04,법인·단체 등,507.0,20778,40.98,27387.0,941303,1.85,2.21
2024,05,민간,8181.0,373524,45.66,27387.0,941303,29.87,39.68
2024,06,가정,9586.0,139172,14.52,27387.0,941303,35.0,14.79
2024,07,협동,116.0,2662,22.95,27387.0,941303,0.42,0.28
2024,08,직장,1305.0,61741,47.31,27387.0,941303,4.77,6.56
