year,time_type_code,time_type,special_childcare_children,childcare_children,share_of_total_children_pct
2002,6,야간 연장,2665,800991,0.333
2003,6,야간 연장,3993,858345,0.465
2004,6,야간 연장,5761,930252,0.619
2005,6,야간 연장,13679,989390,1.383
2006,6,야간 연장,16261,1040361,1.563
2007,6,야간 연장,17084,1099933,1.553
2008,6,야간 연장,16278,1135502,1.434
2009,6,야간 연장,22848,1175049,1.944
2010,6,야간 연장,31371,1279910,2.451
2011,6,야간 연장,39313,1348729,2.915
2012,6,야간 연장,39287,1487361,2.641
2013,6,야간 연장,41052,1486980,2.761
2014,6,야간 연장,41655,1496671,2.783
2015,6,야간 연장,39445,1452813,2.715
2016,6,야간 연장,36367,1451215,2.506
2017,6,야간 연장,34722,1450243,2.394
2018,6,야간 연장,31069,1415742,2.195
2019,6,야간 연장,29908,1365085,2.191
2020,6,야간 연장,19662,1244396,1.58
2021,6,야간 연장,19949,1184716,1.684
2022,6,야간 연장,19071,1095450,1.741
2023,6,야간 연장,19930,1011813,1.97
2024,6,야간 연장,20460,941303,2.174
2002,7,휴일,313,800991,0.039
2003,7,휴일,412,858345,0.048
2004,7,휴일,457,930252,0.049
2005,7,휴일,716,989390,0.072
2006,7,휴일,877,1040361,0.084
2007,7,휴일,488,1099933,0.044
2008,7,휴일,13,1135502,0.001
2009,7,휴일,503,1175049,0.043
2010,7,휴일,558,1279910,0.044
2011,7,휴일,461,1348729,0.034
2012,7,휴일,572,1487361,0.038
2013,7,휴일,489,1486980,0.033
2014,7,휴일,477,1496671,0.032
2015,7,휴일,470,1452813,0.032
2016,7,휴일,311,1451215,0.021
2017,7,휴일,280,1450243,0.019
2018,7,휴일,200,1415742,0.014
2019,7,휴일,143,1365085,0.01
2020,7,휴일,124,1244396,0.01
2021,7,휴일,112,1184716,0.009
2022,7,휴일,111,1095450,0.01
2023,7,휴일,140,1011813,0.014
2024,7,휴일,261,941303,0.028
2007,8,24시간,698,1099933,0.063
2008,8,24시간,546,1135502,0.048
2009,8,24시간,520,1175049,0.044
2010,8,24시간,945,1279910,0.074
2011,8,24시간,900,1348729,0.067
2012,8,24시간,871,1487361,0.059
2013,8,24시간,853,1486980,0.057
2014,8,24시간,867,1496671,0.058
2015,8,24시간,777,1452813,0.053
2016,8,24시간,701,1451215,0.048
2017,8,24시간,695,1450243,0.048
2018,8,24시간,583,1415742,0.041
2019,8,24시간,549,1365085,0.04
2020,8,24시간,478,1244396,0.038
2021,8,24시간,401,1184716,0.034
2022,8,24시간,368,1095450,0.034
2023,8,24시간,363,1011813,0.036
2024,8,24시간,337,941303,0.036
