year,time_type_code,time_type,special_childcare_facilities,childcare_facilities,share_of_total_facilities_pct
2002,6,야간 연장,287,22147.0,1.3
2002,7,휴일,43,22147.0,0.19
2003,6,야간 연장,485,24142.0,2.01
2003,7,휴일,43,24142.0,0.18
2004,6,야간 연장,715,26903.0,2.66
2004,7,휴일,60,26903.0,0.22
2005,6,야간 연장,1344,28367.0,4.74
2005,7,휴일,113,28367.0,0.4
2006,6,야간 연장,2029,29233.0,6.94
2006,7,휴일,93,29233.0,0.32
2007,6,야간 연장,2867,30856.0,9.29
2007,7,휴일,81,30856.0,0.26
2007,8,24시간,148,30856.0,0.48
2008,6,야간 연장,3910,33499.0,11.67
2008,7,휴일,152,33499.0,0.45
2008,8,24시간,125,33499.0,0.37
2009,6,야간 연장,4666,35550.0,13.13
2009,7,휴일,166,35550.0,0.47
2009,8,24시간,138,35550.0,0.39
2010,6,야간 연장,6535,38021.0,17.19
2010,7,휴일,207,38021.0,0.54
2010,8,24시간,230,38021.0,0.6
2011,6,야간 연장,7844,39842.0,19.69
2011,7,휴일,238,39842.0,0.6
2011,8,24시간,268,39842.0,0.67
2012,6,야간 연장,8164,42527.0,19.2
2012,7,휴일,287,42527.0,0.67
2012,8,24시간,268,42527.0,0.63
2013,6,야간 연장,8705,43770.0,19.89
2013,7,휴일,269,43770.0,0.61
2013,8,24시간,284,43770.0,0.65
2014,6,야간 연장,8644,43742.0,19.76
2014,7,휴일,294,43742.0,0.67
2014,8,24시간,277,43742.0,0.63
2015,6,야간 연장,8582,42517.0,20.18
2015,7,휴일,305,42517.0,0.72
2015,8,24시간,268,42517.0,0.63
2016,6,야간 연장,8296,41084.0,20.19
2016,7,휴일,300,41084.0,0.73
2016,8,24시간,258,41084.0,0.63
2017,6,야간 연장,8245,40238.0,20.49
2017,7,휴일,306,40238.0,0.76
2017,8,24시간,252,40238.0,0.63
2018,6,야간 연장,8104,39171.0,20.69
2018,7,휴일,309,39171.0,0.79
2018,8,24시간,234,39171.0,0.6
2019,6,야간 연장,8015,37371.0,21.45
2019,7,휴일,312,37371.0,0.83
2019,8,24시간,153,37371.0,0.41
2020,6,야간 연장,7769,35352.0,21.98
2020,7,휴일,298,35352.0,0.84
2020,8,24시간,152,35352.0,0.43
2021,6,야간 연장,7671,33246.0,23.07
2021,7,휴일,283,33246.0,0.85
2021,8,24시간,145,33246.0,0.44
2022,6,야간 연장,7499,30923.0,24.25
2022,7,휴일,279,30923.0,0.9
2022,8,24시간,135,30923.0,0.44
2023,6,야간 연장,7309,28954.0,25.24
2023,7,휴일,271,28954.0,0.94
2023,8,24시간,126,28954.0,0.44
2024,6,야간 연장,7345,27387.0,26.82
2024,7,휴일,267,27387.0,0.97
2024,8,24시간,127,27387.0,0.46
