year,type_code,type,childcare_children
2000,02,국·공립,99666
2000,03,사회복지법인,157993
2000,04,법인·단체 등,15949
2000,05,민간,336625
2000,06,가정,67960
2000,08,직장,7807
2001,02,국·공립,102118
2001,03,사회복지법인,161419
2001,04,법인·단체 등,16483
2001,05,민간,369044
2001,06,가정,77247
2001,08,직장,7881
2002,02,국·공립,103351
2002,03,사회복지법인,142035
2002,04,법인·단체 등,30289
2002,05,민간,425647
2002,06,가정,90939
2002,08,직장,8730
2003,02,국·공립,103474
2003,03,사회복지법인,140994
2003,04,법인·단체 등,37911
2003,05,민간,461640
2003,06,가정,103935
2003,08,직장,10391
2004,02,국·공립,107335
2004,03,사회복지법인,135531
2004,04,법인·단체 등,48414
2004,05,민간,507398
2004,06,가정,119787
2004,08,직장,11787
2005,02,국·공립,111911
2005,03,사회복지법인,125820
2005,04,법인·단체 등,56374
2005,05,민간,552360
2005,06,가정,129007
2005,07,협동,933
2005,08,직장,12985
2006,02,국·공립,114657
2006,03,사회복지법인,120551
2006,04,법인·단체 등,58808
2006,05,민간,582329
2006,06,가정,148240
2006,07,협동,1238
2006,08,직장,14538
2007,02,국·공립,119141
2007,03,사회복지법인,118211
2007,04,법인·단체 등,55906
2007,05,민간,612484
2007,06,가정,177623
2007,07,협동,1444
2007,08,직장,15124
2008,02,국·공립,123405
2008,03,사회복지법인,113894
2008,04,법인·단체 등,53818
2008,05,민간,615647
2008,06,가정,210438
2008,07,협동,1491
2008,08,직장,16809
2009,02,국·공립,129656
2009,03,사회복지법인,112338
2009,04,법인·단체 등,52718
2009,05,민간,623045
2009,06,가정,236843
2009,07,협동,1655
2009,08,직장,18794
2010,02,국·공립,137604
2010,03,사회복지법인,114054
2010,04,법인·단체 등,51126
2010,05,민간,671891
2010,06,가정,281436
2010,07,협동,1898
2010,08,직장,21901
2011,02,국·공립,143035
2011,03,사회복지법인,112688
2011,04,법인·단체 등,50676
2011,05,민간,706647
2011,06,가정,308410
2011,07,협동,2286
2011,08,직장,24987
2012,02,국·공립,149677
2012,03,사회복지법인,113049
2012,04,법인·단체 등,51914
2012,05,민간,768256
2012,06,가정,371671
2012,07,협동,2913
2012,08,직장,29881
2013,02,국·공립,154465
2013,03,사회복지법인,108834
2013,04,법인·단체 등,51684
2013,05,민간,770179
2013,06,가정,364113
2013,07,협동,3226
2013,08,직장,34479
2014,02,국·공립,159241
2014,03,사회복지법인,104552
2014,04,법인·단체 등,49175
2014,05,민간,775414
2014,06,가정,365250
2014,07,협동,3774
2014,08,직장,39265
2015,02,국·공립,165743
2015,03,사회복지법인,99715
2015,04,법인·단체 등,46858
2015,05,민간,747598
2015,06,가정,344007
2015,07,협동,4127
2015,08,직장,44765
2016,02,국·공립,175929
2016,03,사회복지법인,99113
2016,04,법인·단체 등,45374
2016,05,민간,745663
2016,06,가정,328594
2016,07,협동,4240
2016,08,직장,52302
2017,02,국·공립,186916
2017,03,사회복지법인,96794
2017,04,법인·단체 등,43404
2017,05,민간,738559
2017,06,가정,321608
2017,07,협동,4508
2017,08,직장,58454
2018,02,국·공립,200783
2018,03,사회복지법인,92787
2018,04,법인·단체 등,41298
2018,05,민간,711209
2018,06,가정,302674
2018,07,협동,4360
2018,08,직장,62631
2019,02,국·공립,232123
2019,03,사회복지법인,86775
2019,04,법인·단체 등,38538
2019,05,민간,664106
2019,06,가정,273399
2019,07,협동,4121
2019,08,직장,66023
2020,02,국·공립,253251
2020,03,사회복지법인,78322
2020,04,법인·단체 등,34066
2020,05,민간,578196
2020,06,가정,230444
2020,07,협동,3716
2020,08,직장,66401
2021,02,국·공립,268967
2021,03,사회복지법인,72085
2021,04,법인·단체 등,30998
2021,05,민간,535428
2021,06,가정,208842
2021,07,협동,3465
2021,08,직장,64931
2022,02,국·공립,276670
2022,03,사회복지법인,64503
2022,04,법인·단체 등,27743
2022,05,민간,477628
2022,06,가정,184053
2022,07,협동,3203
2022,08,직장,61650
2023,02,국·공립,286487
2023,03,사회복지법인,56812
2023,04,법인·단체 등,24010
2023,05,민간,420219
2023,06,가정,159864
2023,07,협동,2851
2023,08,직장,61570
2024,02,국·공립,293049
2024,03,사회복지법인,50377
2024,04,법인·단체 등,20778
2024,05,민간,373524
2024,06,가정,139172
2024,07,협동,2662
2024,08,직장,61741
