year,sex,decade,divorce_rate_per_1000
2000,남편,30대,11.1
2000,아내,30대,12.4
2000,남편,40대,11.05
2000,아내,40대,8.5
2001,남편,30대,12.4
2001,아내,30대,13.9
2001,남편,40대,12.1
2001,아내,40대,9.45
2002,남편,30대,13.1
2002,아내,30대,14.9
2002,남편,40대,12.9
2002,아내,40대,10.25
2003,남편,30대,14.6
2003,아내,30대,16.85
2003,남편,40대,14.95
2003,아내,40대,12.5
2004,남편,30대,11.9
2004,아내,30대,13.85
2004,남편,40대,12.3
2004,아내,40대,10.3
2005,남편,30대,10.65
2005,아내,30대,12.6
2005,남편,40대,11.2
2005,아내,40대,9.55
2006,남편,30대,10.0
2006,아내,30대,12.05
2006,남편,40대,10.85
2006,아내,40대,9.35
2007,남편,30대,9.55
2007,아내,30대,11.65
2007,남편,40대,10.85
2007,아내,40대,9.55
2008,남편,30대,8.15
2008,아내,30대,10.2
2008,남편,40대,10.0
2008,아내,40대,9.2
2009,남편,30대,8.45
2009,아내,30대,10.85
2009,남편,40대,10.85
2009,아내,40대,9.95
2010,남편,30대,7.6
2010,아내,30대,9.95
2010,남편,40대,10.2
2010,아내,40대,9.5
2011,남편,30대,7.2
2011,아내,30대,9.4
2011,남편,40대,9.8
2011,아내,40대,9.3
2012,남편,30대,6.9
2012,아내,30대,9.15
2012,남편,40대,9.75
2012,아내,40대,9.5
2013,남편,30대,6.8
2013,아내,30대,9.05
2013,남편,40대,9.75
2013,아내,40대,9.65
2014,남편,30대,6.75
2014,아내,30대,8.95
2014,남편,40대,9.7
2014,아내,40대,9.65
2015,남편,30대,6.25
2015,아내,30대,8.3
2015,남편,40대,8.95
2015,아내,40대,9.15
2016,남편,30대,6.25
2016,아내,30대,8.15
2016,남편,40대,8.6
2016,아내,40대,8.9
2017,남편,30대,6.15
2017,아내,30대,8.2
2017,남편,40대,8.3
2017,아내,40대,8.55
2018,남편,30대,5.95
2018,아내,30대,8.15
2018,남편,40대,8.3
2018,아내,40대,8.7
2019,남편,30대,5.95
2019,아내,30대,8.1
2019,남편,40대,8.35
2019,아내,40대,8.9
2020,남편,30대,5.5
2020,아내,30대,7.55
2020,남편,40대,7.9
2020,아내,40대,8.45
2021,남편,30대,5.05
2021,아내,30대,7.05
2021,남편,40대,7.25
2021,아내,40대,7.75
2022,남편,30대,4.75
2022,아내,30대,6.75
2022,남편,40대,6.85
2022,아내,40대,7.35
2023,남편,30대,4.75
2023,아내,30대,6.85
2023,남편,40대,7.15
2023,아내,40대,7.55
2024,남편,30대,4.45
2024,아내,30대,6.55
2024,남편,40대,7.15
2024,아내,40대,7.65
