year,population_55_79_thousand,longest_job_total_thousand,left_main_job_thousand,avg_tenure_years,avg_exit_age,left_main_job_share_pct,job_search_experience_thousand,job_search_experience_pct,employment_experience_thousand,employment_experience_pct,future_work_hope_thousand,future_work_hope_pct,desired_work_age
2010,9430.2,8953.9,6515.3,19.7,53.0,72.8,1493.1,15.8,5685.3,60.3,5668.8,60.1,
2011,9891.1,9396.0,6703.7,19.7,52.9,71.3,1549.3,15.7,5884.9,59.5,5802.7,58.7,71.2
2012,10348.4,9817.9,6927.7,19.5,52.9,70.6,1593.9,15.4,6255.6,60.4,6126.1,59.2,71.4
2013,10844.5,10297.1,7348.3,19.0,53.1,71.4,1625.2,15.0,6676.1,61.6,6515.1,60.1,71.5
2014,11327.8,,,,,,1736.0,15.3,7029.4,62.1,7045.5,62.2,71.6
2015,11806.5,,,,,,1895.5,16.1,7356.3,62.3,7231.0,61.2,71.6
2016,12437.9,,,,,,1954.0,15.7,7801.4,62.7,7648.6,61.5,71.9
2017,12929.4,,,,,,2051.7,15.9,8006.2,61.9,8098.0,62.6,72.2
2018,13441.1,12922.5,8962.2,17.2,52.5,69.4,2273.5,16.9,8583.7,63.9,8612.5,64.1,72.3
2019,13843.2,13333.1,9470.6,17.3,52.6,71.0,2599.3,18.8,8982.0,64.9,8979.0,64.9,72.5
2020,14271.4,13782.6,9799.5,17.3,52.8,71.1,2729.1,19.1,9323.3,65.3,9620.0,67.4,72.7
2021,14765.6,14307.2,10355.2,17.1,52.8,72.4,3109.6,21.1,9561.7,64.8,10059.0,68.1,72.9
2022,15097.6,14706.6,10507.3,17.2,52.7,71.4,3118.6,20.7,9905.4,65.6,10347.7,68.5,72.9
2023,15481.3,15047.9,10653.6,17.3,52.7,70.8,3058.8,19.8,10323.0,66.7,10601.5,68.5,73.0
2024,15982.9,15598.6,10969.7,17.5,52.8,70.3,3305.1,20.7,10744.0,67.2,11092.5,69.4,73.3
2025,16446.8,16049.2,11226.2,17.6,52.9,69.9,3297.0,20.0,11073.5,67.3,11420.8,69.4,73.4
