year,dimension,category,total_employed_thousand,elderly_55_79_thousand,age_55_64_thousand,age_65_79_thousand,elderly_share_of_category_pct,category_share_of_elderly_pct,table_id
2025,산업,사회간접자본 및 기타서비스업(D~U),23231.3,7469.8,4682.5,2787.3,32.2,76.4,DT_1DE8061_11
2025,산업,- 사업·개인·공공서비스 및 기타(E L~U),11931.0,4008.2,2259.7,1748.6,33.6,41.0,DT_1DE8061_11
2025,산업,- 도소매·음식숙박업(G I),5568.8,1656.3,1128.3,528.0,29.7,16.9,DT_1DE8061_11
2025,산업,광·제조업(BC),4443.2,1233.6,937.0,296.6,27.8,12.6,DT_1DE8061_11
2025,산업,- 제조업(C),4434.7,1227.0,932.6,294.5,27.7,12.5,DT_1DE8061_11
2025,산업,농림어업(A),1485.3,1076.4,367.6,708.7,72.5,11.0,DT_1DE8061_11
2025,산업,- 전기·운수·통신·금융업(D H J K),3768.0,1009.9,702.1,307.8,26.8,10.3,DT_1DE8061_11
2025,산업,- 건설업(F),1963.5,795.3,592.4,202.9,40.5,8.1,DT_1DE8061_11
2025,직업,서비스·판매 종사자,6162.2,2273.4,1520.2,753.3,36.9,23.2,DT_1DE8063_8
2025,직업,단순노무 종사자,4069.9,2213.6,951.1,1262.6,54.4,22.6,DT_1DE8063_8
2025,직업,기능·기계조작 종사자,5242.6,2132.6,1492.1,640.5,40.7,21.8,DT_1DE8063_8
2025,직업,관리자·전문가,7123.4,1276.8,992.6,284.1,17.9,13.1,DT_1DE8063_8
2025,직업,농림어업 숙련종사자,1458.2,1073.2,370.0,703.2,73.6,11.0,DT_1DE8063_8
2025,직업,사무 종사자,5103.4,810.0,661.0,149.0,15.9,8.3,DT_1DE8063_8
