item,age_group,unit,first_year,first_value,latest_year,latest_value,change_abs,change_pct
고령층인구,55~79세 전체,천명,2010,9430.2,2025,16446.8,7016.6,74.4
고령층인구,55~64세,천명,2010,4989.1,2025,8418.2,3429.1,68.7
고령층인구,65~79세,천명,2010,4441.1,2025,8028.6,3587.5,80.8
경제활동인구,55~79세 전체,천명,2010,4872.1,2025,10010.0,5137.9,105.5
경제활동인구,55~64세,천명,2010,3224.0,2025,6143.6,2919.6,90.6
경제활동인구,65~79세,천명,2010,1648.2,2025,3866.4,2218.2,134.6
취업자,55~79세 전체,천명,2010,4767.0,2025,9779.7,5012.7,105.2
취업자,55~64세,천명,2010,3136.7,2025,5987.1,2850.4,90.9
취업자,65~79세,천명,2010,1630.4,2025,3792.6,2162.2,132.6
고용률,55~79세 전체,%,2010,50.6,2025,59.5,8.9,17.6
고용률,55~64세,%,2010,62.9,2025,71.1,8.2,13.0
고용률,65~79세,%,2010,36.7,2025,47.2,10.5,28.6
실업자,55~79세 전체,천명,2010,105.1,2025,230.3,125.2,119.1
실업자,55~64세,천명,2010,87.3,2025,156.5,69.2,79.3
실업자,65~79세,천명,2010,17.8,2025,73.7,55.9,314.0
실업률,55~79세 전체,%,2010,2.2,2025,2.3,0.1,4.5
실업률,55~64세,%,2010,2.7,2025,2.5,-0.2,-7.4
실업률,65~79세,%,2010,1.1,2025,1.9,0.8,72.7
비경제활동인구,55~79세 전체,천명,2010,4558.1,2025,6436.8,1878.7,41.2
비경제활동인구,55~64세,천명,2010,1765.1,2025,2274.6,509.5,28.9
비경제활동인구,65~79세,천명,2010,2793.0,2025,4162.2,1369.2,49.0
