year,sex,amount_band,pension_recipients_thousand,share_of_recipients
2008,계,10만원 미만,840.7,32.0
2008,계,10~25만원 미만,968.4,36.9
2008,계,25~50만원 미만,321.9,12.3
2008,계,50~100만원 미만,147.4,5.6
2008,계,100~150만원 미만,93.7,3.6
2008,계,150만원 이상,251.4,9.6
2009,계,10만원 미만,1770.3,44.6
2009,계,10~25만원 미만,1150.2,29.0
2009,계,25~50만원 미만,446.7,11.3
2009,계,50~100만원 미만,206.4,5.2
2009,계,100~150만원 미만,113.8,2.9
2009,계,150만원 이상,278.2,7.0
2010,계,10만원 미만,1977.2,45.6
2010,계,10~25만원 미만,1164.6,26.9
2010,계,25~50만원 미만,550.4,12.7
2010,계,50~100만원 미만,241.4,5.6
2010,계,100~150만원 미만,108.1,2.5
2010,계,150만원 이상,292.9,6.8
2011,계,10만원 미만,2074.4,44.7
2011,계,10~25만원 미만,1172.3,25.3
2011,계,25~50만원 미만,642.5,13.8
2011,계,50~100만원 미만,307.0,6.6
2011,계,100~150만원 미만,128.5,2.8
2011,계,150만원 이상,316.3,6.8
2012,계,10만원 미만,2025.6,43.1
2012,계,10~25만원 미만,1108.4,23.6
2012,계,25~50만원 미만,748.3,15.9
2012,계,50~100만원 미만,346.0,7.4
2012,계,100~150만원 미만,127.6,2.7
2012,계,150만원 이상,339.6,7.2
2013,계,10만원 미만,1821.1,36.1
2013,계,10~25만원 미만,1377.8,27.3
2013,계,25~50만원 미만,919.7,18.2
2013,계,50~100만원 미만,417.9,8.3
2013,계,100~150만원 미만,154.5,3.1
2013,계,150만원 이상,354.7,7.0
2014,계,10만원 미만,1078.3,21.1
2014,계,10~25만원 미만,2006.8,39.2
2014,계,25~50만원 미만,1009.5,19.7
2014,계,50~100만원 미만,463.6,9.1
2014,계,100~150만원 미만,167.0,3.3
2014,계,150만원 이상,391.7,7.7
2015,계,10만원 미만,80.5,1.5
2015,계,10~25만원 미만,2648.0,50.4
2015,계,25~50만원 미만,1307.9,24.9
2015,계,50~100만원 미만,580.9,11.1
2015,계,100~150만원 미만,192.9,3.7
2015,계,150만원 이상,440.4,8.4
2016,계,10만원 미만,49.8,0.9
2016,계,10~25만원 미만,2648.6,49.2
2016,계,25~50만원 미만,1337.2,24.9
2016,계,50~100만원 미만,660.5,12.3
2016,계,100~150만원 미만,212.7,4.0
2016,계,150만원 이상,470.0,8.7
2017,계,10만원 미만,38.8,0.7
2017,계,10~25만원 미만,2685.7,46.6
2017,계,25~50만원 미만,1509.5,26.2
2017,계,50~100만원 미만,788.7,13.7
2017,계,100~150만원 미만,230.8,4.0
2017,계,150만원 이상,509.3,8.8
2018,계,10만원 미만,34.9,0.6
2018,계,10~25만원 미만,2629.0,42.9
2018,계,25~50만원 미만,1689.8,27.6
2018,계,50~100만원 미만,918.1,15.0
2018,계,100~150만원 미만,261.4,4.3
2018,계,150만원 이상,595.6,9.7
2019,계,10만원 미만,23.3,0.4
2019,계,10~25만원 미만,1717.8,27.0
2019,계,25~50만원 미만,2539.3,39.9
2019,계,50~100만원 미만,1175.5,18.5
2019,계,100~150만원 미만,288.6,4.5
2019,계,150만원 이상,613.5,9.6
2020,계,10만원 미만,15.2,0.2
2020,계,10~25만원 미만,1542.5,23.0
2020,계,25~50만원 미만,2728.4,40.6
2020,계,50~100만원 미만,1440.4,21.4
2020,계,100~150만원 미만,345.4,5.1
2020,계,150만원 이상,643.8,9.6
2021,계,10만원 미만,15.3,0.2
2021,계,10~25만원 미만,1571.4,22.0
2021,계,25~50만원 미만,2719.2,38.1
2021,계,50~100만원 미만,1778.3,24.9
2021,계,100~150만원 미만,383.1,5.4
2021,계,150만원 이상,677.0,9.5
2022,계,10만원 미만,14.4,0.2
2022,계,10~25만원 미만,817.3,11.0
2022,계,25~50만원 미만,3309.0,44.4
2022,계,50~100만원 미만,2051.8,27.5
2022,계,100~150만원 미만,466.1,6.3
2022,계,150만원 이상,797.9,10.7
2023,계,10만원 미만,8.6,0.1
2023,계,10~25만원 미만,463.6,6.0
2023,계,25~50만원 미만,3468.1,44.6
2023,계,50~100만원 미만,2347.4,30.2
2023,계,100~150만원 미만,546.0,7.0
2023,계,150만원 이상,949.0,12.2
2024,계,10만원 미만,15.7,0.2
2024,계,10~25만원 미만,355.8,4.4
2024,계,25~50만원 미만,3365.9,41.2
2024,계,50~100만원 미만,2645.6,32.4
2024,계,100~150만원 미만,661.4,8.1
2024,계,150만원 이상,1132.3,13.8
2025,계,10만원 미만,14.7,0.2
2025,계,10~25만원 미만,338.1,4.0
2025,계,25~50만원 미만,3271.6,38.5
2025,계,50~100만원 미만,2813.7,33.1
2025,계,100~150만원 미만,753.5,8.9
2025,계,150만원 이상,1310.1,15.4
2008,남자,10만원 미만,275.3,18.3
2008,남자,10~25만원 미만,601.8,39.9
2008,남자,25~50만원 미만,235.8,15.6
2008,남자,50~100만원 미만,106.1,7.0
2008,남자,100~150만원 미만,68.7,4.6
2008,남자,150만원 이상,219.2,14.5
2009,남자,10만원 미만,555.7,26.9
2009,남자,10~25만원 미만,702.8,34.0
2009,남자,25~50만원 미만,318.4,15.4
2009,남자,50~100만원 미만,170.3,8.2
2009,남자,100~150만원 미만,80.8,3.9
2009,남자,150만원 이상,238.8,11.6
2010,남자,10만원 미만,609.4,27.2
2010,남자,10~25만원 미만,690.3,30.8
2010,남자,25~50만원 미만,390.7,17.4
2010,남자,50~100만원 미만,210.1,9.4
2010,남자,100~150만원 미만,76.1,3.4
2010,남자,150만원 이상,262.5,11.7
2011,남자,10만원 미만,645.6,26.8
2011,남자,10~25만원 미만,676.6,28.1
2011,남자,25~50만원 미만,457.0,19.0
2011,남자,50~100만원 미만,263.8,11.0
2011,남자,100~150만원 미만,89.3,3.7
2011,남자,150만원 이상,273.2,11.4
2012,남자,10만원 미만,620.1,25.4
2012,남자,10~25만원 미만,618.2,25.3
2012,남자,25~50만원 미만,524.3,21.4
2012,남자,50~100만원 미만,303.3,12.4
2012,남자,100~150만원 미만,86.6,3.5
2012,남자,150만원 이상,293.2,12.0
2013,남자,10만원 미만,569.0,21.7
2013,남자,10~25만원 미만,647.9,24.7
2013,남자,25~50만원 미만,631.0,24.1
2013,남자,50~100만원 미만,368.2,14.1
2013,남자,100~150만원 미만,105.5,4.0
2013,남자,150만원 이상,298.6,11.4
2014,남자,10만원 미만,376.7,14.3
2014,남자,10~25만원 미만,746.0,28.3
2014,남자,25~50만원 미만,680.8,25.8
2014,남자,50~100만원 미만,390.6,14.8
2014,남자,100~150만원 미만,115.4,4.4
2014,남자,150만원 이상,326.2,12.4
2015,남자,10만원 미만,29.4,1.1
2015,남자,10~25만원 미만,911.7,33.6
2015,남자,25~50만원 미만,795.1,29.3
2015,남자,50~100만원 미만,466.3,17.2
2015,남자,100~150만원 미만,146.0,5.4
2015,남자,150만원 이상,364.0,13.4
2016,남자,10만원 미만,15.4,0.6
2016,남자,10~25만원 미만,904.5,32.4
2016,남자,25~50만원 미만,790.5,28.4
2016,남자,50~100만원 미만,521.4,18.7
2016,남자,100~150만원 미만,168.9,6.1
2016,남자,150만원 이상,386.8,13.9
2017,남자,10만원 미만,10.9,0.4
2017,남자,10~25만원 미만,903.2,30.1
2017,남자,25~50만원 미만,890.0,29.7
2017,남자,50~100만원 미만,610.8,20.4
2017,남자,100~150만원 미만,177.9,5.9
2017,남자,150만원 이상,406.1,13.5
2018,남자,10만원 미만,14.5,0.5
2018,남자,10~25만원 미만,820.6,25.8
2018,남자,25~50만원 미만,945.1,29.7
2018,남자,50~100만원 미만,725.1,22.8
2018,남자,100~150만원 미만,203.7,6.4
2018,남자,150만원 이상,472.4,14.8
2019,남자,10만원 미만,7.8,0.2
2019,남자,10~25만원 미만,536.4,16.3
2019,남자,25~50만원 미만,1154.6,35.2
2019,남자,50~100만원 미만,875.8,26.7
2019,남자,100~150만원 미만,229.3,7.0
2019,남자,150만원 이상,479.4,14.6
2020,남자,10만원 미만,4.8,0.1
2020,남자,10~25만원 미만,465.1,13.5
2020,남자,25~50만원 미만,1158.4,33.6
2020,남자,50~100만원 미만,1019.6,29.5
2020,남자,100~150만원 미만,289.3,8.4
2020,남자,150만원 이상,514.4,14.9
2021,남자,10만원 미만,5.7,0.2
2021,남자,10~25만원 미만,434.1,11.8
2021,남자,25~50만원 미만,1140.7,31.1
2021,남자,50~100만원 미만,1219.9,33.2
2021,남자,100~150만원 미만,315.3,8.6
2021,남자,150만원 이상,553.7,15.1
2022,남자,10만원 미만,7.2,0.2
2022,남자,10~25만원 미만,218.5,5.6
2022,남자,25~50만원 미만,1231.6,31.8
2022,남자,50~100만원 미만,1365.8,35.3
2022,남자,100~150만원 미만,388.8,10.1
2022,남자,150만원 이상,655.7,17.0
2023,남자,10만원 미만,2.5,0.1
2023,남자,10~25만원 미만,130.7,3.3
2023,남자,25~50만원 미만,1169.6,29.3
2023,남자,50~100만원 미만,1467.6,36.7
2023,남자,100~150만원 미만,457.9,11.5
2023,남자,150만원 이상,766.6,19.2
2024,남자,10만원 미만,5.9,0.1
2024,남자,10~25만원 미만,97.1,2.3
2024,남자,25~50만원 미만,1118.7,26.7
2024,남자,50~100만원 미만,1539.8,36.8
2024,남자,100~150만원 미만,537.7,12.8
2024,남자,150만원 이상,889.9,21.2
2025,남자,10만원 미만,6.2,0.1
2025,남자,10~25만원 미만,90.6,2.1
2025,남자,25~50만원 미만,1062.1,24.3
2025,남자,50~100만원 미만,1568.1,35.9
2025,남자,100~150만원 미만,607.3,13.9
2025,남자,150만원 이상,1035.3,23.7
2008,여자,10만원 미만,565.4,50.6
2008,여자,10~25만원 미만,366.6,32.8
2008,여자,25~50만원 미만,86.2,7.7
2008,여자,50~100만원 미만,41.3,3.7
2008,여자,100~150만원 미만,25.0,2.2
2008,여자,150만원 이상,32.3,2.9
2009,여자,10만원 미만,1214.6,64.0
2009,여자,10~25만원 미만,447.4,23.6
2009,여자,25~50만원 미만,128.4,6.8
2009,여자,50~100만원 미만,36.0,1.9
2009,여자,100~150만원 미만,33.0,1.7
2009,여자,150만원 이상,39.4,2.1
2010,여자,10만원 미만,1367.9,65.3
2010,여자,10~25만원 미만,474.3,22.6
2010,여자,25~50만원 미만,159.7,7.6
2010,여자,50~100만원 미만,31.2,1.5
2010,여자,100~150만원 미만,32.0,1.5
2010,여자,150만원 이상,30.5,1.5
2011,여자,10만원 미만,1428.9,63.9
2011,여자,10~25만원 미만,495.6,22.2
2011,여자,25~50만원 미만,185.5,8.3
2011,여자,50~100만원 미만,43.2,1.9
2011,여자,100~150만원 미만,39.2,1.8
2011,여자,150만원 이상,43.0,1.9
2012,여자,10만원 미만,1405.5,62.5
2012,여자,10~25만원 미만,490.1,21.8
2012,여자,25~50만원 미만,224.0,10.0
2012,여자,50~100만원 미만,42.6,1.9
2012,여자,100~150만원 미만,41.1,1.8
2012,여자,150만원 이상,46.4,2.1
2013,여자,10만원 미만,1252.1,51.6
2013,여자,10~25만원 미만,729.9,30.1
2013,여자,25~50만원 미만,288.7,11.9
2013,여자,50~100만원 미만,49.6,2.0
2013,여자,100~150만원 미만,48.9,2.0
2013,여자,150만원 이상,56.2,2.3
2014,여자,10만원 미만,701.6,28.3
2014,여자,10~25만원 미만,1260.8,50.8
2014,여자,25~50만원 미만,328.7,13.2
2014,여자,50~100만원 미만,73.0,2.9
2014,여자,100~150만원 미만,51.5,2.1
2014,여자,150만원 이상,65.5,2.6
2015,여자,10만원 미만,51.0,2.0
2015,여자,10~25만원 미만,1736.3,68.4
2015,여자,25~50만원 미만,512.8,20.2
2015,여자,50~100만원 미만,114.6,4.5
2015,여자,100~150만원 미만,46.8,1.8
2015,여자,150만원 이상,76.3,3.0
2016,여자,10만원 미만,34.4,1.3
2016,여자,10~25만원 미만,1744.0,67.3
2016,여자,25~50만원 미만,546.7,21.1
2016,여자,50~100만원 미만,139.1,5.4
2016,여자,100~150만원 미만,43.8,1.7
2016,여자,150만원 이상,83.2,3.2
2017,여자,10만원 미만,27.9,1.0
2017,여자,10~25만원 미만,1782.6,64.5
2017,여자,25~50만원 미만,619.4,22.4
2017,여자,50~100만원 미만,177.9,6.4
2017,여자,100~150만원 미만,52.9,1.9
2017,여자,150만원 이상,103.2,3.7
2018,여자,10만원 미만,20.4,0.7
2018,여자,10~25만원 미만,1808.5,61.4
2018,여자,25~50만원 미만,744.6,25.3
2018,여자,50~100만원 미만,193.0,6.5
2018,여자,100~150만원 미만,57.7,2.0
2018,여자,150만원 이상,123.2,4.2
2019,여자,10만원 미만,15.5,0.5
2019,여자,10~25만원 미만,1181.4,38.4
2019,여자,25~50만원 미만,1384.7,45.0
2019,여자,50~100만원 미만,299.7,9.7
2019,여자,100~150만원 미만,59.3,1.9
2019,여자,150만원 이상,134.1,4.4
2020,여자,10만원 미만,10.4,0.3
2020,여자,10~25만원 미만,1077.5,33.0
2020,여자,25~50만원 미만,1570.0,48.1
2020,여자,50~100만원 미만,420.8,12.9
2020,여자,100~150만원 미만,56.1,1.7
2020,여자,150만원 이상,129.4,4.0
2021,여자,10만원 미만,9.6,0.3
2021,여자,10~25만원 미만,1137.3,32.7
2021,여자,25~50만원 미만,1578.6,45.4
2021,여자,50~100만원 미만,558.3,16.1
2021,여자,100~150만원 미만,67.8,2.0
2021,여자,150만원 이상,123.2,3.5
2022,여자,10만원 미만,7.3,0.2
2022,여자,10~25만원 미만,598.8,16.7
2022,여자,25~50만원 미만,2077.4,57.9
2022,여자,50~100만원 미만,686.0,19.1
2022,여자,100~150만원 미만,77.3,2.2
2022,여자,150만원 이상,142.2,4.0
2023,여자,10만원 미만,6.1,0.2
2023,여자,10~25만원 미만,332.9,8.8
2023,여자,25~50만원 미만,2298.5,60.7
2023,여자,50~100만원 미만,879.8,23.2
2023,여자,100~150만원 미만,88.1,2.3
2023,여자,150만원 이상,182.4,4.8
2024,여자,10만원 미만,9.8,0.2
2024,여자,10~25만원 미만,258.8,6.5
2024,여자,25~50만원 미만,2247.2,56.4
2024,여자,50~100만원 미만,1105.8,27.7
2024,여자,100~150만원 미만,123.8,3.1
2024,여자,150만원 이상,242.4,6.1
2025,여자,10만원 미만,8.5,0.2
2025,여자,10~25만원 미만,247.6,6.0
2025,여자,25~50만원 미만,2209.5,53.5
2025,여자,50~100만원 미만,1245.6,30.1
2025,여자,100~150만원 미만,146.2,3.5
2025,여자,150만원 이상,274.8,6.7
