year,month,sex,total_population_thousand,pension_recipients_thousand,recipient_rate,average_amount_10k_krw,low_amount_under25_share,high_amount_100plus_share,under_10_thousand,amount_10_25_thousand,amount_25_50_thousand,amount_50_100_thousand,amount_100_150_thousand,amount_150_plus_thousand
2008,5,계,8750.9,2623.5,30.0,40.8,69.0,13.2,840.7,968.4,321.9,147.4,93.7,251.4
2009,5,계,9040.3,3965.6,43.9,33.9,73.6,9.9,1770.3,1150.2,446.7,206.4,113.8,278.2
2010,5,계,9430.2,4334.6,46.0,34.6,72.5,9.3,1977.2,1164.6,550.4,241.4,108.1,292.9
2011,5,계,9891.1,4641.0,46.9,35.7,70.0,9.6,2074.4,1172.3,642.5,307.0,128.5,316.3
2012,5,계,10348.4,4695.5,45.4,38.0,66.7,9.9,2025.6,1108.4,748.3,346.0,127.6,339.6
2013,5,계,10844.5,5045.7,46.5,39.3,63.4,10.1,1821.1,1377.8,919.7,417.9,154.5,354.7
2014,5,계,11327.8,5116.9,45.2,42.4,60.3,10.9,1078.3,2006.8,1009.5,463.6,167.0,391.7
2015,5,계,11806.5,5250.5,44.5,49.5,52.0,12.1,80.5,2648.0,1307.9,580.9,192.9,440.4
2016,5,계,12437.9,5378.9,43.2,51.0,50.2,12.7,49.8,2648.6,1337.2,660.5,212.7,470.0
2017,5,계,12929.4,5762.8,44.6,52.6,47.3,12.8,38.8,2685.7,1509.5,788.7,230.8,509.3
2018,5,계,13441.1,6128.8,45.6,57.1,43.5,14.0,34.9,2629.0,1689.8,918.1,261.4,595.6
2019,5,계,13843.2,6357.9,45.9,61.0,27.4,14.2,23.3,1717.8,2539.3,1175.5,288.6,613.5
2020,5,계,14271.4,6715.7,47.1,62.7,23.2,14.7,15.2,1542.5,2728.4,1440.4,345.4,643.8
2021,5,계,14765.6,7144.3,48.4,63.5,22.2,14.8,15.3,1571.4,2719.2,1778.3,383.1,677.0
2022,5,계,15097.6,7456.5,49.4,68.9,11.2,17.0,14.4,817.3,3309.0,2051.8,466.1,797.9
2023,5,계,15481.3,7782.7,50.3,74.8,6.1,19.2,8.6,463.6,3468.1,2347.4,546.0,949.0
2024,5,계,15982.9,8176.7,51.2,82.0,4.5,21.9,15.7,355.8,3365.9,2645.6,661.4,1132.3
2025,5,계,16446.8,8501.7,51.7,86.1,4.1,24.3,14.7,338.1,3271.6,2813.7,753.5,1310.1
2008,5,남자,4017.5,1506.8,37.5,54.4,58.2,19.1,275.3,601.8,235.8,106.1,68.7,219.2
2009,5,남자,4176.6,2066.8,49.5,48.1,60.9,15.5,555.7,702.8,318.4,170.3,80.8,238.8
2010,5,남자,4362.3,2239.1,51.3,50.5,58.0,15.1,609.4,690.3,390.7,210.1,76.1,262.5
2011,5,남자,4587.6,2405.5,52.4,51.2,55.0,15.1,645.6,676.6,457.0,263.8,89.3,273.2
2012,5,남자,4814.3,2445.7,50.8,54.5,50.6,15.5,620.1,618.2,524.3,303.3,86.6,293.2
2013,5,남자,5076.6,2620.2,51.6,55.7,46.4,15.4,569.0,647.9,631.0,368.2,105.5,298.6
2014,5,남자,5316.3,2635.7,49.6,60.1,42.6,16.8,376.7,746.0,680.8,390.6,115.4,326.2
2015,5,남자,5564.7,2712.5,48.7,66.7,34.7,18.8,29.4,911.7,795.1,466.3,146.0,364.0
2016,5,남자,5864.1,2787.5,47.5,68.9,33.0,19.9,15.4,904.5,790.5,521.4,168.9,386.8
2017,5,남자,6122.1,2999.0,49.0,69.4,30.5,19.5,10.9,903.2,890.0,610.8,177.9,406.1
2018,5,남자,6395.2,3181.4,49.7,75.9,26.2,21.3,14.5,820.6,945.1,725.1,203.7,472.4
2019,5,남자,6587.4,3283.4,49.8,79.4,16.6,21.6,7.8,536.4,1154.6,875.8,229.3,479.4
2020,5,남자,6787.5,3451.5,50.9,81.9,13.6,23.3,4.8,465.1,1158.4,1019.6,289.3,514.4
2021,5,남자,7059.5,3669.5,52.0,82.6,12.0,23.7,5.7,434.1,1140.7,1219.9,315.3,553.7
2022,5,남자,7267.6,3867.6,53.2,90.1,5.8,27.0,7.2,218.5,1231.6,1365.8,388.8,655.7
2023,5,남자,7438.3,3994.9,53.7,98.1,3.3,30.7,2.5,130.7,1169.6,1467.6,457.9,766.6
2024,5,남자,7695.3,4189.0,54.4,106.3,2.5,34.1,5.9,97.1,1118.7,1539.8,537.7,889.9
2025,5,남자,7928.8,4369.6,55.1,112.0,2.2,37.6,6.2,90.6,1062.1,1568.1,607.3,1035.3
2008,5,여자,4733.5,1116.7,23.6,22.4,83.5,5.1,565.4,366.6,86.2,41.3,25.0,32.3
2009,5,여자,4863.7,1898.8,39.0,18.5,87.5,3.8,1214.6,447.4,128.4,36.0,33.0,39.4
2010,5,여자,5067.9,2095.5,41.3,17.5,87.9,3.0,1367.9,474.3,159.7,31.2,32.0,30.5
2011,5,여자,5303.4,2235.5,42.2,19.1,86.1,3.7,1428.9,495.6,185.5,43.2,39.2,43.0
2012,5,여자,5534.0,2249.8,40.7,20.1,84.3,3.9,1405.5,490.1,224.0,42.6,41.1,46.4
2013,5,여자,5768.0,2425.5,42.1,21.5,81.7,4.3,1252.1,729.9,288.7,49.6,48.9,56.2
2014,5,여자,6011.5,2481.2,41.3,23.5,79.1,4.7,701.6,1260.8,328.7,73.0,51.5,65.5
2015,5,여자,6241.7,2537.9,40.7,31.2,70.4,4.9,51.0,1736.3,512.8,114.6,46.8,76.3
2016,5,여자,6573.8,2591.3,39.4,31.8,68.6,4.9,34.4,1744.0,546.7,139.1,43.8,83.2
2017,5,여자,6807.4,2763.8,40.6,34.4,65.5,5.6,27.9,1782.6,619.4,177.9,52.9,103.2
2018,5,여자,7046.0,2947.4,41.8,36.8,62.1,6.1,20.4,1808.5,744.6,193.0,57.7,123.2
2019,5,여자,7255.8,3074.6,42.4,41.4,38.9,6.3,15.5,1181.4,1384.7,299.7,59.3,134.1
2020,5,여자,7483.9,3264.2,43.6,42.3,33.3,5.7,10.4,1077.5,1570.0,420.8,56.1,129.4
2021,5,여자,7706.1,3474.8,45.1,43.3,33.0,5.5,9.6,1137.3,1578.6,558.3,67.8,123.2
2022,5,여자,7830.0,3589.0,45.8,45.9,16.9,6.1,7.3,598.8,2077.4,686.0,77.3,142.2
2023,5,여자,8043.0,3787.8,47.1,50.1,8.9,7.1,6.1,332.9,2298.5,879.8,88.1,182.4
2024,5,여자,8287.5,3987.7,48.1,56.5,6.7,9.2,9.8,258.8,2247.2,1105.8,123.8,242.4
2025,5,여자,8518.0,4132.1,48.5,58.8,6.2,10.2,8.5,247.6,2209.5,1245.6,146.2,274.8
