region_code,region,age_group,item,unit,n_years,slope_per_year,intercept,r2,first_year,first_value,latest_year,latest_value,change_abs,change_pct,slope_label
32,강원도,60세 이상,고용률,%,15.0,1.3125,34.4658,0.9451,2010.0,36.1,2024.0,51.1,15.0,41.55,퍼센트포인트/년
29,세종특별자치시,60세 이상,고용률,%,8.0,1.2619,38.5583,0.6804,2017.0,41.7,2024.0,46.7,5.0,11.99,퍼센트포인트/년
33,충청북도,60세 이상,고용률,%,15.0,1.125,36.865,0.9342,2010.0,38.4,2024.0,53.6,15.2,39.58,퍼센트포인트/년
25,대전광역시,60세 이상,고용률,%,15.0,1.0504,29.4875,0.9667,2010.0,29.1,2024.0,42.4,13.3,45.7,퍼센트포인트/년
31,경기도,60세 이상,고용률,%,15.0,0.9968,30.0958,0.9521,2010.0,30.3,2024.0,44.2,13.9,45.87,퍼센트포인트/년
35,전라북도,60세 이상,고용률,%,15.0,0.9164,41.005,0.8481,2010.0,42.8,2024.0,54.7,11.9,27.8,퍼센트포인트/년
24,광주광역시,60세 이상,고용률,%,15.0,0.8639,31.0658,0.956,2010.0,31.5,2024.0,44.4,12.9,40.95,퍼센트포인트/년
34,충청남도,60세 이상,고용률,%,15.0,0.8618,41.0142,0.8554,2010.0,40.2,2024.0,52.9,12.7,31.59,퍼센트포인트/년
21,부산광역시,60세 이상,고용률,%,15.0,0.72,30.02,0.9423,2010.0,28.8,2024.0,39.0,10.2,35.42,퍼센트포인트/년
23,인천광역시,60세 이상,고용률,%,15.0,0.6946,34.1775,0.823,2010.0,33.0,2024.0,45.7,12.7,38.48,퍼센트포인트/년
38,경상남도,60세 이상,고용률,%,15.0,0.6746,39.1442,0.779,2010.0,41.2,2024.0,49.0,7.8,18.93,퍼센트포인트/년
22,대구광역시,60세 이상,고용률,%,15.0,0.6739,31.7958,0.9173,2010.0,29.4,2024.0,41.2,11.8,40.14,퍼센트포인트/년
39,제주도,60세 이상,고용률,%,15.0,0.6404,48.9508,0.7577,2010.0,50.3,2024.0,56.0,5.7,11.33,퍼센트포인트/년
36,전라남도,60세 이상,고용률,%,15.0,0.4889,50.5975,0.6757,2010.0,52.4,2024.0,58.3,5.9,11.26,퍼센트포인트/년
26,울산광역시,60세 이상,고용률,%,15.0,0.4225,34.0758,0.6939,2010.0,34.0,2024.0,40.8,6.8,20.0,퍼센트포인트/년
