year,region_code,region,age_group,item,value,unit,table_id,table_name
2010,32,강원도,60세 이상,15세이상인구,293.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2011,32,강원도,60세 이상,15세이상인구,299.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2012,32,강원도,60세 이상,15세이상인구,309.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2013,32,강원도,60세 이상,15세이상인구,319.1,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2014,32,강원도,60세 이상,15세이상인구,330.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2015,32,강원도,60세 이상,15세이상인구,344.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2016,32,강원도,60세 이상,15세이상인구,359.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2017,32,강원도,60세 이상,15세이상인구,376.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2018,32,강원도,60세 이상,15세이상인구,396.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2019,32,강원도,60세 이상,15세이상인구,415.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2020,32,강원도,60세 이상,15세이상인구,437.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2021,32,강원도,60세 이상,15세이상인구,460.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2022,32,강원도,60세 이상,15세이상인구,481.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2023,32,강원도,60세 이상,15세이상인구,499.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2024,32,강원도,60세 이상,15세이상인구,512.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2025,32,강원도,60세 이상,15세이상인구,526.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2010,31,경기도,60세 이상,15세이상인구,1409.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2011,31,경기도,60세 이상,15세이상인구,1472.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2012,31,경기도,60세 이상,15세이상인구,1550.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2013,31,경기도,60세 이상,15세이상인구,1634.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2014,31,경기도,60세 이상,15세이상인구,1728.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2015,31,경기도,60세 이상,15세이상인구,1849.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2016,31,경기도,60세 이상,15세이상인구,1977.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2017,31,경기도,60세 이상,15세이상인구,2116.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2018,31,경기도,60세 이상,15세이상인구,2267.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2019,31,경기도,60세 이상,15세이상인구,2437.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2020,31,경기도,60세 이상,15세이상인구,2618.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2021,31,경기도,60세 이상,15세이상인구,2810.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2022,31,경기도,60세 이상,15세이상인구,2982.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2023,31,경기도,60세 이상,15세이상인구,3132.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2024,31,경기도,60세 이상,15세이상인구,3284.6,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2025,31,경기도,60세 이상,15세이상인구,3451.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2010,38,경상남도,60세 이상,15세이상인구,528.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2011,38,경상남도,60세 이상,15세이상인구,544.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2012,38,경상남도,60세 이상,15세이상인구,563.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2013,38,경상남도,60세 이상,15세이상인구,581.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2014,38,경상남도,60세 이상,15세이상인구,603.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2015,38,경상남도,60세 이상,15세이상인구,631.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2016,38,경상남도,60세 이상,15세이상인구,660.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2017,38,경상남도,60세 이상,15세이상인구,694.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2018,38,경상남도,60세 이상,15세이상인구,731.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2019,38,경상남도,60세 이상,15세이상인구,768.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2020,38,경상남도,60세 이상,15세이상인구,810.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2021,38,경상남도,60세 이상,15세이상인구,856.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2022,38,경상남도,60세 이상,15세이상인구,898.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2023,38,경상남도,60세 이상,15세이상인구,933.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2024,38,경상남도,60세 이상,15세이상인구,963.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2025,38,경상남도,60세 이상,15세이상인구,995.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2010,37,경상북도,60세 이상,15세이상인구,558.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2011,37,경상북도,60세 이상,15세이상인구,569.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2012,37,경상북도,60세 이상,15세이상인구,583.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2013,37,경상북도,60세 이상,15세이상인구,598.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2014,37,경상북도,60세 이상,15세이상인구,614.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2015,37,경상북도,60세 이상,15세이상인구,633.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2016,37,경상북도,60세 이상,15세이상인구,655.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2017,37,경상북도,60세 이상,15세이상인구,681.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2018,37,경상북도,60세 이상,15세이상인구,708.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2019,37,경상북도,60세 이상,15세이상인구,735.5,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2020,37,경상북도,60세 이상,15세이상인구,770.1,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2021,37,경상북도,60세 이상,15세이상인구,804.2,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2022,37,경상북도,60세 이상,15세이상인구,837.1,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2023,37,경상북도,60세 이상,15세이상인구,856.0,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2024,37,경상북도,60세 이상,15세이상인구,871.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2025,37,경상북도,60세 이상,15세이상인구,894.1,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2010,24,광주광역시,60세 이상,15세이상인구,190.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2011,24,광주광역시,60세 이상,15세이상인구,197.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2012,24,광주광역시,60세 이상,15세이상인구,206.1,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2013,24,광주광역시,60세 이상,15세이상인구,213.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2014,24,광주광역시,60세 이상,15세이상인구,222.3,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2015,24,광주광역시,60세 이상,15세이상인구,233.7,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2016,24,광주광역시,60세 이상,15세이상인구,246.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2017,24,광주광역시,60세 이상,15세이상인구,258.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2018,24,광주광역시,60세 이상,15세이상인구,272.4,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2019,24,광주광역시,60세 이상,15세이상인구,286.8,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
2020,24,광주광역시,60세 이상,15세이상인구,303.9,천명,DT_1DA7015S,행정구역(시도)/연령별 경제활동인구
