year,row,category,group,value
2017,0,출산전후휴가급여,출산전후휴가급여,81083
2018,0,출산전후휴가급여,출산전후휴가급여,76394
2019,0,출산전후휴가급여,출산전후휴가급여,73279
2020,0,출산전후휴가급여,출산전후휴가급여,70933
2021,0,출산전후휴가급여,출산전후휴가급여,70275
2022,0,출산전후휴가급여,출산전후휴가급여,72619
2023,0,출산전후휴가급여,출산전후휴가급여,72204
2024,0,출산전후휴가급여,출산전후휴가급여,76668
2025,0,출산전후휴가급여,출산전후휴가급여,89574
2017,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),242577
2018,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),248402
2019,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),268479
2020,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),285736
2021,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),289311
2022,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),302785
2023,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),321351
2024,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),348201
2025,1,(출산전후휴가급여지원금액),(출산전후휴가급여지원금액),410060
2017,2,육아휴직급여 수급자 수,계,90122
2018,2,육아휴직급여 수급자 수,계,99199
2019,2,육아휴직급여 수급자 수,계,105165
2020,2,육아휴직급여 수급자 수,계,112038
2021,2,육아휴직급여 수급자 수,계,110555
2022,2,육아휴직급여 수급자 수,계,131084
2023,2,육아휴직급여 수급자 수,계,126008
2024,2,육아휴직급여 수급자 수,계,132535
2025,2,육아휴직급여 수급자 수,계,184329
2017,3,육아휴직급여 수급자 수,여성근로자,78080
2018,3,육아휴직급여 수급자 수,여성근로자,81537
2019,3,육아휴직급여 수급자 수,여성근로자,82868
2020,3,육아휴직급여 수급자 수,여성근로자,84617
2021,3,육아휴직급여 수급자 수,여성근로자,81514
2022,3,육아휴직급여 수급자 수,여성근로자,93200
2023,3,육아휴직급여 수급자 수,여성근로자,90672
2024,3,육아휴직급여 수급자 수,여성근로자,90706
2025,3,육아휴직급여 수급자 수,여성근로자,117129
2017,4,육아휴직급여 수급자 수,남성근로자,12042
2018,4,육아휴직급여 수급자 수,남성근로자,17662
2019,4,육아휴직급여 수급자 수,남성근로자,22297
2020,4,육아휴직급여 수급자 수,남성근로자,27421
2021,4,육아휴직급여 수급자 수,남성근로자,29041
2022,4,육아휴직급여 수급자 수,남성근로자,37884
2023,4,육아휴직급여 수급자 수,남성근로자,35336
2024,4,육아휴직급여 수급자 수,남성근로자,41829
2025,4,육아휴직급여 수급자 수,남성근로자,67200
2017,5,(육아휴직급여 지원금액),계,680430
2018,5,(육아휴직급여 지원금액),계,839083
2019,5,(육아휴직급여 지원금액),계,1058853
2020,5,(육아휴직급여 지원금액),계,1212143
2021,5,(육아휴직급여 지원금액),계,1297525
2022,5,(육아휴직급여 지원금액),계,1657231
2023,5,(육아휴직급여 지원금액),계,1796995
2024,5,(육아휴직급여 지원금액),계,2052487
2025,5,(육아휴직급여 지원금액),계,3629169
2017,6,(육아휴직급여 지원금액),여성근로자,618696
2018,6,(육아휴직급여 지원금액),여성근로자,733354
2019,6,(육아휴직급여 지원금액),여성근로자,885073
2020,6,(육아휴직급여 지원금액),여성근로자,977216
2021,6,(육아휴직급여 지원금액),여성근로자,1024231
2022,6,(육아휴직급여 지원금액),여성근로자,1271631
2023,6,(육아휴직급여 지원금액),여성근로자,1404497
2024,6,(육아휴직급여 지원금액),여성근로자,1503696
2025,6,(육아휴직급여 지원금액),여성근로자,2554923
2017,7,(육아휴직급여 지원금액),남성근로자,61734
2018,7,(육아휴직급여 지원금액),남성근로자,105729
2019,7,(육아휴직급여 지원금액),남성근로자,173780
2020,7,(육아휴직급여 지원금액),남성근로자,234927
2021,7,(육아휴직급여 지원금액),남성근로자,273293
2022,7,(육아휴직급여 지원금액),남성근로자,385600
2023,7,(육아휴직급여 지원금액),남성근로자,392498
2024,7,(육아휴직급여 지원금액),남성근로자,548791
2025,7,(육아휴직급여 지원금액),남성근로자,1074246
