year,crude_marriage_rate,crude_birth_rate,under40_homeownership_rate,youth_employed_population_2000_100,parental_leave_total_users,night_extended_childcare_share_pct,newlywed_avg_births,newlywed_no_child_pct,marriage_rate_index_2015_100,birth_rate_index_2015_100,under40_homeownership_index_2015_100,youth_employed_index_2015_100,parental_leave_users_index_2017_100,night_childcare_share_index_2015_100,newlywed_avg_births_index_2015_100,newlywed_no_child_index_2015_100
2015,5.9,8.6,34.13,79.1641057160418,,20.18,0.82,35.5,100.0,100.0,100.0,100.0,,100.0,100.0,100.0
2016,5.5,7.9,32.52,80.06556033599672,,20.19,0.8,36.3,93.2,91.9,95.3,101.1,,100.0,97.6,102.3
2017,5.2,7.0,32.35,80.04507273099775,90122.0,20.49,0.78,37.5,88.1,81.4,94.8,101.1,100.0,101.5,95.1,105.6
2018,5.0,6.4,32.31,79.98360991600082,99199.0,20.69,0.74,40.2,84.7,74.4,94.7,101.0,110.1,102.5,90.2,113.2
2019,4.7,5.9,30.95,80.82360172095882,105165.0,21.45,0.71,42.5,79.7,68.6,90.7,102.1,116.7,106.3,86.6,119.7
2020,4.2,5.3,29.44,77.09485761114526,112038.0,21.98,0.68,44.5,71.2,61.6,86.3,97.4,124.3,108.9,82.9,125.4
2021,3.8,5.1,29.32,79.43044458102848,110555.0,23.07,0.66,45.8,64.4,59.3,85.9,100.3,122.7,114.3,80.5,129.0
2022,3.7,4.9,27.89,81.86846957590657,131084.0,24.25,0.65,46.4,62.7,57.0,81.7,103.4,145.5,120.2,79.3,130.7
2023,3.8,4.5,26.83,79.88117189100595,126008.0,25.24,0.63,47.5,64.4,52.3,78.6,100.9,139.8,125.1,76.8,133.8
2024,4.4,4.7,26.29,76.93095677115345,132535.0,26.82,0.61,48.8,74.6,54.7,77.0,97.2,147.1,132.9,74.4,137.5
