year,total_fertility_rate,asfr_25_29,asfr_30_34,asfr_35_39,asfr_40_44
2000,1.48,150.3,84.1,17.6,2.7
2001,1.309,129.8,78.1,17.3,2.6
2002,1.178,111.4,75.0,16.9,2.5
2003,1.191,112.2,79.7,17.4,2.6
2004,1.164,105.0,83.7,18.6,2.6
2005,1.085,92.1,82.1,19.0,2.5
2006,1.132,89.9,90.0,21.5,2.7
2007,1.259,95.9,102.0,25.9,3.1
2008,1.192,85.6,101.5,26.5,3.2
2009,1.149,80.4,100.8,27.3,3.4
2010,1.226,79.7,112.4,32.6,4.1
2011,1.244,78.4,114.4,35.4,4.6
2012,1.297,77.4,121.9,39.0,4.9
2013,1.187,65.9,111.4,39.5,4.8
2014,1.205,63.4,113.8,43.2,5.2
2015,1.239,63.1,116.7,48.3,5.6
2016,1.172,56.4,110.1,48.7,5.9
2017,1.052,47.9,97.7,47.2,6.0
2018,0.977,41.0,91.4,46.1,6.4
2019,0.918,35.7,86.2,45.0,7.0
2020,0.837,30.6,78.9,42.3,7.1
2021,0.808,27.5,76.1,43.5,7.6
2022,0.778,24.0,73.5,44.1,8.0
2023,0.721,21.4,66.7,43.0,7.9
2024,0.748,20.7,70.4,46.0,7.7
