year,asfr_20_24,asfr_25_29,asfr_30_34,asfr_35_39,asfr_40_44
2000,39.2,150.3,84.1,17.6,2.7
2001,31.7,129.8,78.1,17.3,2.6
2002,26.8,111.4,75.0,16.9,2.5
2003,23.9,112.2,79.7,17.4,2.6
2004,20.8,105.0,83.7,18.6,2.6
2005,18.0,92.1,82.1,19.0,2.5
2006,17.8,89.9,90.0,21.5,2.7
2007,19.7,95.9,102.0,25.9,3.1
2008,18.2,85.6,101.5,26.5,3.2
2009,16.5,80.4,100.8,27.3,3.4
2010,16.5,79.7,112.4,32.6,4.1
2011,16.4,78.4,114.4,35.4,4.6
2012,16.0,77.4,121.9,39.0,4.9
2013,14.0,65.9,111.4,39.5,4.8
2014,13.1,63.4,113.8,43.2,5.2
2015,12.5,63.1,116.7,48.3,5.6
2016,11.5,56.4,110.1,48.7,5.9
2017,9.6,47.9,97.7,47.2,6.0
2018,8.2,41.0,91.4,46.1,6.4
2019,7.1,35.7,86.2,45.0,7.0
2020,6.2,30.6,78.9,42.3,7.1
2021,5.0,27.5,76.1,43.5,7.6
2022,4.1,24.0,73.5,44.1,8.0
2023,3.8,21.4,66.7,43.0,7.9
2024,3.8,20.7,70.4,46.0,7.7
