year,births,female_15_49_population,total_fertility_rate,crude_birth_rate,general_fertility_rate,tfr_index,cbr_index,gfr_index
2000,640089.0,13417883,1.48,13.5,47.704,100.0,100.0,100.0
2001,559934.0,13477060,1.309,11.7,41.547,88.446,86.667,87.093
2002,496911.0,13487236,1.178,10.3,36.843,79.595,76.296,77.232
2003,495036.0,13496394,1.191,10.2,36.679,80.473,75.556,76.889
2004,476958.0,13472753,1.164,9.8,35.402,78.649,72.593,74.211
2005,438707.0,13384765,1.085,9.0,32.777,73.311,66.667,68.708
2006,451759.0,13355618,1.132,9.2,33.825,76.486,68.148,70.907
2007,496822.0,13330958,1.259,10.1,37.268,85.068,74.815,78.124
2008,465892.0,13318088,1.192,9.4,34.982,80.541,69.63,73.331
2009,444849.0,13262219,1.149,9.0,33.543,77.635,66.667,70.314
2010,470171.0,13166566,1.226,9.4,35.709,82.838,69.63,74.856
2011,471265.0,13082154,1.244,9.4,36.024,84.054,69.63,75.514
2012,484550.0,13008233,1.297,9.6,37.249,87.635,71.111,78.084
2013,436455.0,12904362,1.187,8.6,33.822,80.203,63.704,70.9
2014,435435.0,12858689,1.205,8.6,33.863,81.419,63.704,70.986
2015,438420.0,12758608,1.239,8.6,34.363,83.716,63.704,72.033
2016,406243.0,12651810,1.172,7.9,32.109,79.189,58.519,67.31
2017,357771.0,12506104,1.052,7.0,28.608,71.081,51.852,59.969
2018,326822.0,12363522,0.977,6.4,26.434,66.014,47.407,55.413
2019,302676.0,12170853,0.918,5.9,24.869,62.027,43.704,52.132
2020,272337.0,12000894,0.837,5.3,22.693,56.554,39.259,47.57
2021,260562.0,11745806,0.808,5.1,22.183,54.595,37.778,46.502
2022,249186.0,11519661,0.778,4.9,21.631,52.568,36.296,45.345
2023,230028.0,11348432,0.721,4.5,20.27,48.716,33.333,42.49
2024,238317.0,11186913,0.748,4.7,21.303,50.541,34.815,44.657
