year,total_births,multicultural_births,multicultural_birth_share_pct,foreign_resident_children,marriage_migrants
2008,465892,13443,2.9,,
2009,444849,19024,4.3,,
2010,470171,20312,4.3,,
2011,471265,22014,4.7,,
2012,484550,22908,4.7,,
2013,436455,21290,4.9,,
2014,435435,21174,4.9,,
2015,438420,19729,4.5,,
2016,406243,19431,4.8,,
2017,357771,18440,5.2,,
2018,326822,18079,5.5,226145,166882
2019,302676,17939,5.9,251966,173882
2020,272337,16421,6.0,251977,
2021,260562,14322,5.5,273722,174632
2022,249186,12526,5.0,282077,175756
2023,230028,12150,5.3,289886,180072
2024,238317,13416,5.6,295304,191839
