year,source,population
2020,법무부 등록외국인,1145540
2021,법무부 등록외국인,1093891
2022,법무부 등록외국인,1189585
2023,법무부 등록외국인,1348626
2024,법무부 등록외국인,1488353
2020,법무부 체류외국인,2036075
2021,법무부 체류외국인,1956781
2022,법무부 체류외국인,2245912
2023,법무부 체류외국인,2507584
2024,법무부 체류외국인,2650783
2018,인구총조사 외국인,1651561
2019,인구총조사 외국인,1778918
2020,인구총조사 외국인,1695643
2021,인구총조사 외국인,1649967
2022,인구총조사 외국인,1752346
2023,인구총조사 외국인,1935150
2024,인구총조사 외국인,2042744
2018,행정안전부 외국인주민,2054621
2019,행정안전부 외국인주민,2216612
2020,행정안전부 외국인주민,2146748
2021,행정안전부 외국인주민,2134569
2022,행정안전부 외국인주민,2258248
2023,행정안전부 외국인주민,2459542
2024,행정안전부 외국인주민,2583626
