sido,sigungu,total_population,foreign_residents,foreign_share_pct
경기도,안산시단원구,353223,76404,21.63
전라남도,영암군,60323,12569,20.84
충청북도,음성군,106652,20698,19.41
경기도,안산시,701551,109872,15.66
경기도,포천시,157166,23082,14.69
충청북도,진천군,96544,14081,14.59
전라남도,완도군,48182,6715,13.94
경기도,시흥시,571982,78444,13.71
전라남도,진도군,29448,3830,13.01
서울특별시,금천구,243662,31444,12.9
서울특별시,구로구,418832,53279,12.72
서울특별시,영등포구,400799,50296,12.55
경기도,안성시,215739,26563,12.31
경기도,수원시팔달구,208817,24612,11.79
충청남도,아산시,392509,43547,11.09
경상남도,함안군,61675,6602,10.7
경기도,부천시소사구,240865,25551,10.61
경상북도,고령군,30934,3233,10.45
충청남도,금산군,53212,5442,10.23
서울특별시,중구,126899,12539,9.88
경상남도,창녕군,57766,5606,9.7
경기도,안산시상록구,348328,33468,9.61
강원특별자치도,고성군,27774,2614,9.41
서울특별시,종로구,144486,13429,9.29
경기도,오산시,254071,23550,9.27
충청남도,논산시,114692,10408,9.07
경상북도,경주시,258733,22507,8.7
경상북도,성주군,41068,3508,8.54
전북특별자치도,고창군,51371,4278,8.33
충청남도,당진시,177715,14776,8.31
경상북도,경산시,298529,24747,8.29
부산광역시,중구,39599,3278,8.28
경기도,화성시,1004079,81705,8.14
경기도,김포시,499536,40057,8.02
경기도,성남시수정구,246990,19794,8.01
경기도,평택시,615755,48602,7.89
경상남도,거제시,241284,19021,7.88
울산광역시,동구,158268,12440,7.86
충청남도,보령시,96182,7432,7.73
경기도,부천시,794082,60502,7.62
충청남도,예산군,79848,6067,7.6
인천광역시,부평구,504885,37411,7.41
경상남도,밀양시,102535,7590,7.4
서울특별시,동대문구,355789,26278,7.39
전라남도,함평군,29009,2145,7.39
전라남도,신안군,35572,2618,7.36
인천광역시,연수구,417391,30598,7.33
전라남도,해남군,62068,4511,7.27
서울특별시,광진구,345130,24970,7.23
서울특별시,용산구,203401,14633,7.19
전북특별자치도,무주군,22904,1643,7.17
경기도,동두천시,89466,6350,7.1
경기도,이천시,230189,16281,7.07
경기도,부천시원미구,401522,28343,7.06
충청남도,청양군,29818,2104,7.06
경상남도,김해시,549861,38465,7.0
충청남도,천안시동남구,279621,19528,6.98
제주특별자치도,서귀포시,180909,12598,6.96
경기도,여주시,117477,8141,6.93
전북특별자치도,완주군,102877,7105,6.91
경상북도,칠곡군,110043,7469,6.79
경기도,용인시처인구,286273,19355,6.76
전북특별자치도,김제시,79692,5361,6.73
충청남도,서천군,48575,3259,6.71
전라남도,나주시,118018,7852,6.65
경상북도,영덕군,32655,2161,6.62
충청남도,천안시,694765,45829,6.6
경상북도,영천시,99523,6542,6.57
전라남도,보성군,36033,2367,6.57
경상남도,통영시,120204,7826,6.51
전라남도,장성군,40067,2599,6.49
경상남도,고성군,47664,3084,6.47
광주광역시,광산구,412447,26581,6.44
경상남도,의령군,24609,1570,6.38
강원특별자치도,횡성군,45947,2918,6.35
충청남도,천안시서북구,415144,26301,6.34
부산광역시,강서구,145762,9246,6.34
울산광역시,울주군,224264,14227,6.34
충청남도,태안군,60814,3829,6.3
전북특별자치도,정읍시,101887,6398,6.28
충청북도,괴산군,37346,2347,6.28
전북특별자치도,장수군,19838,1231,6.21
전라남도,고흥군,58776,3637,6.19
충청남도,부여군,59930,3712,6.19
서울특별시,관악구,490493,30351,6.19
충청남도,홍성군,102178,6308,6.17
경기도,광주시,402335,24791,6.16
충청북도,증평군,38180,2350,6.16
경상북도,울진군,45274,2772,6.12
서울특별시,서대문구,316345,19338,6.11
전북특별자치도,진안군,22855,1392,6.09
경기도,수원시,1224979,73232,5.98
경기도,수원시권선구,370600,21911,5.91
경상북도,영양군,15059,890,5.91
충청남도,서산시,178586,10510,5.89
경기도,연천군,40386,2323,5.75
인천광역시,미추홀구,421789,24155,5.73
경상남도,사천시,109218,6126,5.61
전라남도,담양군,43310,2428,5.61
강원특별자치도,양구군,20443,1137,5.56
경기도,양주시,293000,16244,5.54
경상북도,청도군,39479,2149,5.44
전북특별자치도,부안군,46363,2518,5.43
전북특별자치도,군산시,265473,14257,5.37
전라남도,장흥군,33351,1785,5.35
인천광역시,중구,164937,8801,5.34
경상남도,산청군,32480,1732,5.33
충청북도,옥천군,47416,2517,5.31
제주특별자치도,제주시,493908,26116,5.29
충청북도,보은군,29858,1568,5.25
충청북도,청주시청원구,195842,10239,5.23
전북특별자치도,임실군,24275,1264,5.21
인천광역시,남동구,492920,25631,5.2
충청남도,공주시,104393,5377,5.15
경상북도,상주시,92458,4687,5.07
전라남도,영광군,50012,2523,5.04
서울특별시,동작구,381172,19200,5.04
경기도,군포시,258110,12980,5.03
충청북도,충주시,215904,10854,5.03
강원특별자치도,철원군,40069,2011,5.02
충청북도,영동군,43730,2191,5.01
부산광역시,사상구,205140,10250,5.0
대구광역시,달성군,263117,13147,5.0
,전국,51805547,2583626,4.99
경기도,파주시,510689,24947,4.88
경기도,수원시장안구,280812,13590,4.84
경상북도,봉화군,27972,1341,4.79
경기도,안양시만안구,229980,11007,4.79
전라남도,곡성군,25990,1238,4.76
전북특별자치도,순창군,25494,1207,4.73
경상남도,남해군,39011,1832,4.7
강원특별자치도,인제군,31167,1462,4.69
경상북도,청송군,23079,1066,4.62
경상북도,김천시,136187,6268,4.6
인천광역시,서구,634066,29089,4.59
경상남도,합천군,38950,1778,4.56
충청북도,청주시흥덕구,291048,13245,4.55
서울특별시,성동구,274688,12372,4.5
대전광역시,동구,229875,10177,4.43
전라남도,강진군,31042,1370,4.41
경기도,가평군,60384,2635,4.36
인천광역시,옹진군,19192,836,4.36
경기도,부천시오정구,151695,6608,4.36
전라남도,무안군,92913,4034,4.34
서울특별시,성북구,429210,18581,4.33
강원특별자치도,홍천군,65719,2833,4.31
대구광역시,군위군,21493,925,4.3
경상남도,하동군,38704,1663,4.3
전북특별자치도,남원시,73781,3134,4.25
전라남도,여수시,265859,11286,4.25
전북특별자치도,익산시,272392,11572,4.25
강원특별자치도,정선군,32503,1341,4.13
강원특별자치도,평창군,39016,1609,4.12
전라남도,화순군,59174,2424,4.1
경상북도,문경시,65505,2687,4.1
경상남도,함양군,35073,1419,4.05
서울특별시,마포구,358927,14527,4.05
경상남도,창원시진해구,188972,7617,4.03
충청북도,청주시서원구,190979,7649,4.01
경상북도,의성군,47094,1889,4.01
충청북도,청주시,873368,34644,3.97
부산광역시,남구,260090,10307,3.96
경상남도,양산시,359628,14131,3.93
