year,sido,sigungu,region,registered_foreigners,population,registered_foreigner_share_pct
2020,경기도,시흥시,경기도 시흥시,32410,500895.0,6.47
2021,경기도,시흥시,경기도 시흥시,31523,512030.0,6.16
2022,경기도,시흥시,경기도 시흥시,33139,512912.0,6.46
2023,경기도,시흥시,경기도 시흥시,37188,519715.0,7.16
2024,경기도,시흥시,경기도 시흥시,40493,518132.0,7.82
2020,경기도,포천시,경기도 포천시,12115,147274.0,8.23
2021,경기도,포천시,경기도 포천시,11270,148939.0,7.57
2022,경기도,포천시,경기도 포천시,13365,146701.0,9.11
2023,경기도,포천시,경기도 포천시,14669,143323.0,10.23
2024,경기도,포천시,경기도 포천시,16317,141463.0,11.53
2020,전라남도,영암군,전라남도 영암군,4169,53699.0,7.76
2021,전라남도,영암군,전라남도 영암군,4119,52937.0,7.78
2022,전라남도,영암군,전라남도 영암군,5182,52395.0,9.89
2023,전라남도,영암군,전라남도 영암군,8221,52350.0,15.7
2024,전라남도,영암군,전라남도 영암군,9673,51391.0,18.82
2020,전라남도,완도군,전라남도 완도군,2212,49916.0,4.43
2021,전라남도,완도군,전라남도 완도군,2144,48631.0,4.41
2022,전라남도,완도군,전라남도 완도군,2848,47597.0,5.98
2023,전라남도,완도군,전라남도 완도군,3907,46641.0,8.38
2024,전라남도,완도군,전라남도 완도군,5110,45631.0,11.2
2020,충청북도,음성군,충청북도 음성군,8691,93153.0,9.33
2021,충청북도,음성군,충청북도 음성군,8361,92197.0,9.07
2022,충청북도,음성군,충청북도 음성군,9751,92058.0,10.59
2023,충청북도,음성군,충청북도 음성군,11990,91183.0,13.15
2024,충청북도,음성군,충청북도 음성군,13808,91236.0,15.13
2020,충청북도,진천군,충청북도 진천군,5646,83718.0,6.74
2021,충청북도,진천군,충청북도 진천군,5477,85176.0,6.43
2022,충청북도,진천군,충청북도 진천군,6406,86147.0,7.44
2023,충청북도,진천군,충청북도 진천군,7488,86254.0,8.68
2024,충청북도,진천군,충청북도 진천군,8419,86537.0,9.73
