sido,mois_foreign_residents,mois_total_population,moj_registered_foreigners,census_foreigners,mois_minus_moj_people,mois_minus_census_people,mois_share_pct
경기도,845074,13914479,467398,681201,377676,163873,6.07
서울특별시,450888,9335444,265544,367291,185344,83597,4.83
충청남도,169245,2238243,96687,139111,72558,30134,7.56
인천광역시,169219,3058033,89129,127960,80090,41259,5.53
경상남도,162714,3264243,102333,128519,60381,34195,4.98
경상북도,128725,2578999,76768,101152,51957,27573,4.99
충청북도,97341,1646328,56301,78349,41040,18992,5.91
전라남도,95832,1778338,57189,70936,38643,24896,5.39
부산광역시,88542,3257256,55805,67762,32737,20780,2.72
전북특별자치도,79224,1758836,43795,57688,35429,21536,4.5
대구광역시,61554,2369335,36710,45295,24844,16259,2.6
강원특별자치도,50652,1522881,26074,36580,24578,14072,3.33
광주광역시,47728,1444171,26557,35882,21171,11846,3.3
울산광역시,45392,1106895,27642,35193,17750,10199,4.1
대전광역시,42043,1467093,26249,31322,15794,10721,2.87
제주특별자치도,38714,674817,27990,30511,10724,8203,5.74
세종특별자치시,10739,390156,6182,7992,4557,2747,2.75
