sido,sigungu,region,total_population,foreign_residents,registered_foreigners,mois_minus_moj_people,gap_share_of_total_population_pct,mois_to_moj_ratio
경기도,시흥시,경기도 시흥시,571982,78444,40493,37951,6.63,1.94
경기도,화성시,경기도 화성시,1004079,81705,51059,30646,3.05,1.6
서울특별시,구로구,서울특별시 구로구,418832,53279,23747,29532,7.05,2.24
서울특별시,영등포구,서울특별시 영등포구,400799,50296,23400,26896,6.71,2.15
인천광역시,부평구,인천광역시 부평구,504885,37411,17009,20402,4.04,2.2
충청남도,아산시,충청남도 아산시,392509,43547,23572,19975,5.09,1.85
서울특별시,금천구,서울특별시 금천구,243662,31444,13911,17533,7.2,2.26
경기도,평택시,경기도 평택시,615755,48602,32489,16113,2.62,1.5
경기도,김포시,경기도 김포시,499536,40057,25608,14449,2.89,1.56
경상남도,김해시,경상남도 김해시,549861,38465,24727,13738,2.5,1.56
인천광역시,서구,인천광역시 서구,634066,29089,15810,13279,2.09,1.84
경기도,오산시,경기도 오산시,254071,23550,10610,12940,5.09,2.22
서울특별시,관악구,서울특별시 관악구,490493,30351,17808,12543,2.56,1.7
인천광역시,연수구,인천광역시 연수구,417391,30598,18098,12500,2.99,1.69
인천광역시,남동구,인천광역시 남동구,492920,25631,13399,12232,2.48,1.91
경기도,안성시,경기도 안성시,215739,26563,14906,11657,5.4,1.78
광주광역시,광산구,광주광역시 광산구,412447,26581,14957,11624,2.82,1.78
경기도,광주시,경기도 광주시,402335,24791,14913,9878,2.46,1.66
경상북도,경주시,경상북도 경주시,258733,22507,12819,9688,3.74,1.76
경기도,파주시,경기도 파주시,510689,24947,15466,9481,1.86,1.61
서울특별시,광진구,서울특별시 광진구,345130,24970,16689,8281,2.4,1.5
경기도,남양주시,경기도 남양주시,718385,17489,9253,8236,1.15,1.89
제주특별자치도,제주시,제주특별자치도 제주시,493908,26116,17976,8140,1.65,1.45
서울특별시,동작구,서울특별시 동작구,381172,19200,11553,7647,2.01,1.66
서울특별시,강서구,서울특별시 강서구,543974,13197,6023,7174,1.32,2.19
서울특별시,송파구,서울특별시 송파구,628648,13294,6200,7094,1.13,2.14
경기도,군포시,경기도 군포시,258110,12980,5965,7015,2.72,2.18
충청북도,음성군,충청북도 음성군,106652,20698,13808,6890,6.46,1.5
경기도,포천시,경기도 포천시,157166,23082,16317,6765,4.3,1.41
충청남도,당진시,충청남도 당진시,177715,14776,8101,6675,3.76,1.82
서울특별시,동대문구,서울특별시 동대문구,355789,26278,19868,6410,1.8,1.32
경기도,양주시,경기도 양주시,293000,16244,9883,6361,2.17,1.64
대구광역시,달서구,대구광역시 달서구,533000,19092,12761,6331,1.19,1.5
경상북도,경산시,경상북도 경산시,298529,24747,18485,6262,2.1,1.34
경상남도,양산시,경상남도 양산시,359628,14131,8187,5944,1.65,1.73
경기도,이천시,경기도 이천시,230189,16281,10432,5849,2.54,1.56
대구광역시,달성군,대구광역시 달성군,263117,13147,7399,5748,2.18,1.78
충청북도,진천군,충청북도 진천군,96544,14081,8419,5662,5.86,1.67
경기도,의정부시,경기도 의정부시,456516,12571,7004,5567,1.22,1.79
울산광역시,울주군,울산광역시 울주군,224264,14227,8712,5515,2.46,1.63
서울특별시,강남구,서울특별시 강남구,528194,11210,5870,5340,1.01,1.91
서울특별시,강동구,서울특별시 강동구,454023,9808,4532,5276,1.16,2.16
서울특별시,양천구,서울특별시 양천구,417397,8568,3375,5193,1.24,2.54
전북특별자치도,익산시,전북특별자치도 익산시,272392,11572,6395,5177,1.9,1.81
서울특별시,중랑구,서울특별시 중랑구,375066,11250,6075,5175,1.38,1.85
서울특별시,성북구,서울특별시 성북구,429210,18581,13477,5104,1.19,1.38
경상북도,구미시,경상북도 구미시,407365,11600,6557,5043,1.24,1.77
서울특별시,은평구,서울특별시 은평구,448142,9341,4431,4910,1.1,2.11
전북특별자치도,군산시,전북특별자치도 군산시,265473,14257,9414,4843,1.82,1.51
경상남도,진주시,경상남도 진주시,346145,11145,6340,4805,1.39,1.76
충청남도,서산시,충청남도 서산시,178586,10510,5728,4782,2.68,1.83
서울특별시,성동구,서울특별시 성동구,274688,12372,7620,4752,1.73,1.62
충청북도,충주시,충청북도 충주시,215904,10854,6162,4692,2.17,1.76
광주광역시,북구,광주광역시 북구,433089,9940,5295,4645,1.07,1.88
인천광역시,계양구,인천광역시 계양구,278600,8310,3757,4553,1.63,2.21
경기도,광명시,경기도 광명시,272371,7273,2915,4358,1.6,2.5
강원특별자치도,원주시,강원특별자치도 원주시,365720,9422,5163,4259,1.16,1.82
대구광역시,북구,대구광역시 북구,422633,10584,6498,4086,0.97,1.63
경상남도,거제시,경상남도 거제시,241284,19021,14969,4052,1.68,1.27
서울특별시,서초구,서울특별시 서초구,386254,8724,4700,4024,1.04,1.86
충청남도,논산시,충청남도 논산시,114692,10408,6411,3997,3.48,1.62
전라남도,여수시,전라남도 여수시,265859,11286,7322,3964,1.49,1.54
울산광역시,남구,울산광역시 남구,305176,8419,4523,3896,1.28,1.86
부산광역시,사하구,부산광역시 사하구,293036,8757,4948,3809,1.3,1.77
대전광역시,유성구,대전광역시 유성구,384024,12305,8515,3790,0.99,1.45
서울특별시,강북구,서울특별시 강북구,280470,9563,5777,3786,1.35,1.66
서울특별시,노원구,서울특별시 노원구,486446,9015,5305,3710,0.76,1.7
대전광역시,서구,대전광역시 서구,462226,9523,5841,3682,0.8,1.63
부산광역시,사상구,부산광역시 사상구,205140,10250,6574,3676,1.79,1.56
강원특별자치도,춘천시,강원특별자치도 춘천시,291783,8699,5052,3647,1.25,1.72
서울특별시,서대문구,서울특별시 서대문구,316345,19338,15769,3569,1.13,1.23
인천광역시,중구,인천광역시 중구,164937,8801,5282,3519,2.13,1.67
경기도,여주시,경기도 여주시,117477,8141,4712,3429,2.92,1.73
전라남도,목포시,전라남도 목포시,214701,8011,4646,3365,1.57,1.72
전라남도,순천시,전라남도 순천시,271376,6275,3040,3235,1.19,2.06
서울특별시,마포구,서울특별시 마포구,358927,14527,11328,3199,0.89,1.28
전라남도,나주시,전라남도 나주시,118018,7852,4748,3104,2.63,1.65
전북특별자치도,정읍시,전북특별자치도 정읍시,101887,6398,3295,3103,3.05,1.94
대전광역시,동구,대전광역시 동구,229875,10177,7089,3088,1.34,1.44
경기도,하남시,경기도 하남시,320872,5801,2744,3057,0.95,2.11
울산광역시,북구,울산광역시 북구,215421,5892,2943,2949,1.37,2.0
부산광역시,남구,부산광역시 남구,260090,10307,7387,2920,1.12,1.4
전라남도,영암군,전라남도 영암군,60323,12569,9673,2896,4.8,1.3
서울특별시,도봉구,서울특별시 도봉구,296997,5681,2804,2877,0.97,2.03
대전광역시,대덕구,대전광역시 대덕구,170471,6012,3154,2858,1.68,1.91
울산광역시,동구,울산광역시 동구,158268,12440,9593,2847,1.8,1.3
경상남도,통영시,경상남도 통영시,120204,7826,4994,2832,2.36,1.57
대구광역시,서구,대구광역시 서구,164110,5417,2676,2741,1.67,2.02
전라남도,광양시,전라남도 광양시,150390,4912,2230,2682,1.78,2.2
경상남도,밀양시,경상남도 밀양시,102535,7590,4915,2675,2.61,1.54
경상북도,안동시,경상북도 안동시,153692,4634,1965,2669,1.74,2.36
전북특별자치도,완주군,전북특별자치도 완주군,102877,7105,4458,2647,2.57,1.59
충청남도,예산군,충청남도 예산군,79848,6067,3429,2638,3.3,1.77
부산광역시,해운대구,부산광역시 해운대구,365974,6783,4150,2633,0.72,1.63
충청남도,보령시,충청남도 보령시,96182,7432,4820,2612,2.72,1.54
경상북도,영천시,경상북도 영천시,99523,6542,3930,2612,2.62,1.66
대구광역시,동구,대구광역시 동구,336051,4680,2074,2606,0.78,2.26
경상북도,상주시,경상북도 상주시,92458,4687,2087,2600,2.81,2.25
제주특별자치도,서귀포시,제주특별자치도 서귀포시,180909,12598,10014,2584,1.43,1.26
전북특별자치도,고창군,전북특별자치도 고창군,51371,4278,1701,2577,5.02,2.51
부산광역시,북구,부산광역시 북구,265364,4669,2115,2554,0.96,2.21
부산광역시,부산진구,부산광역시 부산진구,356874,5570,3017,2553,0.72,1.85
울산광역시,중구,울산광역시 중구,203766,4414,1871,2543,1.25,2.36
충청남도,공주시,충청남도 공주시,104393,5377,2845,2532,2.43,1.89
경상북도,김천시,경상북도 김천시,136187,6268,3753,2515,1.85,1.67
강원특별자치도,강릉시,강원특별자치도 강릉시,212352,6304,3835,2469,1.16,1.64
충청남도,홍성군,충청남도 홍성군,102178,6308,3849,2459,2.41,1.64
부산광역시,강서구,부산광역시 강서구,145762,9246,6852,2394,1.64,1.35
대전광역시,중구,대전광역시 중구,220497,4026,1650,2376,1.08,2.44
