sido,sigungu,region,total_population,foreign_residents,registered_foreigners,mois_minus_moj_people,gap_share_of_total_population_pct,mois_to_moj_ratio
경기도,시흥시,경기도 시흥시,571982,78444,40493,37951,6.63,1.94
경기도,화성시,경기도 화성시,1004079,81705,51059,30646,3.05,1.6
서울특별시,구로구,서울특별시 구로구,418832,53279,23747,29532,7.05,2.24
서울특별시,영등포구,서울특별시 영등포구,400799,50296,23400,26896,6.71,2.15
인천광역시,부평구,인천광역시 부평구,504885,37411,17009,20402,4.04,2.2
충청남도,아산시,충청남도 아산시,392509,43547,23572,19975,5.09,1.85
서울특별시,금천구,서울특별시 금천구,243662,31444,13911,17533,7.2,2.26
경기도,평택시,경기도 평택시,615755,48602,32489,16113,2.62,1.5
경기도,김포시,경기도 김포시,499536,40057,25608,14449,2.89,1.56
경상남도,김해시,경상남도 김해시,549861,38465,24727,13738,2.5,1.56
인천광역시,서구,인천광역시 서구,634066,29089,15810,13279,2.09,1.84
경기도,오산시,경기도 오산시,254071,23550,10610,12940,5.09,2.22
서울특별시,관악구,서울특별시 관악구,490493,30351,17808,12543,2.56,1.7
인천광역시,연수구,인천광역시 연수구,417391,30598,18098,12500,2.99,1.69
인천광역시,남동구,인천광역시 남동구,492920,25631,13399,12232,2.48,1.91
