year,total_households,one_person_households,two_person_households,four_person_households
2000,14507010,2255298,2763836,4509780
2001,14775329,2438225,2906274,4473023
2002,15109514,2628346,3061441,4455582
2003,15433649,2818062,3216187,4431997
2004,15732068,3001257,3365218,4401641
2005,16038858,3185621,3523633,4363856
2006,16322100,3377666,3646564,4293884
2007,16601723,3571412,3774890,4217118
2008,16883417,3766306,3906653,4136487
2009,17167884,3963334,4036033,4059147
2010,17494884,4174073,4183385,3980465
2011,17879317,4379916,4345788,3932023
2012,18118513,4563342,4481918,3841074
2013,18388488,4756220,4631438,3750597
2014,18704975,4964662,4788186,3671990
2015,19012895,5137971,4939845,3617560
2016,19281443,5332365,5042516,3564014
2017,19570670,5544152,5195244,3500020
2018,19876352,5771150,5383228,3422465
2019,20220447,6046695,5589994,3332538
2020,20730614,6476735,5796910,3280989
2021,21272581,6989675,6005098,3193722
2022,21663978,7388942,6198639,3059080
2023,21970523,7713031,6328392,2950509
2024,22179969,7940723,6470222,2855535
2025,22388821,8155636,6610895,2767284
2026,22597677,8359364,6750861,2685114
2027,22806529,8553012,6890161,2608516
2028,23000187,8722176,7024037,2539764
2029,23180688,8876401,7152385,2475036
2030,23348528,9016430,7278697,2412442
2031,23506021,9143070,7403889,2352700
2032,23651567,9266394,7510498,2300398
2033,23786407,9378096,7614437,2251750
2034,23908631,9479734,7714613,2205187
2035,24019901,9567890,7806258,2164995
2036,24119593,9639660,7899377,2126777
2037,24204775,9714284,7981048,2088707
2038,24273745,9776940,8058317,2052095
2039,24325345,9830949,8129711,2015226
2040,24358286,9881726,8187895,1979265
2041,24371931,9913246,8244872,1943769
2042,24365630,9939544,8293184,1903695
2043,24338645,9949808,8331939,1865351
2044,24290684,9944651,8363658,1828497
2045,24221145,9936175,8382130,1790280
2046,24131623,9909762,8394245,1753197
2047,24023713,9869976,8399206,1717322
2048,23899146,9822931,8389804,1685288
2049,23760443,9773795,8370671,1653454
2050,23609533,9726244,8339383,1621639
