year,item,participation_rate,item_label,base_2019_participation_rate,change_from_2019_p
2007,국어,17.3,국어,18.88902,-1.59
2008,국어,15.1,국어,18.88902,-3.79
2009,국어,14.8,국어,18.88902,-4.09
2010,국어,13.5,국어,18.88902,-5.39
2011,국어,11.3,국어,18.88902,-7.59
2012,국어,9.9,국어,18.88902,-8.99
2013,국어,9.8,국어,18.88902,-9.09
2014,국어,9.5567075535,국어,18.88902,-9.33
2015,국어,9.09434,국어,18.88902,-9.79
2016,국어,11.61208,국어,18.88902,-7.28
2017,국어,12.87318,국어,18.88902,-6.02
2018,국어,16.0161,국어,18.88902,-2.87
2019,국어,18.88902,국어,18.88902,0.0
2020,국어,20.25144,국어,18.88902,1.36
2021,국어,23.92993,국어,18.88902,5.04
2022,국어,25.79266,국어,18.88902,6.9
2023,국어,26.89985,국어,18.88902,8.01
2024,국어,27.51703,국어,18.88902,8.63
2025,국어,25.46708,국어,18.88902,6.58
2007,사회 과학,11.8,사회·과학,9.61246,2.19
2008,사회 과학,9.1,사회·과학,9.61246,-0.51
2009,사회 과학,9.2,사회·과학,9.61246,-0.41
2010,사회 과학,7.4,사회·과학,9.61246,-2.21
2011,사회 과학,5.5,사회·과학,9.61246,-4.11
2012,사회 과학,4.8,사회·과학,9.61246,-4.81
2013,사회 과학,3.5,사회·과학,9.61246,-6.11
2014,사회 과학,4.3331378848,사회·과학,9.61246,-5.28
2015,사회 과학,4.5666,사회·과학,9.61246,-5.05
2016,사회 과학,5.93251,사회·과학,9.61246,-3.68
2017,사회 과학,6.28181,사회·과학,9.61246,-3.33
2018,사회 과학,7.57983,사회·과학,9.61246,-2.03
2019,사회 과학,9.61246,사회·과학,9.61246,0.0
2020,사회 과학,10.67873,사회·과학,9.61246,1.07
2021,사회 과학,13.18657,사회·과학,9.61246,3.57
2022,사회 과학,14.26446,사회·과학,9.61246,4.65
2023,사회 과학,15.00126,사회·과학,9.61246,5.39
2024,사회 과학,14.98587,사회·과학,9.61246,5.37
2025,사회 과학,13.34132,사회·과학,9.61246,3.73
2007,수학,37.7,수학,41.68423,-3.98
2008,수학,36.6,수학,41.68423,-5.08
2009,수학,37.2,수학,41.68423,-4.48
2010,수학,36.2,수학,41.68423,-5.48
2011,수학,34.9,수학,41.68423,-6.78
2012,수학,34.7,수학,41.68423,-6.98
2013,수학,32.8,수학,41.68423,-8.88
2014,수학,33.5550146175,수학,41.68423,-8.13
2015,수학,33.38298,수학,41.68423,-8.3
2016,수학,36.0699,수학,41.68423,-5.61
2017,수학,36.8037,수학,41.68423,-4.88
2018,수학,38.00483,수학,41.68423,-3.68
2019,수학,41.68423,수학,41.68423,0.0
2020,수학,44.16417,수학,41.68423,2.48
2021,수학,45.56708,수학,41.68423,3.88
2022,수학,46.67422,수학,41.68423,4.99
2023,수학,47.44735,수학,41.68423,5.76
2024,수학,46.90677,수학,41.68423,5.22
2025,수학,42.19382,수학,41.68423,0.51
2007,영어,33.2,영어,36.34854,-3.15
2008,영어,33.0,영어,36.34854,-3.35
2009,영어,32.4,영어,36.34854,-3.95
2010,영어,29.9,영어,36.34854,-6.45
2011,영어,29.2,영어,36.34854,-7.15
2012,영어,28.4,영어,36.34854,-7.95
2013,영어,28.1,영어,36.34854,-8.25
