year,total_households,one_person_households,young_head_households_20_34,older_head_households_65plus,young_one_person_households_20_34,older_one_person_households_65plus,older_head_share_pct,young_head_share_pct,one_person_share_pct,young_one_person_share_of_total_pct,older_one_person_share_of_total_pct,young_one_person_share_of_one_person_pct,older_one_person_share_of_one_person_pct,total_households_index_2015_100,total_households_change_pct_since_2015,one_person_households_index_2015_100,one_person_households_change_pct_since_2015,young_one_person_households_20_34_index_2015_100,young_one_person_households_20_34_change_pct_since_2015,older_one_person_households_65plus_index_2015_100,older_one_person_households_65plus_change_pct_since_2015,older_head_households_65plus_index_2015_100,older_head_households_65plus_change_pct_since_2015
2015,19111030,5203440,2825868,3719624,1478175,1223169,19.46,14.79,27.23,7.73,6.4,28.41,23.51,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2016,19367696,5397615,2771860,3867406,1511528,1294453,19.97,14.31,27.87,7.8,6.68,28.0,23.98,101.34,1.34,103.73,3.73,102.26,2.26,105.83,5.83,103.97,3.97
2017,19673875,5618677,2745113,4065109,1539626,1370962,20.66,13.95,28.56,7.83,6.97,27.4,24.4,102.95,2.95,107.98,7.98,104.16,4.16,112.08,12.08,109.29,9.29
2018,19979188,5848594,2763851,4237675,1600466,1444588,21.21,13.83,29.27,8.01,7.23,27.36,24.7,104.54,4.54,112.4,12.4,108.27,8.27,118.1,18.1,113.93,13.93
2019,20343188,6147516,2867987,4458123,1731830,1532847,21.91,14.1,30.22,8.51,7.53,28.17,24.93,106.45,6.45,118.14,18.14,117.16,17.16,125.32,25.32,119.85,19.85
2020,20926710,6643354,3107309,4732364,1961469,1660711,22.61,14.85,31.75,9.37,7.94,29.53,25.0,109.5,9.5,127.67,27.67,132.7,32.7,135.77,35.77,127.23,27.23
2021,21448463,7165788,3270699,5015574,2122426,1824434,23.38,15.25,33.41,9.9,8.51,29.62,25.46,112.23,12.23,137.71,37.71,143.58,43.58,149.16,49.16,134.84,34.84
2022,21773507,7502350,3337247,5331539,2214285,1973416,24.49,15.33,34.46,10.17,9.06,29.51,26.3,113.93,13.93,144.18,44.18,149.8,49.8,161.34,61.34,143.34,43.34
2023,22073158,7829035,3365654,5655260,2280516,2138107,25.62,15.25,35.47,10.33,9.69,29.13,27.31,115.5,15.5,150.46,50.46,154.28,54.28,174.8,74.8,152.04,52.04
2024,22294419,8044948,3354435,5993409,2291810,2288807,26.88,15.05,36.09,10.28,10.27,28.49,28.45,116.66,16.66,154.61,54.61,155.04,55.04,187.12,87.12,161.13,61.13
