year,region,area_group,households,population,average_household_size,household_index_2015_100,population_index_2015_100,index_gap_household_minus_population,household_change_pct_since_2015,population_change_pct_since_2015
2015,강원특별자치도,비수도권,611578,1549507,2.534,100.0,100.0,0.0,0.0,0.0
2016,강원특별자치도,비수도권,621943,1550806,2.493,101.69,100.08,1.61,1.69,0.08
2017,강원특별자치도,비수도권,627054,1550142,2.472,102.53,100.04,2.49,2.53,0.04
2018,강원특별자치도,비수도권,634847,1543052,2.431,103.8,99.58,4.22,3.8,-0.42
2019,강원특별자치도,비수도권,641021,1541502,2.405,104.81,99.48,5.33,4.81,-0.52
2020,강원특별자치도,비수도권,668479,1542840,2.308,109.3,99.57,9.73,9.3,-0.43
2021,강원특별자치도,비수도권,682635,1538492,2.254,111.62,99.29,12.33,11.62,-0.71
2022,강원특별자치도,비수도권,693576,1536498,2.215,113.41,99.16,14.25,13.41,-0.84
2023,강원특별자치도,비수도권,708894,1527807,2.155,115.91,98.6,17.31,15.91,-1.4
2024,강원특별자치도,비수도권,714657,1517766,2.124,116.85,97.95,18.9,16.85,-2.05
2015,경기도,수도권,4537581,12522606,2.76,100.0,100.0,0.0,0.0,0.0
2016,경기도,수도권,4647205,12716780,2.736,102.42,101.55,0.87,2.42,1.55
2017,경기도,수도권,4773632,12873895,2.697,105.2,102.81,2.39,5.2,2.81
2018,경기도,수도권,4934208,13077153,2.65,108.74,104.43,4.31,8.74,4.43
2019,경기도,수도권,5097857,13239666,2.597,112.35,105.73,6.62,12.35,5.73
2020,경기도,수도권,5294836,13427014,2.536,116.69,107.22,9.47,16.69,7.22
2021,경기도,수도권,5492783,13565450,2.47,121.05,108.33,12.72,21.05,8.33
2022,경기도,수도권,5617507,13589432,2.419,123.8,108.52,15.28,23.8,8.52
2023,경기도,수도권,5722843,13630821,2.382,126.12,108.85,17.27,26.12,8.85
2024,경기도,수도권,5827597,13694685,2.35,128.43,109.36,19.07,28.43,9.36
2015,경상남도,비수도권,1282617,3364702,2.623,100.0,100.0,0.0,0.0,0.0
2016,경상남도,비수도권,1299027,3373871,2.597,101.28,100.27,1.01,1.28,0.27
2017,경상남도,비수도권,1318106,3380404,2.565,102.77,100.47,2.3,2.77,0.47
2018,경상남도,비수도권,1331278,3373988,2.534,103.79,100.28,3.51,3.79,0.28
2019,경상남도,비수도권,1347182,3362553,2.496,105.03,99.94,5.09,5.03,-0.06
2020,경상남도,비수도권,1376240,3340216,2.427,107.3,99.27,8.03,7.3,-0.73
2021,경상남도,비수도권,1405646,3314183,2.358,109.59,98.5,11.09,9.59,-1.5
2022,경상남도,비수도권,1420266,3280493,2.31,110.73,97.5,13.23,10.73,-2.5
2023,경상남도,비수도권,1436738,3251158,2.263,112.02,96.63,15.39,12.02,-3.37
2024,경상남도,비수도권,1452638,3228380,2.222,113.26,95.95,17.31,13.26,-4.05
2015,경상북도,비수도권,1078479,2702826,2.506,100.0,100.0,0.0,0.0,0.0
2016,경상북도,비수도권,1093211,2700398,2.47,101.37,99.91,1.46,1.37,-0.09
2017,경상북도,비수도권,1105213,2691706,2.435,102.48,99.59,2.89,2.48,-0.41
2018,경상북도,비수도권,1113008,2676831,2.405,103.2,99.04,4.16,3.2,-0.96
2019,경상북도,비수도권,1123145,2665836,2.374,104.14,98.63,5.51,4.14,-1.37
