year,region,area_group,households,population,average_household_size,household_index_2015_100,population_index_2015_100,index_gap_household_minus_population,household_change_pct_since_2015,population_change_pct_since_2015
2015,전국,전국,19560603,51478645,2.632,100.0,100.0,0.0,0.0,0.0
2016,전국,전국,19837665,51645664,2.603,101.42,100.32,1.1,1.42,0.32
2017,전국,전국,20167922,51728304,2.565,103.1,100.48,2.62,3.1,0.48
2018,전국,전국,20499543,51776344,2.526,104.8,100.58,4.22,4.8,0.58
2019,전국,전국,20891348,51801123,2.48,106.8,100.63,6.17,6.8,0.63
2020,전국,전국,21484785,51781548,2.41,109.84,100.59,9.25,9.84,0.59
2021,전국,전국,22022753,51593036,2.343,112.59,100.22,12.37,12.59,0.22
2022,전국,전국,22383187,51394082,2.296,114.43,99.84,14.59,14.43,-0.16
2023,전국,전국,22728163,51281134,2.256,116.19,99.62,16.57,16.19,-0.38
2024,전국,전국,22997120,51173670,2.225,117.57,99.41,18.16,17.57,-0.59
