year,region,area_group,households,population,average_household_size,household_index_2015_100,population_index_2015_100,index_gap_household_minus_population,household_change_pct_since_2015,population_change_pct_since_2015,gap_change_pct
2024,세종특별자치시,비수도권,161309,390685,2.422,211.08,185.26,25.82,111.08,85.26,25.82
2024,충청북도,비수도권,750756,1547626,2.061,122.47,100.94,21.53,22.47,0.94,21.53
2024,제주특별자치도,비수도권,288635,670368,2.323,128.44,107.36,21.08,28.44,7.36,21.08
2024,충청남도,비수도권,1007652,2136574,2.12,123.45,102.84,20.61,23.45,2.84,20.61
2024,인천광역시,수도권,1310880,3021010,2.305,122.94,103.25,19.69,22.94,3.25,19.69
2024,대전광역시,비수도권,670971,1439157,2.145,114.03,94.76,19.27,14.03,-5.24,19.27
2024,경기도,수도권,5827597,13694685,2.35,128.43,109.36,19.07,28.43,9.36,19.07
2024,강원특별자치도,비수도권,714657,1517766,2.124,116.85,97.95,18.9,16.85,-2.05,18.9
2024,전라남도,비수도권,817003,1788819,2.189,111.8,93.7,18.1,11.8,-6.3,18.1
2024,경상북도,비수도권,1204317,2531384,2.102,111.67,93.66,18.01,11.67,-6.34,18.01
2024,대구광역시,비수도권,1059084,2363629,2.232,112.96,95.01,17.95,12.96,-4.99,17.95
2024,전북특별자치도,비수도권,805961,1738690,2.157,110.93,92.99,17.94,10.93,-7.01,17.94
2024,부산광역시,비수도권,1491579,3266598,2.19,110.63,92.97,17.66,10.63,-7.03,17.66
2024,경상남도,비수도권,1452638,3228380,2.222,113.26,95.95,17.31,13.26,-4.05,17.31
2024,서울특별시,수도권,4319073,9331828,2.161,110.33,93.11,17.22,10.33,-6.89,17.22
2024,광주광역시,비수도권,641029,1408422,2.197,111.84,95.67,16.17,11.84,-4.33,16.17
2024,울산광역시,비수도권,473979,1098049,2.317,109.2,93.57,15.63,9.2,-6.43,15.63
