year,age_group,disposable_income_10k_krw,assets_10k_krw,current_home_deposit_10k_krw,debt_10k_krw,annual_debt_repayment_10k_krw,net_assets_10k_krw,debt_to_disposable_income_pct,repayment_to_disposable_income_pct,deposit_to_disposable_income_pct
2017,29세 이하,2833.074573319,9882.2164383347,3166.902869376,2392.886448302,393.4467770942,7489.3299900327,84.5,13.9,111.8
2018,29세 이하,3070.4752057864,9892.155418763,3192.8956237967,2590.6820334797,354.2639904207,7301.4733852833,84.4,11.5,104.0
2019,29세 이하,3190.9857078062,10993.790157277,3883.8697064591,3197.3475139499,509.4659387353,7796.442643327,100.2,16.0,121.7
2020,29세 이하,3052.6146341894,10719.6868797053,4021.2847199696,3478.6204968475,516.9557687171,7241.0663828578,114.0,16.9,131.7
2021,29세 이하,3237.3047557739,12140.1592375553,4588.0083891552,3550.143510659,530.2669232371,8590.0157268963,109.7,16.4,141.7
2022,29세 이하,3440.4607800268,13497.8024394536,5415.0752394215,5014.3094601065,580.9426288664,8483.4929793471,145.7,16.9,157.4
2023,29세 이하,3525.3111814014,14661.6893893523,5633.7348397918,4707.9757344944,854.3218419223,9953.7136548578,133.5,24.2,159.8
2024,29세 이하,4062.286081579,14917.6851927106,5716.2082825866,4531.3202451461,1046.7366863973,10386.3649475645,111.5,25.8,140.7
2025,29세 이하,3837.7295493466,15499.6831426853,4971.9400612624,4703.3064243629,902.1909102229,10796.3767183224,122.6,23.5,129.6
2017,30~39세,4533.0823545963,28823.7636254141,5032.4990807352,6920.1005059164,1183.2279824192,21903.6631194977,152.7,26.1,111.0
2018,30~39세,4734.1706044328,31503.3055141415,5093.6371453426,8087.8189515032,1304.9008900625,23415.4865626383,170.8,27.6,107.6
2019,30~39세,4891.6880911452,32638.3784840376,5146.7569210962,8914.9882980473,1579.4453034556,23723.3901859903,182.2,32.3,105.2
2020,30~39세,5182.1110702158,35467.3748491341,5926.9673881869,10082.0128425979,1548.63096029,25385.3620065361,194.6,29.9,114.4
2021,30~39세,5432.3614565151,40016.5170691857,6740.2684378247,11189.7503525334,1866.3631221694,28826.7667166524,206.0,34.4,124.1
2022,30~39세,5639.6725163778,41245.648899755,7260.7819612224,11307.271852674,1601.4248890858,29938.377047081,200.5,28.4,128.7
2023,30~39세,5771.2758120365,38617.0440717512,7707.6071834285,11316.9655166434,1886.5712311693,27300.0785551079,196.1,32.7,133.6
2024,30~39세,5838.4992956416,36175.0581607063,7092.1661642221,10772.9192446382,1689.012742936,25402.1389160682,184.5,28.9,121.5
2025,30~39세,5976.1300710917,35958.1763371086,7114.69352879,10898.5041555246,1645.7212874209,25059.672181584,182.4,27.5,119.1
