year,region_code,region,under40_owner_households,under40_nonowner_households,under40_homeownership_rate,under40_nonowner_rate,births,crude_birth_rate,marriages,crude_marriage_rate,capital_area
2015,0,전국,1580500.0,3049869.0,34.13,65.87,438420.0,8.6,302828.0,5.9,False
2016,0,전국,1496177.0,3104838.0,32.52,67.48,406243.0,7.9,281635.0,5.5,False
2017,0,전국,1492411.0,3120566.0,32.35,67.65,357771.0,7.0,264455.0,5.2,False
2018,0,전국,1502969.0,3149433.0,32.31,67.69,326822.0,6.4,257622.0,5.0,False
2019,0,전국,1459360.0,3255215.0,30.95,69.05,302676.0,5.9,239159.0,4.7,False
2020,0,전국,1441226.0,3454959.0,29.44,70.56,272337.0,5.3,213502.0,4.2,False
2021,0,전국,1467386.0,3537423.0,29.32,70.68,260562.0,5.1,192507.0,3.8,False
2022,0,전국,1388532.0,3590832.0,27.89,72.11,249186.0,4.9,191690.0,3.7,False
2023,0,전국,1324481.0,3612021.0,26.83,73.17,230028.0,4.5,193657.0,3.8,False
2024,0,전국,1288440.0,3612321.0,26.29,73.71,238317.0,4.7,222412.0,4.4,False
