year,region_code,region,under40_owner_households,under40_nonowner_households,under40_homeownership_rate,under40_nonowner_rate,births,crude_birth_rate,marriages,crude_marriage_rate,capital_area
2015,00,전국,1580500.0,3049869.0,34.13,65.87,438420.0,8.6,302828.0,5.9,False
2016,00,전국,1496177.0,3104838.0,32.52,67.48,406243.0,7.9,281635.0,5.5,False
2017,00,전국,1492411.0,3120566.0,32.35,67.65,357771.0,7.0,264455.0,5.2,False
2018,00,전국,1502969.0,3149433.0,32.31,67.69,326822.0,6.4,257622.0,5.0,False
2019,00,전국,1459360.0,3255215.0,30.95,69.05,302676.0,5.9,239159.0,4.7,False
2020,00,전국,1441226.0,3454959.0,29.44,70.56,272337.0,5.3,213502.0,4.2,False
2021,00,전국,1467386.0,3537423.0,29.32,70.68,260562.0,5.1,192507.0,3.8,False
2022,00,전국,1388532.0,3590832.0,27.89,72.11,249186.0,4.9,191690.0,3.7,False
2023,00,전국,1324481.0,3612021.0,26.83,73.17,230028.0,4.5,193657.0,3.8,False
2024,00,전국,1288440.0,3612321.0,26.29,73.71,238317.0,4.7,222412.0,4.4,False
2015,11,서울특별시,273411.0,799401.0,25.49,74.51,83005.0,8.4,64193.0,6.5,True
2016,11,서울특별시,254579.0,805519.0,24.01,75.99,75536.0,7.7,57643.0,5.9,True
2017,11,서울특별시,255503.0,812659.0,23.92,76.08,65389.0,6.7,53776.0,5.5,True
2018,11,서울특별시,256389.0,831304.0,23.57,76.43,58074.0,6.0,52005.0,5.4,True
2019,11,서울특별시,245129.0,869069.0,22.0,78.0,53673.0,5.6,48261.0,5.0,True
2020,11,서울특별시,249473.0,909288.0,21.53,78.47,47445.0,5.0,44746.0,4.7,True
2021,11,서울특별시,259139.0,928238.0,21.82,78.18,45531.0,4.8,37012.0,3.9,True
2022,11,서울특별시,245898.0,957322.0,20.44,79.56,42602.0,4.5,35752.0,3.8,True
2023,11,서울특별시,228428.0,982832.0,18.86,81.14,39456.0,4.2,36324.0,3.9,True
2024,11,서울특별시,216129.0,992856.0,17.88,82.12,41605.0,4.5,42471.0,4.6,True
2015,21,부산광역시,99636.0,174942.0,36.29,63.71,26645.0,7.7,18553.0,5.3,False
2016,21,부산광역시,96011.0,176594.0,35.22,64.78,24906.0,7.2,17113.0,4.9,False
2017,21,부산광역시,95315.0,181420.0,34.44,65.56,21480.0,6.2,15677.0,4.5,False
2018,21,부산광역시,91874.0,186080.0,33.05,66.95,19152.0,5.6,14781.0,4.3,False
2019,21,부산광역시,85007.0,194400.0,30.42,69.58,17049.0,5.0,13780.0,4.1,False
2020,21,부산광역시,81573.0,207482.0,28.22,71.78,15058.0,4.5,12128.0,3.6,False
2021,21,부산광역시,82993.0,214744.0,27.87,72.13,14446.0,4.3,11081.0,3.3,False
2022,21,부산광역시,80068.0,219446.0,26.73,73.27,14134.0,4.3,10618.0,3.2,False
2023,21,부산광역시,75735.0,221038.0,25.52,74.48,12866.0,3.9,10303.0,3.1,False
2024,21,부산광역시,70586.0,222472.0,24.09,75.91,13063.0,4.0,11499.0,3.5,False
2015,22,대구광역시,70188.0,127798.0,35.45,64.55,19438.0,7.9,12545.0,5.1,False
2016,22,대구광역시,67011.0,125667.0,34.78,65.22,18298.0,7.4,12216.0,5.0,False
2017,22,대구광역시,67700.0,126135.0,34.93,65.07,15946.0,6.5,11392.0,4.6,False
2018,22,대구광역시,68105.0,127509.0,34.82,65.18,14400.0,5.9,10967.0,4.5,False
2019,22,대구광역시,65230.0,133123.0,32.89,67.11,13233.0,5.4,9880.0,4.1,False
2020,22,대구광역시,62154.0,138474.0,30.98,69.02,11193.0,4.6,8340.0,3.5,False
2021,22,대구광역시,61635.0,142357.0,30.21,69.79,10661.0,4.5,7287.0,3.1,False
2022,22,대구광역시,57790.0,144564.0,28.56,71.44,10134.0,4.3,7497.0,3.2,False
2023,22,대구광역시,56068.0,146824.0,27.63,72.37,9410.0,4.0,8150.0,3.4,False
2024,22,대구광역시,58577.0,144284.0,28.88,71.12,10103.0,4.3,9289.0,3.9,False
2015,23,인천광역시,99151.0,153060.0,39.31,60.69,25491.0,8.8,17118.0,5.9,True
2016,23,인천광역시,94822.0,155747.0,37.84,62.16,23609.0,8.1,16092.0,5.5,True
2017,23,인천광역시,93515.0,155686.0,37.53,62.47,20445.0,7.0,15235.0,5.2,True
2018,23,인천광역시,92558.0,152523.0,37.77,62.23,20087.0,6.9,14850.0,5.1,True
2019,23,인천광역시,87661.0,162706.0,35.01,64.99,18522.0,6.3,13401.0,4.6,True
2020,23,인천광역시,83257.0,171949.0,32.62,67.38,16040.0,5.5,11574.0,4.0,True
2021,23,인천광역시,85261.0,181283.0,31.99,68.01,14947.0,5.1,10881.0,3.7,True
2022,23,인천광역시,81168.0,187603.0,30.2,69.8,14464.0,4.9,10849.0,3.7,True
2023,23,인천광역시,78025.0,192131.0,28.88,71.12,13659.0,4.6,11621.0,3.9,True
2024,23,인천광역시,76287.0,195362.0,28.08,71.92,15236.0,5.1,13223.0,4.4,True
2015,24,광주광역시,55102.0,99495.0,35.64,64.36,12441.0,8.5,7945.0,5.4,False
2016,24,광주광역시,51546.0,97435.0,34.6,65.4,11580.0,7.9,7468.0,5.1,False
2017,24,광주광역시,49750.0,97557.0,33.77,66.23,10120.0,6.9,7141.0,4.9,False
2018,24,광주광역시,50159.0,95226.0,34.5,65.5,9105.0,6.3,6632.0,4.6,False
2019,24,광주광역시,48460.0,98067.0,33.07,66.93,8364.0,5.8,6297.0,4.3,False
2020,24,광주광역시,46638.0,102915.0,31.18,68.82,7318.0,5.1,5560.0,3.8,False
2021,24,광주광역시,47641.0,106257.0,30.96,69.04,7956.0,5.5,4901.0,3.4,False
2022,24,광주광역시,45527.0,106274.0,29.99,70.01,7446.0,5.2,4902.0,3.4,False
2023,24,광주광역시,43053.0,104446.0,29.19,70.81,6172.0,4.3,5169.0,3.6,False
2024,24,광주광역시,40884.0,102541.0,28.51,71.49,6034.0,4.3,5688.0,4.0,False
2015,25,대전광역시,49863.0,117693.0,29.76,70.24,13774.0,9.1,8805.0,5.8,False
2016,25,대전광역시,46071.0,122352.0,27.35,72.65,12436.0,8.3,8325.0,5.5,False
2017,25,대전광역시,43469.0,126281.0,25.61,74.39,10851.0,7.2,7697.0,5.1,False
2018,25,대전광역시,43553.0,126401.0,25.63,74.37,9337.0,6.3,7377.0,5.0,False
2019,25,대전광역시,41128.0,130221.0,24.0,76.0,8410.0,5.7,6602.0,4.5,False
2020,25,대전광역시,40657.0,144768.0,21.93,78.07,7481.0,5.1,5976.0,4.1,False
2021,25,대전광역시,41327.0,143998.0,22.3,77.7,7414.0,5.1,5419.0,3.7,False
2022,25,대전광역시,39554.0,144112.0,21.54,78.46,7677.0,5.3,5662.0,3.9,False
2023,25,대전광역시,38191.0,147048.0,20.62,79.38,7194.0,5.0,5212.0,3.6,False
2024,25,대전광역시,36208.0,147322.0,19.73,80.27,7266.0,5.1,7986.0,5.6,False
2015,26,울산광역시,47118.0,57618.0,44.99,55.01,11732.0,10.1,7483.0,6.4,False
2016,26,울산광역시,45797.0,56319.0,44.85,55.15,10910.0,9.4,7006.0,6.0,False
