year,group,tenure_type,share_pct
2019,30대 이하,보증금 있는 월세,28.7
2020,30대 이하,보증금 있는 월세,29.2
2021,30대 이하,보증금 있는 월세,35.6
2022,30대 이하,보증금 있는 월세,32.6
2023,30대 이하,보증금 있는 월세,27.6
2024,30대 이하,보증금 있는 월세,28.9
2019,30대 이하,자가,25.8
2020,30대 이하,자가,27.8
2021,30대 이하,자가,22.1
2022,30대 이하,자가,17.9
2023,30대 이하,자가,23.3
2024,30대 이하,자가,23.0
2019,30대 이하,전세,39.8
2020,30대 이하,전세,38.5
2021,30대 이하,전세,37.1
2022,30대 이하,전세,43.5
2023,30대 이하,전세,46.2
2024,30대 이하,전세,43.5
2019,미혼,보증금 있는 월세,50.4
2020,미혼,보증금 있는 월세,47.7
2021,미혼,보증금 있는 월세,58.6
2022,미혼,보증금 있는 월세,51.8
2023,미혼,보증금 있는 월세,40.6
2024,미혼,보증금 있는 월세,44.1
2019,미혼,자가,14.8
2020,미혼,자가,17.7
2021,미혼,자가,15.8
2022,미혼,자가,12.7
2023,미혼,자가,17.5
2024,미혼,자가,19.4
2019,미혼,전세,26.7
2020,미혼,전세,27.5
2021,미혼,전세,18.8
2022,미혼,전세,28.1
2023,미혼,전세,37.6
2024,미혼,전세,30.3
2019,신혼,보증금 있는 월세,11.4
2020,신혼,보증금 있는 월세,13.2
2021,신혼,보증금 있는 월세,17.2
2022,신혼,보증금 있는 월세,16.0
2023,신혼,보증금 있는 월세,15.7
2024,신혼,보증금 있는 월세,11.7
2019,신혼,자가,33.8
2020,신혼,자가,36.1
2021,신혼,자가,27.2
2022,신혼,자가,23.9
2023,신혼,자가,29.4
2024,신혼,자가,26.7
2019,신혼,전세,51.4
2020,신혼,전세,48.5
2021,신혼,전세,51.1
2022,신혼,전세,56.5
2023,신혼,전세,53.4
2024,신혼,전세,59.1
