year,region_code,region,under40_owner_households,under40_nonowner_households,under40_homeownership_rate,under40_nonowner_rate
2015,00,전국,1580500.0,3049869.0,34.13,65.87
2016,00,전국,1496177.0,3104838.0,32.52,67.48
2017,00,전국,1492411.0,3120566.0,32.35,67.65
2018,00,전국,1502969.0,3149433.0,32.31,67.69
2019,00,전국,1459360.0,3255215.0,30.95,69.05
2020,00,전국,1441226.0,3454959.0,29.44,70.56
2021,00,전국,1467386.0,3537423.0,29.32,70.68
2022,00,전국,1388532.0,3590832.0,27.89,72.11
2023,00,전국,1324481.0,3612021.0,26.83,73.17
2024,00,전국,1288440.0,3612321.0,26.29,73.71
2015,11,서울특별시,273411.0,799401.0,25.49,74.51
2016,11,서울특별시,254579.0,805519.0,24.01,75.99
2017,11,서울특별시,255503.0,812659.0,23.92,76.08
2018,11,서울특별시,256389.0,831304.0,23.57,76.43
2019,11,서울특별시,245129.0,869069.0,22.0,78.0
2020,11,서울특별시,249473.0,909288.0,21.53,78.47
2021,11,서울특별시,259139.0,928238.0,21.82,78.18
2022,11,서울특별시,245898.0,957322.0,20.44,79.56
2023,11,서울특별시,228428.0,982832.0,18.86,81.14
2024,11,서울특별시,216129.0,992856.0,17.88,82.12
2015,21,부산광역시,99636.0,174942.0,36.29,63.71
2016,21,부산광역시,96011.0,176594.0,35.22,64.78
2017,21,부산광역시,95315.0,181420.0,34.44,65.56
2018,21,부산광역시,91874.0,186080.0,33.05,66.95
2019,21,부산광역시,85007.0,194400.0,30.42,69.58
2020,21,부산광역시,81573.0,207482.0,28.22,71.78
2021,21,부산광역시,82993.0,214744.0,27.87,72.13
2022,21,부산광역시,80068.0,219446.0,26.73,73.27
2023,21,부산광역시,75735.0,221038.0,25.52,74.48
2024,21,부산광역시,70586.0,222472.0,24.09,75.91
2015,22,대구광역시,70188.0,127798.0,35.45,64.55
2016,22,대구광역시,67011.0,125667.0,34.78,65.22
2017,22,대구광역시,67700.0,126135.0,34.93,65.07
2018,22,대구광역시,68105.0,127509.0,34.82,65.18
2019,22,대구광역시,65230.0,133123.0,32.89,67.11
2020,22,대구광역시,62154.0,138474.0,30.98,69.02
2021,22,대구광역시,61635.0,142357.0,30.21,69.79
2022,22,대구광역시,57790.0,144564.0,28.56,71.44
2023,22,대구광역시,56068.0,146824.0,27.63,72.37
2024,22,대구광역시,58577.0,144284.0,28.88,71.12
2015,23,인천광역시,99151.0,153060.0,39.31,60.69
