topo_code,kosis_region_code,region,region_eng,husband_total_marriages,wife_total_marriages,korean_husband_foreign_wife,korean_wife_foreign_husband,map_match_note,total_marriages_for_rate,international_marriages,international_marriage_share_pct,year
36410,36610,영암군,Yeongam-gun,210.0,176.0,47.0,19.0,name_prefix_boundary_code,193.0,66.0,34.2,2024
37320,37520,의성군,Uiseong-gun,104.0,79.0,23.0,3.0,name_prefix_boundary_code,91.5,26.0,28.42,2024
34310,34510,금산군,Geumsan-gun,118.0,92.0,26.0,3.0,name_prefix_boundary_code,105.0,29.0,27.62,2024
35370,35570,고창군,Gochang-gun,142.0,90.0,26.0,4.0,name_prefix_boundary_code,116.0,30.0,25.86,2024
34350,34550,청양군,Cheongyang-gun,80.0,58.0,14.0,3.0,name_prefix_boundary_code,69.0,17.0,24.64,2024
35380,35580,부안군,Buan-gun,114.0,89.0,18.0,7.0,name_prefix_boundary_code,101.5,25.0,24.63,2024
33320,33520,보은군,Boeun-gun,63.0,53.0,13.0,1.0,name_prefix_boundary_code,58.0,14.0,24.14,2024
36400,36600,해남군,Haenam-gun,189.0,145.0,38.0,2.0,name_prefix_boundary_code,167.0,40.0,23.95,2024
36350,36550,고흥군,Goheung-gun,144.0,126.0,30.0,2.0,name_prefix_boundary_code,135.0,32.0,23.7,2024
35320,35520,진안군,Jinan-gun,51.0,44.0,10.0,1.0,name_prefix_boundary_code,47.5,11.0,23.16,2024
34330,34530,부여군,Buyeo-gun,158.0,129.0,32.0,1.0,name_prefix_boundary_code,143.5,33.0,23.0,2024
35060,35060,김제시,Gimje-si,323.0,271.0,54.0,14.0,direct_topo_code,297.0,68.0,22.9,2024
33370,33570,음성군,Eumseong-gun,357.0,282.0,64.0,9.0,name_prefix_boundary_code,319.5,73.0,22.85,2024
32320,32520,횡성군,Hoengseong-gun,134.0,112.0,20.0,8.0,name_prefix_boundary_code,123.0,28.0,22.76,2024
32350,32550,정선군,Jeongseon-gun,100.0,69.0,18.0,1.0,name_prefix_boundary_code,84.5,19.0,22.49,2024
38330,38530,창녕군,Changnyeong-gun,152.0,125.0,20.0,10.0,name_prefix_boundary_code,138.5,30.0,21.66,2024
33330,33530,옥천군,Okcheon-gun,124.0,112.0,18.0,7.0,name_prefix_boundary_code,118.0,25.0,21.19,2024
37380,37580,성주군,Seongju-gun,114.0,105.0,19.0,4.0,name_prefix_boundary_code,109.5,23.0,21.0,2024
37330,37530,청송군,Cheongsong-gun,51.0,36.0,7.0,2.0,name_prefix_boundary_code,43.5,9.0,20.69,2024
36460,36660,완도군,Wando-gun,132.0,103.0,21.0,3.0,name_prefix_boundary_code,117.5,24.0,20.43,2024
35050,35050,남원시,Namwon-si,220.0,172.0,35.0,5.0,direct_topo_code,196.0,40.0,20.41,2024
36360,36560,보성군,Boseong-gun,80.0,69.0,12.0,3.0,name_prefix_boundary_code,74.5,15.0,20.13,2024
38400,38600,합천군,Hapcheon-gun,84.0,65.0,15.0,0.0,name_prefix_boundary_code,74.5,15.0,20.13,2024
36330,36530,구례군,Gurye-gun,56.0,44.0,9.0,1.0,name_prefix_boundary_code,50.0,10.0,20.0,2024
34340,34540,서천군,Seocheon-gun,119.0,104.0,17.0,5.0,name_prefix_boundary_code,111.5,22.0,19.73,2024
21010,21010,중구,Jung-gu,116.0,139.0,20.0,5.0,direct_topo_code,127.5,25.0,19.61,2024
36430,36630,함평군,Hampyeong-gun,85.0,68.0,13.0,2.0,name_prefix_boundary_code,76.5,15.0,19.61,2024
33380,33580,단양군,Danyang-gun,65.0,48.0,9.0,2.0,name_prefix_boundary_code,56.5,11.0,19.47,2024
38360,38560,하동군,Hadong-gun,96.0,79.0,12.0,5.0,name_prefix_boundary_code,87.5,17.0,19.43,2024
35350,35550,임실군,Imsil-gun,54.0,51.0,9.0,1.0,name_prefix_boundary_code,52.5,10.0,19.05,2024
31080,31080,동두천시,Dongducheon-si,328.0,302.0,53.0,6.0,direct_topo_code,315.0,59.0,18.73,2024
35040,35040,정읍시,Jeongeup-si,283.0,254.0,38.0,12.0,direct_topo_code,268.5,50.0,18.62,2024
36380,36580,장흥군,Jangheung-gun,113.0,93.0,17.0,2.0,name_prefix_boundary_code,103.0,19.0,18.45,2024
37080,37080,상주시,Sangju-si,223.0,200.0,31.0,8.0,direct_topo_code,211.5,39.0,18.44,2024
35330,35530,무주군,Muju-gun,56.0,54.0,9.0,1.0,name_prefix_boundary_code,55.0,10.0,18.18,2024
38380,38580,함양군,Hamyang-gun,65.0,67.0,6.0,6.0,name_prefix_boundary_code,66.0,12.0,18.18,2024
32330,32530,영월군,Yeongwol-gun,117.0,104.0,16.0,4.0,name_prefix_boundary_code,110.5,20.0,18.1,2024
36470,36670,진도군,Jindo-gun,88.0,67.0,11.0,3.0,name_prefix_boundary_code,77.5,14.0,18.06,2024
38320,38520,함안군,Haman-gun,132.0,134.0,14.0,10.0,name_prefix_boundary_code,133.0,24.0,18.05,2024
37370,37570,고령군,Goryeong-gun,78.0,90.0,14.0,1.0,name_prefix_boundary_code,84.0,15.0,17.86,2024
34080,34080,당진시,Dangjin-si,806.0,608.0,108.0,17.0,direct_topo_code,707.0,125.0,17.68,2024
36390,36590,강진군,Gangjin-gun,97.0,76.0,15.0,0.0,name_prefix_boundary_code,86.5,15.0,17.34,2024
23310,23510,강화군,Ganghwa-gun,165.0,135.0,22.0,4.0,name_prefix_boundary_code,150.0,26.0,17.33,2024
38310,38510,의령군,Uiryeong-gun,73.0,58.0,11.0,0.0,name_prefix_boundary_code,65.5,11.0,16.79,2024
37390,37590,칠곡군,Chilgok-gun,403.0,349.0,46.0,17.0,name_prefix_boundary_code,376.0,63.0,16.76,2024
11010,11010,종로구,Jongno-gu,513.0,557.0,57.0,31.0,direct_topo_code,535.0,88.0,16.45,2024
34060,34060,논산시,Nonsan-si,385.0,347.0,47.0,12.0,direct_topo_code,366.0,59.0,16.12,2024
34370,34570,예산군,Yesan-gun,335.0,268.0,45.0,2.0,name_prefix_boundary_code,301.5,47.0,15.59,2024
38050,38050,통영시,Tongyeong-si,294.0,285.0,34.0,11.0,direct_topo_code,289.5,45.0,15.54,2024
38370,38570,산청군,Sancheong-gun,67.0,62.0,7.0,3.0,name_prefix_boundary_code,64.5,10.0,15.5,2024
37410,37610,봉화군,Bonghwa-gun,65.0,52.0,8.0,1.0,name_prefix_boundary_code,58.5,9.0,15.38,2024
33360,33560,괴산군,Goesan-gun,100.0,82.0,12.0,2.0,name_prefix_boundary_code,91.0,14.0,15.38,2024
36480,36680,신안군,Sinan-gun,104.0,67.0,13.0,0.0,name_prefix_boundary_code,85.5,13.0,15.2,2024
31150,31150,시흥시,Siheung-si,2389.0,2170.0,249.0,96.0,direct_topo_code,2279.5,345.0,15.13,2024
38080,38080,밀양시,Miryang-si,254.0,235.0,31.0,6.0,direct_topo_code,244.5,37.0,15.13,2024
31370,31570,가평군,Gapyeong-gun,229.0,181.0,27.0,4.0,name_prefix_boundary_code,205.0,31.0,15.12,2024
39020,39020,서귀포시,Seogwipo-si,645.0,565.0,70.0,21.0,direct_topo_code,605.0,91.0,15.04,2024
37400,37600,예천군,Yecheon-gun,199.0,176.0,23.0,5.0,name_prefix_boundary_code,187.5,28.0,14.93,2024
37360,37560,청도군,Cheongdo-gun,78.0,73.0,10.0,1.0,name_prefix_boundary_code,75.5,11.0,14.57,2024
34040,34040,아산시,Asan-si,1791.0,1513.0,192.0,48.0,direct_topo_code,1652.0,240.0,14.53,2024
31280,31280,여주시,Yeoju-si,407.0,379.0,47.0,10.0,direct_topo_code,393.0,57.0,14.5,2024
35020,35020,군산시,Gunsan-si,949.0,824.0,97.0,31.0,direct_topo_code,886.5,128.0,14.44,2024
31070,31070,평택시,Pyeongtaek-si,3372.0,2901.0,313.0,137.0,direct_topo_code,3136.5,450.0,14.35,2024
37060,37060,영주시,Yeongju-si,256.0,232.0,28.0,7.0,direct_topo_code,244.0,35.0,14.34,2024
32380,32580,양구군,Yanggu-gun,112.0,72.0,11.0,2.0,name_prefix_boundary_code,92.0,13.0,14.13,2024
31270,31270,포천시,Pocheon-si,583.0,475.0,59.0,15.0,direct_topo_code,529.0,74.0,13.99,2024
33350,33550,진천군,Jincheon-gun,464.0,396.0,53.0,7.0,name_prefix_boundary_code,430.0,60.0,13.95,2024
21040,21040,영도구,Yeongdo-gu,300.0,275.0,31.0,9.0,direct_topo_code,287.5,40.0,13.91,2024
33390,33590,증평군,Jeungpyeong-gun,180.0,137.0,16.0,6.0,name_prefix_boundary_code,158.5,22.0,13.88,2024
35340,35540,장수군,Jangsu-gun,58.0,43.0,5.0,2.0,name_prefix_boundary_code,50.5,7.0,13.86,2024
34380,34580,태안군,Taean-gun,230.0,205.0,27.0,3.0,name_prefix_boundary_code,217.5,30.0,13.79,2024
39010,39010,제주시,Jeju-si,2099.0,1870.0,228.0,44.0,direct_topo_code,1984.5,272.0,13.71,2024
32310,32510,홍천군,Hongcheon-gun,243.0,196.0,23.0,7.0,name_prefix_boundary_code,219.5,30.0,13.67,2024
31380,31580,양평군,Yangpyeong-gun,356.0,332.0,33.0,14.0,name_prefix_boundary_code,344.0,47.0,13.66,2024
34020,34020,공주시,Gongju-si,271.0,245.0,28.0,7.0,direct_topo_code,258.0,35.0,13.57,2024
