country_code,country,year,total_fertility_rate,country_display,region_group
TWN,Taiwan,2000,1.68,대만,아시아
TWN,Taiwan,2001,1.4,대만,아시아
TWN,Taiwan,2002,1.34,대만,아시아
TWN,Taiwan,2003,1.235,대만,아시아
TWN,Taiwan,2004,1.18,대만,아시아
TWN,Taiwan,2005,1.115,대만,아시아
TWN,Taiwan,2006,1.115,대만,아시아
TWN,Taiwan,2007,1.1,대만,아시아
TWN,Taiwan,2008,1.05,대만,아시아
TWN,Taiwan,2009,1.03,대만,아시아
TWN,Taiwan,2010,0.895,대만,아시아
TWN,Taiwan,2011,1.065,대만,아시아
TWN,Taiwan,2012,1.27,대만,아시아
TWN,Taiwan,2013,1.065,대만,아시아
TWN,Taiwan,2014,1.165,대만,아시아
TWN,Taiwan,2015,1.175,대만,아시아
TWN,Taiwan,2016,1.17,대만,아시아
TWN,Taiwan,2017,1.125,대만,아시아
TWN,Taiwan,2018,1.06,대만,아시아
TWN,Taiwan,2019,1.05,대만,아시아
TWN,Taiwan,2020,0.99,대만,아시아
TWN,Taiwan,2021,0.975,대만,아시아
TWN,Taiwan,2022,0.87,대만,아시아
TWN,Taiwan,2023,0.865,대만,아시아
TWN,Taiwan,2024,0.885,대만,아시아
SGP,Singapore,2000,1.6,싱가포르,아시아
SGP,Singapore,2001,1.41,싱가포르,아시아
SGP,Singapore,2002,1.37,싱가포르,아시아
SGP,Singapore,2003,1.27,싱가포르,아시아
SGP,Singapore,2004,1.26,싱가포르,아시아
SGP,Singapore,2005,1.26,싱가포르,아시아
SGP,Singapore,2006,1.28,싱가포르,아시아
SGP,Singapore,2007,1.29,싱가포르,아시아
SGP,Singapore,2008,1.28,싱가포르,아시아
SGP,Singapore,2009,1.22,싱가포르,아시아
SGP,Singapore,2010,1.15,싱가포르,아시아
SGP,Singapore,2011,1.2,싱가포르,아시아
SGP,Singapore,2012,1.29,싱가포르,아시아
SGP,Singapore,2013,1.19,싱가포르,아시아
SGP,Singapore,2014,1.25,싱가포르,아시아
SGP,Singapore,2015,1.24,싱가포르,아시아
SGP,Singapore,2016,1.2,싱가포르,아시아
SGP,Singapore,2017,1.16,싱가포르,아시아
SGP,Singapore,2018,1.14,싱가포르,아시아
SGP,Singapore,2019,1.14,싱가포르,아시아
SGP,Singapore,2020,1.1,싱가포르,아시아
SGP,Singapore,2021,1.12,싱가포르,아시아
SGP,Singapore,2022,1.04,싱가포르,아시아
SGP,Singapore,2023,0.97,싱가포르,아시아
SGP,Singapore,2024,0.97,싱가포르,아시아
JPN,Japan,2000,1.36,일본,아시아
JPN,Japan,2001,1.33,일본,아시아
JPN,Japan,2002,1.32,일본,아시아
JPN,Japan,2003,1.29,일본,아시아
JPN,Japan,2004,1.29,일본,아시아
JPN,Japan,2005,1.26,일본,아시아
JPN,Japan,2006,1.32,일본,아시아
JPN,Japan,2007,1.34,일본,아시아
JPN,Japan,2008,1.37,일본,아시아
JPN,Japan,2009,1.37,일본,아시아
JPN,Japan,2010,1.39,일본,아시아
JPN,Japan,2011,1.39,일본,아시아
JPN,Japan,2012,1.41,일본,아시아
JPN,Japan,2013,1.43,일본,아시아
JPN,Japan,2014,1.42,일본,아시아
JPN,Japan,2015,1.45,일본,아시아
JPN,Japan,2016,1.44,일본,아시아
JPN,Japan,2017,1.43,일본,아시아
JPN,Japan,2018,1.42,일본,아시아
JPN,Japan,2019,1.36,일본,아시아
JPN,Japan,2020,1.33,일본,아시아
JPN,Japan,2021,1.3,일본,아시아
JPN,Japan,2022,1.26,일본,아시아
JPN,Japan,2023,1.2,일본,아시아
JPN,Japan,2024,1.15,일본,아시아
KOR,"Korea, Rep.",2000,1.48,한국,아시아
KOR,"Korea, Rep.",2001,1.309,한국,아시아
KOR,"Korea, Rep.",2002,1.178,한국,아시아
KOR,"Korea, Rep.",2003,1.191,한국,아시아
KOR,"Korea, Rep.",2004,1.164,한국,아시아
KOR,"Korea, Rep.",2005,1.085,한국,아시아
KOR,"Korea, Rep.",2006,1.132,한국,아시아
KOR,"Korea, Rep.",2007,1.259,한국,아시아
KOR,"Korea, Rep.",2008,1.192,한국,아시아
KOR,"Korea, Rep.",2009,1.149,한국,아시아
KOR,"Korea, Rep.",2010,1.226,한국,아시아
KOR,"Korea, Rep.",2011,1.244,한국,아시아
KOR,"Korea, Rep.",2012,1.297,한국,아시아
