component,component_label,component_order,age_group,age_order,population,population_10k,share_pct
계,생활인구 전체,0,20세 미만,0,3074780.0,307.478,10.913747129020665
계,생활인구 전체,0,20대,1,2726138.0,272.6138,9.676263267880675
계,생활인구 전체,0,30대,2,3499653.0,349.9653,12.421808350944966
계,생활인구 전체,0,40대,3,4524268.0,452.4268,16.058617818484596
계,생활인구 전체,0,50대,4,5811111.666666667,581.1111666666667,20.62619220513397
계,생활인구 전체,0,60대,5,5337289.666666667,533.7289666666667,18.94438944455701
계,생활인구 전체,0,70세 이상,6,2953088.3333333335,295.3088333333333,10.481809859456966
외국인,외국인,3,20세 미만,0,7018.333333333333,0.7018333333333333,4.0779922062025
외국인,외국인,3,20대,1,52712.0,5.2712,30.628229661364927
외국인,외국인,3,30대,2,62796.666666666664,6.2796666666666665,36.48791031709755
외국인,외국인,3,40대,3,25898.333333333332,2.5898333333333334,15.048188290710197
외국인,외국인,3,50대,4,11996.0,1.1996,6.970258063016649
외국인,외국인,3,60대,5,8298.666666666666,0.8298666666666666,4.821927996467225
외국인,외국인,3,70세 이상,6,3284.0,0.3284,1.9081633443603432
주민등록인구,주민등록인구,1,20세 미만,0,502415.0,50.2415,10.71994683429265
주민등록인구,주민등록인구,1,20대,1,354761.3333333333,35.47613333333333,7.569484653515731
주민등록인구,주민등록인구,1,30대,2,357383.6666666667,35.73836666666667,7.625436951745536
주민등록인구,주민등록인구,1,40대,3,499360.3333333333,49.936033333333334,10.654769910309184
주민등록인구,주민등록인구,1,50대,4,788837.0,78.8837,16.831286289069617
주민등록인구,주민등록인구,1,60대,5,1003915.6666666666,100.39156666666666,21.420384687519537
주민등록인구,주민등록인구,1,70세 이상,6,1180057.3333333333,118.00573333333332,25.17869067354775
체류인구,체류인구,2,20세 미만,0,2708158.6666666665,270.81586666666664,11.615707428052744
체류인구,체류인구,2,20대,1,2318664.6666666665,231.86646666666664,9.945107989154046
체류인구,체류인구,2,30대,2,3079472.6666666665,307.9472666666667,13.208330061662583
체류인구,체류인구,2,40대,3,3999009.3333333335,399.90093333333334,17.15236370372154
체류인구,체류인구,2,50대,4,5010278.666666667,501.0278666666667,21.48985280712782
체류인구,체류인구,2,60대,5,4325075.333333333,432.5075333333333,18.550910733056885
체류인구,체류인구,2,70세 이상,6,1873974.0,187.3974,8.037761590450035
