topo_code,topo_name,C1,C1_NM,kosis_prefix,sido,sigungu,living_population,registered_population,stay_population,foreign_population,region,living_registered_ratio,stay_share_pct,foreign_share_pct,living_population_10k,registered_population_10k,stay_population_10k,foreign_population_10k,has_living_population
11010,종로구,11110,종로구,11,,,,,,,,,,,,,,,False
11020,중구,11140,중구,11,,,,,,,,,,,,,,,False
11030,용산구,11170,용산구,11,,,,,,,,,,,,,,,False
11040,성동구,11200,성동구,11,,,,,,,,,,,,,,,False
11050,광진구,11215,광진구,11,,,,,,,,,,,,,,,False
11060,동대문구,11230,동대문구,11,,,,,,,,,,,,,,,False
11070,중랑구,11260,중랑구,11,,,,,,,,,,,,,,,False
11080,성북구,11290,성북구,11,,,,,,,,,,,,,,,False
11090,강북구,11305,강북구,11,,,,,,,,,,,,,,,False
11100,도봉구,11320,도봉구,11,,,,,,,,,,,,,,,False
11110,노원구,11350,노원구,11,,,,,,,,,,,,,,,False
11120,은평구,11380,은평구,11,,,,,,,,,,,,,,,False
11130,서대문구,11410,서대문구,11,,,,,,,,,,,,,,,False
11140,마포구,11440,마포구,11,,,,,,,,,,,,,,,False
11150,양천구,11470,양천구,11,,,,,,,,,,,,,,,False
11160,강서구,11500,강서구,11,,,,,,,,,,,,,,,False
11170,구로구,11530,구로구,11,,,,,,,,,,,,,,,False
11180,금천구,11545,금천구,11,,,,,,,,,,,,,,,False
11190,영등포구,11560,영등포구,11,,,,,,,,,,,,,,,False
11200,동작구,11590,동작구,11,,,,,,,,,,,,,,,False
11210,관악구,11620,관악구,11,,,,,,,,,,,,,,,False
11220,서초구,11650,서초구,11,,,,,,,,,,,,,,,False
11230,강남구,11680,강남구,11,,,,,,,,,,,,,,,False
11240,송파구,11710,송파구,11,,,,,,,,,,,,,,,False
11250,강동구,11740,강동구,11,,,,,,,,,,,,,,,False
21010,중구,26110,중구,26,,,,,,,,,,,,,,,False
21020,서구,26140,서구,26,부산광역시,서구,476666.0,102446.0,371481.0,2739.0,부산광역시 서구,4.652851258223845,77.93318592053976,0.5746161882743892,47.6666,10.2446,37.1481,0.2739,True
21030,동구,26170,동구,26,부산광역시,동구,705692.0,84306.0,619031.3333333334,2354.6666666666665,부산광역시 동구,8.370602329608806,87.71976065101111,0.33366775684954153,70.5692,8.4306,61.90313333333334,0.23546666666666666,True
21040,영도구,26200,영도구,26,부산광역시,영도구,417579.6666666667,102215.33333333333,313108.3333333333,2256.0,부산광역시 영도구,4.085293791538126,74.98170009874362,0.5402561906350803,41.75796666666667,10.221533333333333,31.31083333333333,0.2256,True
21050,부산진구,26230,부산진구,26,,,,,,,,,,,,,,,False
21060,동래구,26260,동래구,26,,,,,,,,,,,,,,,False
21070,남구,26290,남구,26,,,,,,,,,,,,,,,False
21080,북구,26320,북구,26,,,,,,,,,,,,,,,False
21090,해운대구,26350,해운대구,26,,,,,,,,,,,,,,,False
21100,사하구,26380,사하구,26,,,,,,,,,,,,,,,False
21110,금정구,26410,금정구,26,,,,,,,,,,,,,,,False
21120,강서구,26440,강서구,26,,,,,,,,,,,,,,,False
21130,연제구,26470,연제구,26,,,,,,,,,,,,,,,False
21140,수영구,26500,수영구,26,,,,,,,,,,,,,,,False
21150,사상구,26530,사상구,26,,,,,,,,,,,,,,,False
21310,기장군,26710,기장군,26,,,,,,,,,,,,,,,False
22010,중구,27110,중구,27,,,,,,,,,,,,,,,False
22020,동구,27140,동구,27,,,,,,,,,,,,,,,False
22030,서구,27170,서구,27,대구광역시,서구,534988.3333333334,161534.33333333334,370667.0,2787.0,대구광역시 서구,3.3119171775659666,69.28506229107799,0.5209459396310823,53.49883333333334,16.153433333333336,37.0667,0.2787,True
22040,남구,27200,남구,27,대구광역시,남구,570553.0,136231.0,432125.3333333333,2196.6666666666665,대구광역시 남구,4.188128986794489,75.73798285756683,0.38500659301881973,57.0553,13.6231,43.21253333333333,0.21966666666666665,True
22050,북구,27230,북구,27,,,,,,,,,,,,,,,False
22060,수성구,27260,수성구,27,,,,,,,,,,,,,,,False
22070,달서구,27290,달서구,27,,,,,,,,,,,,,,,False
22310,달성군,27710,달성군,27,,,,,,,,,,,,,,,False
23010,중구,28110,중구,28,,,,,,,,,,,,,,,False
23020,동구,28140,동구,28,,,,,,,,,,,,,,,False
23030,남구,28170,남구,28,,,,,,,,,,,,,,,False
23040,연수구,28185,연수구,28,,,,,,,,,,,,,,,False
23050,남동구,28200,남동구,28,,,,,,,,,,,,,,,False
23060,부평구,28237,부평구,28,,,,,,,,,,,,,,,False
23070,계양구,28245,계양구,28,,,,,,,,,,,,,,,False
23080,서구,28260,서구,28,,,,,,,,,,,,,,,False
23310,강화군,28710,강화군,28,인천광역시,강화군,537750.3333333334,69633.33333333333,466733.3333333333,1383.6666666666667,인천광역시 강화군,7.7225993298228826,86.79368554552266,0.2573065195682507,53.77503333333334,6.963333333333333,46.67333333333333,0.13836666666666667,True
23320,옹진군,28720,옹진군,28,인천광역시,옹진군,259565.0,19694.666666666668,239296.33333333334,574.0,인천광역시 옹진군,13.179456367206011,92.19129440923597,0.22113921368443357,25.9565,1.9694666666666667,23.929633333333335,0.0574,True
24010,동구,29110,동구,29,,,,,,,,,,,,,,,False
24020,서구,29140,서구,29,,,,,,,,,,,,,,,False
24030,남구,29155,남구,29,,,,,,,,,,,,,,,False
24040,북구,29170,북구,29,,,,,,,,,,,,,,,False
24050,광산구,29200,광산구,29,,,,,,,,,,,,,,,False
25010,동구,30110,동구,30,,,,,,,,,,,,,,,False
25020,중구,30140,중구,30,,,,,,,,,,,,,,,False
25030,서구,30170,서구,30,,,,,,,,,,,,,,,False
25040,유성구,30200,유성구,30,,,,,,,,,,,,,,,False
25050,대덕구,30230,대덕구,30,,,,,,,,,,,,,,,False
26010,중구,31110,중구,31,,,,,,,,,,,,,,,False
26020,남구,31140,남구,31,,,,,,,,,,,,,,,False
26030,동구,31170,동구,31,,,,,,,,,,,,,,,False
26040,북구,31200,북구,31,,,,,,,,,,,,,,,False
26310,울주군,31710,울주군,31,,,,,,,,,,,,,,,False
29010,세종시,36110,세종시,36,,,,,,,,,,,,,,,False
31011,수원시장안구,41111,장안구,41,,,,,,,,,,,,,,,False
31012,수원시권선구,41113,권선구,41,,,,,,,,,,,,,,,False
31013,수원시팔달구,41115,팔달구,41,,,,,,,,,,,,,,,False
31014,수원시영통구,41117,영통구,41,,,,,,,,,,,,,,,False
31021,성남시수정구,41131,수정구,41,,,,,,,,,,,,,,,False
31022,성남시중원구,41133,중원구,41,,,,,,,,,,,,,,,False
31023,성남시분당구,41135,분당구,41,,,,,,,,,,,,,,,False
31030,의정부시,41150,의정부시,41,,,,,,,,,,,,,,,False
31041,안양시만안구,41171,만안구,41,,,,,,,,,,,,,,,False
31042,안양시동안구,41173,동안구,41,,,,,,,,,,,,,,,False
31050,부천시,41190,부천시,41,,,,,,,,,,,,,,,False
31060,광명시,41210,광명시,41,,,,,,,,,,,,,,,False
31070,평택시,41220,평택시,41,,,,,,,,,,,,,,,False
31080,동두천시,41250,동두천시,41,,,,,,,,,,,,,,,False
31091,안산시상록구,41271,상록구,41,,,,,,,,,,,,,,,False
31092,안산시단원구,41273,단원구,41,,,,,,,,,,,,,,,False
31101,고양시덕양구,41281,덕양구,41,,,,,,,,,,,,,,,False
31103,고양시일산동구,41285,일산동구,41,,,,,,,,,,,,,,,False
31104,고양시일산서구,41287,일산서구,41,,,,,,,,,,,,,,,False
31110,과천시,41290,과천시,41,,,,,,,,,,,,,,,False
31120,구리시,41310,구리시,41,,,,,,,,,,,,,,,False
31130,남양주시,41360,남양주시,41,,,,,,,,,,,,,,,False
31140,오산시,41370,오산시,41,,,,,,,,,,,,,,,False
31150,시흥시,41390,시흥시,41,,,,,,,,,,,,,,,False
