month,component,component_label,sex_total,male,female,under20,age20s,age30s,age40s,age50s,age60s,age70plus,component_order,month_label,population,population_10k
202507,계,생활인구 전체,27210110,15033906,12176212,3203061.0,2706268,3376546,4401390,5521931,5000051,2797441.0,0,2025.07,27210110,2721.011
202508,계,생활인구 전체,32173223,17412924,14760292,4059697.0,3247700,4124632,5289598,6429639,5683953,2984797.0,0,2025.08,32173223,3217.3223
202509,계,생활인구 전체,25137042,14254073,10882968,1961582.0,2224446,2997781,3881816,5481765,5327865,3077027.0,0,2025.09,25137042,2513.7042
202507,주민등록인구,주민등록인구,4691356,2355206,2336150,504305.0,356683,357708,500848,790567,1003948,1177297.0,1,2025.07,4691356,469.1356
202508,주민등록인구,주민등록인구,4685931,2352778,2333153,502281.0,354405,357233,499211,788841,1003981,1179979.0,1,2025.08,4685931,468.5931
202509,주민등록인구,주민등록인구,4682904,2351392,2331512,500659.0,353196,357210,498022,787103,1003818,1182896.0,1,2025.09,4682904,468.2904
202507,체류인구,체류인구,22348589,12572101,9776496,2819624.0,2297582,2956790,3874973,4719408,3987801,1692414.0,2,2025.07,22348589,2234.8589
202508,체류인구,체류인구,27315370,14952263,12363100,3777178.0,2840802,3704471,4764498,5628816,4671699,1927916.0,2,2025.08,27315370,2731.537
202509,체류인구,체류인구,20279917,11793420,8486496,1527674.0,1817610,2577157,3357557,4682612,4315726,2001592.0,2,2025.09,20279917,2027.9917
202507,외국인,외국인,170165,106599,63566,6929.0,52003,62048,25569,11956,8302,3286.0,3,2025.07,170165,17.0165
202508,외국인,외국인,171922,107883,64039,6960.0,52493,62928,25889,11982,8273,3284.0,3,2025.08,171922,17.1922
202509,외국인,외국인,174221,109261,64960,7166.0,53640,63414,26237,12050,8321,3282.0,3,2025.09,174221,17.4221
