year,C1,C1_NM,total_population,working_age_population,older_population,working_age_share,older_share,older_population_share,old_age_dependency_ratio,exposure_group,bubble_radius
2024,47730,의성군,48690,23242,23118,47.73,47.48,47.48,99.47,80 이상,3.0
2024,27720,군위군,22463,10955,10629,48.77,47.32,47.32,97.02,80 이상,3.0
2024,46770,고흥군,60190,29256,27498,48.61,45.69,45.69,93.99,80 이상,3.0
2024,48890,합천군,40225,20010,18205,49.75,45.26,45.26,90.98,80 이상,3.0
2024,46780,보성군,37045,18576,16247,50.14,43.86,43.86,87.46,80 이상,3.0
2024,47820,청도군,40582,20584,17964,50.72,44.27,44.27,87.27,80 이상,3.0
2024,47770,영덕군,33210,16793,14452,50.57,43.52,43.52,86.06,80 이상,3.0
2024,47750,청송군,23716,12052,10367,50.82,43.71,43.71,86.02,80 이상,3.0
2024,47920,봉화군,28836,14664,12579,50.85,43.62,43.62,85.78,80 이상,3.0
2024,47760,영양군,15328,7876,6601,51.38,43.06,43.06,83.81,80 이상,3.0
2024,48840,남해군,39832,20414,17045,51.25,42.79,42.79,83.5,80 이상,3.0
2024,48720,의령군,25150,13073,10654,51.98,42.36,42.36,81.5,80 이상,3.0
2024,44770,서천군,48204,24915,20288,51.69,42.09,42.09,81.43,80 이상,3.0
2024,48860,산청군,33259,17412,14142,52.35,42.52,42.52,81.22,80 이상,3.0
2024,52750,임실군,25577,13278,10617,51.91,41.51,41.51,79.96,50-80,3.0
2024,46860,함평군,30010,15816,12410,52.7,41.35,41.35,78.46,50-80,3.0
2024,44760,부여군,59550,31290,24506,52.54,41.15,41.15,78.32,50-80,3.0
2024,43720,보은군,30527,16100,12537,52.74,41.07,41.07,77.87,50-80,3.0
2024,43760,괴산군,36252,19352,15024,53.38,41.44,41.44,77.64,50-80,3.0
2024,48850,하동군,40765,21681,16817,53.19,41.25,41.25,77.57,50-80,3.0
2024,44790,청양군,29658,15875,12082,53.53,40.74,40.74,76.11,50-80,3.0
2024,52720,진안군,24161,12921,9725,53.48,40.25,40.25,75.27,50-80,3.0
2024,52740,장수군,20663,10970,8243,53.09,39.89,39.89,75.14,50-80,3.0
2024,46720,곡성군,26566,14336,10765,53.96,40.52,40.52,75.09,50-80,3.0
2024,52790,고창군,50982,27103,20222,53.16,39.66,39.66,74.61,50-80,3.0
2024,46810,강진군,32189,17109,12685,53.15,39.41,39.41,74.14,50-80,3.0
2024,46910,신안군,38173,20659,15292,54.12,40.06,40.06,74.02,50-80,3.0
2024,46800,장흥군,34451,18451,13479,53.56,39.13,39.13,73.05,50-80,3.0
2024,48870,함양군,36131,19513,14215,54.01,39.34,39.34,72.85,50-80,3.0
2024,46730,구례군,24025,13024,9477,54.21,39.45,39.45,72.77,50-80,3.0
2024,28710,강화군,69402,37686,27022,54.3,38.94,38.94,71.7,50-80,3.0
2024,52800,부안군,48066,26137,18571,54.38,38.64,38.64,71.05,50-80,3.0
2024,47840,성주군,41452,23051,16044,55.61,38.71,38.71,69.6,50-80,3.0
2024,46890,완도군,45631,24678,17080,54.08,37.43,37.43,69.21,50-80,3.0
2024,48740,창녕군,56085,30910,21387,55.11,38.13,38.13,69.19,50-80,3.0
2024,46900,진도군,28478,15579,10745,54.71,37.73,37.73,68.97,50-80,3.0
2024,43740,영동군,43551,24148,16625,55.45,38.17,38.17,68.85,50-80,3.0
2024,46820,해남군,63120,34537,23771,54.72,37.66,37.66,68.83,50-80,3.0
2024,52730,무주군,23032,12728,8755,55.26,38.01,38.01,68.79,50-80,3.0
2024,43800,단양군,27352,15260,10491,55.79,38.36,38.36,68.75,50-80,3.0
2024,52770,순창군,26822,14734,10126,54.93,37.75,37.75,68.73,50-80,3.0
2024,47830,고령군,30062,16930,11392,56.32,37.9,37.9,67.29,50-80,3.0
2024,44825,태안군,60133,33754,22439,56.13,37.32,37.32,66.48,50-80,3.0
2024,48820,고성군,48005,26883,17847,56.0,37.18,37.18,66.39,50-80,3.0
2024,47250,상주시,91850,51153,33659,55.69,36.65,36.65,65.8,50-80,3.0
2024,51730,횡성군,46111,26112,16949,56.63,36.76,36.76,64.91,50-80,3.0
2024,44710,금산군,49615,28046,18012,56.53,36.3,36.3,64.22,50-80,3.0
2024,47280,문경시,67257,37879,24095,56.32,35.83,35.83,63.61,50-80,3.0
2024,43730,옥천군,48204,27567,17216,57.19,35.71,35.71,62.45,50-80,3.0
2024,51750,영월군,36721,21166,13164,57.64,35.85,35.85,62.19,50-80,3.0
2024,46710,담양군,44623,25592,15890,57.35,35.61,35.61,62.09,50-80,3.0
2024,52210,김제시,80635,45978,28533,57.02,35.39,35.39,62.06,50-80,3.0
2024,51830,양양군,27489,15908,9704,57.87,35.3,35.3,61.0,50-80,3.0
2024,44810,예산군,78772,45242,27566,57.43,34.99,34.99,60.93,50-80,3.0
2024,47900,예천군,54609,30014,18265,54.96,33.45,33.45,60.85,50-80,3.0
2024,48270,밀양시,100691,58252,35004,57.85,34.76,34.76,60.09,50-80,3.0
2024,51760,평창군,40396,23714,14167,58.7,35.07,35.07,59.74,50-80,3.0
2024,51770,정선군,33515,19623,11691,58.55,34.88,34.88,59.58,50-80,3.0
2024,46880,장성군,42026,24267,14454,57.74,34.39,34.39,59.56,50-80,3.0
2024,51820,고성군,26999,15898,9123,58.88,33.79,33.79,57.38,50-80,3.0
2024,51720,홍천군,66717,39186,22411,58.73,33.59,33.59,57.19,50-80,3.0
2024,47230,영천시,98143,57674,32977,58.77,33.6,33.6,57.18,50-80,3.0
2024,52190,남원시,75647,44314,24831,58.58,32.82,32.82,56.03,50-80,3.0
2024,26200,영도구,103737,61986,34671,59.75,33.42,33.42,55.93,50-80,3.0
2024,41800,연천군,40866,24185,13432,59.18,32.87,32.87,55.54,50-80,3.0
2024,28720,옹진군,19996,12219,6748,61.11,33.75,33.75,55.23,50-80,3.0
2024,46870,영광군,52098,30270,16677,58.1,32.01,32.01,55.09,50-80,3.0
2024,48880,거창군,59588,35113,19182,58.93,32.19,32.19,54.63,50-80,3.0
2024,47930,울진군,46124,27440,14955,59.49,32.42,32.42,54.5,50-80,3.0
2024,47210,영주시,98870,58874,31570,59.55,31.93,31.93,53.62,50-80,3.0
2024,52180,정읍시,102127,60906,32647,59.64,31.97,31.97,53.6,50-80,3.0
2024,44230,논산시,108529,64694,34591,59.61,31.87,31.87,53.47,50-80,3.0
2024,48730,함안군,58842,35263,18566,59.93,31.55,31.55,52.65,50-80,3.0
2024,44180,보령시,93780,56383,29461,60.12,31.42,31.42,52.25,50-80,3.0
2024,41820,가평군,62527,38049,19831,60.85,31.72,31.72,52.12,50-80,3.0
2024,51190,태백시,37936,22914,11801,60.4,31.11,31.11,51.5,50-80,3.0
2024,41830,양평군,126804,76417,39341,60.26,31.03,31.03,51.48,50-80,3.0
2024,44150,공주시,101285,62008,31722,61.22,31.32,31.32,51.16,50-80,3.0
2024,26110,중구,37537,23908,12167,63.69,32.41,32.41,50.89,50-80,3.0
2024,46790,화순군,60735,37173,18776,61.21,30.91,30.91,50.51,50-80,3.0
2024,46830,영암군,51391,31459,15642,61.21,30.44,30.44,49.72,30-50,3.0
2024,51230,삼척시,61735,37956,18709,61.48,30.31,30.31,49.29,30-50,3.0
2024,26170,동구,85911,54366,25661,63.28,29.87,29.87,47.2,30-50,3.0
2024,26140,서구,103188,64783,30420,62.78,29.48,29.48,46.96,30-50,3.0
2024,47940,울릉군,9099,5846,2742,64.25,30.14,30.14,46.9,30-50,3.0
2024,47170,안동시,153159,95298,43801,62.22,28.6,28.6,45.96,30-50,3.0
2024,51780,철원군,40497,25097,11487,61.97,28.37,28.37,45.77,30-50,3.0
2024,51790,화천군,22922,14364,6380,62.66,27.83,27.83,44.42,30-50,3.0
2024,47150,김천시,135446,84292,37426,62.23,27.63,27.63,44.4,30-50,3.0
2024,44800,홍성군,99198,61362,27077,61.86,27.3,27.3,44.13,30-50,3.0
2024,43150,제천시,128569,81586,35347,63.46,27.49,27.49,43.32,30-50,3.0
2024,47130,경주시,244769,155766,67248,63.64,27.47,27.47,43.17,30-50,3.0
2024,27170,서구,163135,106437,45225,65.24,27.72,27.72,42.49,30-50,3.0
2024,51800,양구군,20621,12975,5488,62.92,26.61,26.61,42.3,30-50,3.0
2024,27200,남구,136263,89507,37735,65.69,27.69,27.69,42.16,30-50,3.0
2024,28140,동구,58296,37852,15804,64.93,27.11,27.11,41.75,30-50,3.0
2024,41670,여주시,114610,73789,30535,64.38,26.64,26.64,41.38,30-50,3.0
2024,26410,금정구,209932,137419,56243,65.46,26.79,26.79,40.93,30-50,3.0
2024,48125,마산합포구,178211,113531,46004,63.71,25.81,25.81,40.52,30-50,3.0
2024,48240,사천시,108504,69532,28071,64.08,25.87,25.87,40.37,30-50,3.0
2024,51150,강릉시,207731,134508,54279,64.75,26.13,26.13,40.35,30-50,3.0
2024,43770,음성군,91236,59634,23968,65.36,26.27,26.27,40.19,30-50,3.0
2024,41650,포천시,141463,93469,37242,66.07,26.33,26.33,39.84,30-50,3.0
2024,46170,나주시,116654,73269,29155,62.81,24.99,24.99,39.79,30-50,3.0
2024,52710,완주군,99279,63518,25240,63.98,25.42,25.42,39.74,30-50,3.0
2024,48220,통영시,118481,76288,30233,64.39,25.52,25.52,39.63,30-50,3.0
2024,41250,동두천시,86838,56821,22464,65.43,25.87,25.87,39.53,30-50,3.0
2024,51810,인제군,31535,20265,7993,64.26,25.35,25.35,39.44,30-50,3.0
2024,26500,수영구,171918,113866,44086,66.23,25.64,25.64,38.72,30-50,3.0
2024,51170,동해시,87675,56722,21889,64.7,24.97,24.97,38.59,30-50,3.0
2024,26380,사하구,292491,194278,72601,66.42,24.82,24.82,37.37,30-50,3.0
2024,43130,충주시,207241,136588,50480,65.91,24.36,24.36,36.96,30-50,3.0
2024,11305,강북구,283597,193243,71227,68.14,25.12,25.12,36.86,30-50,3.0
2024,26290,남구,254498,168538,61542,66.22,24.18,24.18,36.52,30-50,3.0
2024,52140,익산시,268001,177553,64800,66.25,24.18,24.18,36.5,30-50,3.0
2024,51210,속초시,80933,53332,19453,65.9,24.04,24.04,36.48,30-50,3.0
2024,46130,여수시,267816,176047,63857,65.73,23.84,23.84,36.27,30-50,3.0
2024,11320,도봉구,303228,205864,74149,67.89,24.45,24.45,36.02,30-50,3.0
2024,26530,사상구,198635,135051,48490,67.99,24.41,24.41,35.9,30-50,3.0
2024,29110,동구,106203,70255,25071,66.15,23.61,23.61,35.69,30-50,3.0
2024,27140,동구,342339,227536,80902,66.47,23.63,23.63,35.56,30-50,3.0
2024,30140,중구,225008,150664,52849,66.96,23.49,23.49,35.08,30-50,3.0
2024,50130,서귀포시,182020,119134,41734,65.45,22.93,22.93,35.03,30-50,3.0
2024,52130,군산시,258047,170542,59458,66.09,23.04,23.04,34.86,30-50,3.0
2024,26320,북구,267692,180057,62708,67.26,23.43,23.43,34.83,30-50,3.0
2024,48127,마산회원구,178724,119738,41463,67.0,23.2,23.2,34.63,30-50,3.0
2024,47111,남구,220613,146602,50657,66.45,22.96,22.96,34.55,30-50,3.0
2024,26470,연제구,212589,141858,48982,66.73,23.04,23.04,34.53,30-50,3.0
2024,30110,동구,218513,148079,50056,67.77,22.91,22.91,33.8,30-50,3.0
2024,47110,포항시,491581,327107,110312,66.54,22.44,22.44,33.72,30-50,3.5
2024,26230,부산진구,359281,246019,82839,68.48,23.06,23.06,33.67,30-50,3.03
2024,26260,동래구,274370,181457,60935,66.14,22.21,22.21,33.58,30-50,3.0
2024,44210,서산시,174445,115624,38611,66.28,22.13,22.13,33.39,30-50,3.0
2024,47113,북구,270968,180505,59655,66.61,22.02,22.02,33.05,30-50,3.0
2024,26350,해운대구,376404,253345,83543,67.31,22.2,22.2,32.98,30-50,3.04
2024,46840,무안군,92687,60297,19592,65.05,21.14,21.14,32.49,30-50,3.0
2024,44270,당진시,171931,113755,36886,66.16,21.45,21.45,32.43,30-50,3.0
2024,29155,남구,207597,137758,44551,66.36,21.46,21.46,32.34,30-50,3.0
2024,43745,증평군,37171,24900,8044,66.99,21.64,21.64,32.31,30-50,3.0
2024,51110,춘천시,286069,193624,61370,67.68,21.45,21.45,31.7,30-50,3.0
2024,46110,목포시,209890,142026,44454,67.67,21.18,21.18,31.3,30-50,3.0
