year,mean_birth_age,first_child_age,second_child_age
1993,27.55,26.23,28.49
1994,27.78,26.4,28.65
1995,27.92,26.49,28.73
1996,28.09,26.65,28.89
1997,28.3,26.89,29.05
1998,28.5,27.14,29.25
1999,28.69,27.39,29.42
2000,29.03,27.69,29.67
2001,29.27,27.99,29.89
2002,29.5,28.29,30.2
2003,29.73,28.58,30.45
2004,29.99,28.84,30.77
2005,30.23,29.09,31.04
2006,30.44,29.28,31.29
2007,30.59,29.43,31.51
2008,30.79,29.61,31.69
2009,30.97,29.85,31.8
2010,31.26,30.1,32.01
2011,31.44,30.25,32.23
2012,31.62,30.5,32.4
2013,31.84,30.73,32.62
2014,32.04,30.97,32.81
2015,32.23,31.2,33.01
2016,32.4,31.37,33.19
2017,32.6,31.62,33.36
2018,32.8,31.85,33.54
2019,33.01,32.09,33.74
2020,33.13,32.25,33.88
2021,33.36,32.57,34.08
2022,33.53,32.84,34.22
2023,33.64,32.96,34.4
2024,33.69,33.08,34.44
