model,variable,variable_label,coefficient,standard_error,p_value,n,r2,model_note
로그 OLS,log_origin_population,전출지 인구(로그),0.8344694088109912,0.0033399941200886575,0.0,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,log_dest_population,전입지 인구(로그),0.8698088627896169,0.0043819129897316855,0.0,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,log_distance_km,중심거리(로그),-0.6525426253054853,0.006575155976267173,0.0,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,same_sido,같은 광역시도,0.6481449298796714,0.016074147607632348,0.0,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,same_macro_area,같은 권역,0.5521254857791515,0.013928753391683653,0.0,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,log_dest_grdp_pc,전입지 1인당 GRDP(광역),0.15308148872440472,0.01617935727118291,3.034671964386482e-21,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,log_dest_business_density,전입지 사업체밀도,0.11001308422198902,0.01502399015512326,2.4340342325233626e-13,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
로그 OLS,capital_destination,전입지가 수도권,-0.05798614018250492,0.008866046801821811,6.14171195608923e-11,47455,0.799,양의 이동량만 사용한 로그-선형 중력모형
PPML,log_origin_population,전출지 인구(로그),0.8034746159267989,0.0006778846557952857,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,log_dest_population,전입지 인구(로그),0.9189731337578293,0.0007881120783460872,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,log_distance_km,중심거리(로그),-0.8109077885300675,0.0006996033003434205,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,same_sido,같은 광역시도,0.5379620201595254,0.0013173914269161175,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,same_macro_area,같은 권역,0.45097338284428995,0.0018858854405327675,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,log_dest_grdp_pc,전입지 1인당 GRDP(광역),-0.23037180040653138,0.002520823518739617,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,log_dest_business_density,전입지 사업체밀도,0.12833359892289653,0.0020002110700436996,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
PPML,capital_destination,전입지가 수도권,-0.7847459104355943,0.0014007023660934502,0.0,51980,0.616,0 이동쌍을 포함할 수 있는 포아송 유사최대우도 중력모형
출발·도착지 고정효과 OLS,log_distance_km,중심거리(로그),-0.7862902721090166,0.0064955252289713656,0.0,47455,0.847,출발지와 도착지의 고정 특성을 통제한 로그-선형 모형
출발·도착지 고정효과 OLS,same_sido,같은 광역시도,0.5315983472171217,0.01443947016300434,1.0377265378388491e-296,47455,0.847,출발지와 도착지의 고정 특성을 통제한 로그-선형 모형
출발·도착지 고정효과 OLS,same_macro_area,같은 권역,0.4840957267520457,0.012978708021465266,1.6893822786910148e-304,47455,0.847,출발지와 도착지의 고정 특성을 통제한 로그-선형 모형
