route,origin_code,dest_code,origin_name,dest_name,origin_sido,dest_sido,distance_km,flow
수원시 → 화성시,41110,41590,수원시,화성시,41,41,18.455520911617434,16046
고양시 → 파주시,41280,41480,고양시,파주시,41,41,21.327221774559398,13300
수원시 → 용인시,41110,41460,수원시,용인시,41,41,20.036780530018504,11094
천안시 → 아산시,44130,44200,천안시,아산시,44,44,19.80965082177079,10602
성남시 → 용인시,41130,41460,성남시,용인시,41,41,22.668701244113848,10200
송파구 → 강동구,11710,11740,송파구,강동구,11,11,12.039455895274472,9558
화성시 → 수원시,41590,41110,화성시,수원시,41,41,18.455520911617434,9550
용인시 → 수원시,41460,41110,용인시,수원시,41,41,20.036780530018504,8942
서구 → 유성구,30170,30200,서구,유성구,30,30,10.771344496421742,8896
용인시 → 성남시,41460,41130,용인시,성남시,41,41,22.668701244113848,7984
성남시 → 광주시,41130,41610,성남시,광주시,41,41,14.991022532249747,7671
아산시 → 천안시,44200,44130,아산시,천안시,44,44,19.80965082177079,7609
의정부시 → 양주시,41150,41630,의정부시,양주시,41,41,9.991200654013303,7519
화성시 → 오산시,41590,41370,화성시,오산시,41,41,17.00073263308932,7444
파주시 → 고양시,41480,41280,파주시,고양시,41,41,21.327221774559398,7410
광산구 → 북구,29200,29170,광산구,북구,29,29,15.987382219991911,7407
유성구 → 서구,30200,30170,유성구,서구,30,30,10.771344496421742,7090
송파구 → 강남구,11710,11680,송파구,강남구,11,11,4.720879006825013,6944
서초구 → 강남구,11650,11680,서초구,강남구,11,11,3.8176866455926435,6620
안산시 → 화성시,41270,41590,안산시,화성시,41,41,17.277990757929782,6537
