year,C1,region,youth_net_migration_20_34,total_net_migration,region_kosis,youth_share_19_39,youth_population_19_39,total_population,youth_employment_rate_15_29,grdp_per_capita_thousand_won,businesses_per_1000_people,under40_homeownership_rate,under40_nonowner_rate,capital_area,youth_net_migration_rate_per_1000,total_net_migration_rate_per_1000,log_grdp_per_capita,capital_area_numeric
2015,11,서울특별시,-7710,-137256,서울특별시,32.8,3253436.0,9904312.0,43.8,38911.0,,25.49,74.51,True,-2.369802264436737,-13.858206405452494,10.569032265982456,1
2016,11,서울특별시,-1241,-140257,서울특별시,32.6,3196861.0,9805506.0,44.6,41359.0,,24.01,75.99,True,-0.388193293358704,-14.303902317738626,10.630045330940309,1
2017,11,서울특별시,15433,-98486,서울특별시,32.5,3167944.0,9741871.0,45.3,43731.0,,23.92,76.08,True,4.871613892164761,-10.109556983458312,10.685812511742123,1
2018,11,서울특별시,22292,-110230,서울특별시,32.5,3146403.0,9673936.0,46.1,46547.0,,23.57,76.43,True,7.08491569579612,-11.394534758137743,10.748217833797062,1
2019,11,서울특별시,36703,-49588,서울특별시,32.4,3126914.0,9639541.0,47.5,48248.0,,22.0,78.0,True,11.737770850109726,-5.144228340332803,10.784109655130823,1
2020,11,서울특별시,34029,-64850,서울특별시,32.2,3083919.0,9586195.0,46.6,49165.0,125.3,21.53,78.47,True,11.034336504947115,-6.764936452888763,10.802937267214256,1
2021,11,서울특별시,15421,-106243,서울특별시,31.7,3005539.0,9472127.0,50.5,53373.0,124.9,21.82,78.18,True,5.130860055384409,-11.216382550614027,10.885060279102886,1
2022,11,서울특별시,41006,-35340,서울특별시,31.4,2958184.0,9417469.0,51.5,56094.0,125.2,20.44,79.56,True,13.861882830817827,-3.7526006191260093,10.93478413391937,1
2023,11,서울특별시,35061,-31250,서울특별시,31.2,2931861.0,9384512.0,51.8,58829.0,125.4,18.86,81.14,True,11.958616046258674,-3.3299547168781927,10.982390209583826,1
2024,11,서울특별시,22927,-44692,서울특별시,31.0,2892335.0,9335444.0,51.2,61215.0,126.0,17.88,82.12,True,7.926813456947415,-4.787345947337909,11.022147536508015,1
2015,26,부산광역시,-7161,-13560,부산광역시,28.9,995507.0,3448737.0,38.8,25707.0,,36.29,63.71,False,-7.193319584894933,-3.9318741904645087,10.154518607337229,0
