sido,sigungu,region,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_inside_10k,avg_outside_10k,avg_total_10k
서울특별시,강남구,서울특별시 강남구,52,881441.4615384615,1110292.2692307692,1991733.7307692308,55.74501511313771,88.14414615384615,111.02922692307692,199.17337307692307
경기도,화성시,경기도 화성시,52,1362318.826923077,588709.5961538461,1951028.423076923,30.17432186997079,136.2318826923077,58.87095961538461,195.1028423076923
서울특별시,송파구,서울특별시 송파구,52,1023588.0576923077,586246.5576923077,1609834.6153846155,36.41657050294225,102.35880576923077,58.62465576923078,160.98346153846154
서울특별시,서초구,서울특별시 서초구,52,617374.25,712947.9423076923,1330322.1923076923,53.592125759471166,61.737425,71.29479423076923,133.03221923076921
대구광역시,달서구,대구광역시 달서구,52,984351.5384615385,337782.0576923077,1322133.5961538462,25.548254629859862,98.43515384615385,33.778205769230766,132.21335961538463
서울특별시,강서구,서울특별시 강서구,52,867631.3076923077,427160.9038461539,1294792.2115384615,32.990691482350265,86.76313076923077,42.716090384615384,129.47922115384614
제주특별자치도,제주시,제주특별자치도 제주시,52,951554.0769230769,304601.4423076923,1256155.5192307692,24.24870469018206,95.15540769230769,30.46014423076923,125.61555192307692
인천광역시,서구,인천광역시 서구,52,915645.4038461539,314113.1153846154,1229758.5192307692,25.542666342421228,91.56454038461538,31.411311538461536,122.97585192307693
경기도,성남시 분당구,경기도 성남시 분당구,52,759114.7692307692,459177.23076923075,1218292.0,37.6902442738876,75.91147692307692,45.917723076923075,121.8292
경기도,평택시,경기도 평택시,52,924323.7692307692,273605.53846153844,1197929.3076923077,22.839873497094118,92.43237692307693,27.360553846153845,119.79293076923078
서울특별시,영등포구,서울특별시 영등포구,52,596935.7692307692,587278.6538461539,1184214.423076923,49.592256469925296,59.693576923076925,58.727865384615384,118.4214423076923
경기도,남양주시,경기도 남양주시,52,885104.0192307692,297827.57692307694,1182931.5961538462,25.177075148844274,88.51040192307693,29.782757692307694,118.29315961538462
인천광역시,남동구,인천광역시 남동구,52,786509.8653846154,330751.76923076925,1117261.6346153845,29.6037883145097,78.65098653846154,33.075176923076924,111.72616346153845
