year,sex,weeks,avg_inside,avg_outside,avg_total,outside_share_pct,avg_outside_100m,avg_total_100m,base_avg_outside,outside_index_first_year_100,year_label
2019,남성,52,38211823.865384616,21065980.653846152,59277804.51923077,35.53772077879837,21.065980653846154,59.27780451923077,21065980.653846152,100.0,2019
2020,남성,53,36563954.49056604,19018561.188679244,55582515.679245286,34.216805332150244,19.018561188679243,55.58251567924528,21065980.653846152,90.28092022484083,2020
2021,남성,52,37037630.942307696,19090763.96153846,56128394.90384615,34.012666840452056,19.09076396153846,56.12839490384615,21065980.653846152,90.62366606727579,2021
2022,남성,52,37781477.307692304,20497735.846153848,58279213.15384615,35.17160705660813,20.497735846153848,58.27921315384615,21065980.653846152,97.30254756695338,2022
2023,남성,52,38429417.288461536,21096549.923076924,59525967.211538464,35.440919167437876,21.096549923076925,59.525967211538465,21065980.653846152,100.14511201606553,2023
2024,남성,52,42208880.134615384,23454893.826923076,65663773.961538464,35.71968592707056,23.454893826923076,65.66377396153847,21065980.653846152,111.34014699971142,2024
2025,남성,52,40643682.42307692,22633422.730769232,63277105.15384615,35.76873922367403,22.633422730769233,63.27710515384615,21065980.653846152,107.44063190163855,2025
2026,남성,17,39937507.4117647,22133464.94117647,62070972.35294118,35.6583183767826,22.13346494117647,62.070972352941176,21065980.653846152,105.06733726224809,2026(4월까지)
2019,여성,52,38161078.365384616,15923362.807692308,54084441.17307692,29.441670214795362,15.923362807692309,54.08444117307692,15923362.807692308,100.0,2019
2020,여성,53,36264530.320754714,13493288.754716981,49757819.0754717,27.117926399166777,13.493288754716982,49.7578190754717,15923362.807692308,84.73893936649236,2020
2021,여성,52,36867349.17307692,13850401.461538462,50717750.634615384,27.308784968246247,13.850401461538462,50.717750634615385,15923362.807692308,86.98163590700557,2021
2022,여성,52,37831385.711538464,15510926.923076924,53342312.634615384,29.078092337922808,15.510926923076925,53.34231263461538,15923362.807692308,97.40986945033907,2022
2023,여성,52,38611331.788461536,16147958.384615384,54759290.17307692,29.48898412228639,16.147958384615386,54.75929017307692,15923362.807692308,101.41047829931111,2023
2024,여성,52,42040536.307692304,17782214.192307692,59822750.5,29.724835524417575,17.78221419230769,59.8227505,15923362.807692308,111.67373630221755,2024
2025,여성,52,40357447.32692308,17155778.384615384,57513225.711538464,29.829275218645137,17.155778384615385,57.51322571153846,15923362.807692308,107.73966901217446,2025
2026,여성,17,39669202.64705882,16882332.23529412,56551534.88235294,29.853004468252365,16.88233223529412,56.55153488235294,15923362.807692308,106.02240518653853,2026(4월까지)
