year,child_share,working_share,older_share,old_age_dependency_ratio,aging_index,population_growth_rate,median_age,male_median_age,female_median_age,total_dependency_ratio,total_population,median_age_gap_female_minus_male
2000,21.1,71.7,7.2,10.1,34.3,0.84,31.8,30.9,32.7,39.5,47008111.0,1.8000000000000043
2001,20.8,71.7,7.5,10.5,36.2,0.77,32.3,31.4,33.3,39.5,47370164.0,1.8999999999999986
2002,20.4,71.7,7.9,11.0,38.6,0.58,32.9,32.0,33.9,39.5,47644736.0,1.8999999999999986
2003,20.0,71.8,8.2,11.5,41.1,0.52,33.5,32.6,34.5,39.4,47892330.0,1.8999999999999986
2004,19.6,71.8,8.6,12.0,43.8,0.4,34.1,33.2,35.1,39.3,48082519.0,1.8999999999999986
2005,19.1,71.9,9.0,12.5,46.9,0.21,34.8,33.8,35.8,39.1,48184561.0,2.0
2006,18.5,72.1,9.3,13.0,50.4,0.53,35.4,34.5,36.5,38.7,48438292.0,2.0
2007,17.9,72.3,9.8,13.5,54.6,0.51,36.1,35.1,37.1,38.3,48683638.0,2.0
2008,17.3,72.6,10.2,14.0,58.8,0.76,36.7,35.7,37.8,37.8,49054708.0,2.0999999999999943
2009,16.7,72.8,10.5,14.4,62.9,0.51,37.3,36.3,38.4,37.3,49307835.0,2.1000000000000014
2010,16.1,73.1,10.8,14.8,67.3,0.5,37.9,36.9,39.0,36.9,49554112.0,2.1000000000000014
2011,15.6,73.4,11.0,15.1,71.0,0.77,38.5,37.5,39.6,36.3,49936638.0,2.1000000000000014
2012,15.1,73.4,11.5,15.7,76.1,0.53,39.1,38.0,40.2,36.2,50199853.0,2.200000000000003
2013,14.7,73.4,11.9,16.3,81.5,0.46,39.7,38.5,40.8,36.2,50428893.0,2.299999999999997
2014,14.2,73.4,12.4,16.9,87.0,0.63,40.3,39.1,41.5,36.2,50746659.0,2.3999999999999986
2015,13.8,73.4,12.8,17.5,93.0,0.53,40.88,39.61,42.09,36.3,51014947.0,2.480000000000004
2016,13.4,73.4,13.2,18.0,98.4,0.4,41.4,40.1,42.7,36.2,51217803.0,2.6000000000000014
2017,13.1,73.2,13.8,18.8,105.1,0.28,42.0,40.7,43.3,36.7,51361911.0,2.5999999999999943
2018,12.8,72.9,14.3,19.6,111.7,0.43,42.6,41.2,43.9,37.1,51585058.0,2.6999999999999957
2019,12.5,72.7,14.9,20.4,119.2,0.35,43.1,41.7,44.5,37.6,51764822.0,2.799999999999997
2020,12.2,72.1,15.7,21.8,129.3,0.14,43.7,42.3,45.1,38.7,51836239.0,2.8000000000000043
2021,11.9,71.6,16.6,23.1,139.4,-0.13,44.3,43.0,45.8,39.7,51769539.0,2.799999999999997
2022,11.5,71.1,17.4,24.4,151.0,-0.19,44.9,43.6,46.4,40.6,51672569.0,2.799999999999997
2023,11.0,70.7,18.2,25.8,165.4,0.08,45.5,44.0,47.0,41.4,51712619.0,3.0
2024,10.6,70.2,19.2,27.4,181.2,0.07,46.1,44.6,47.6,42.5,51751065.0,3.0
2025,10.2,69.5,20.3,29.3,199.9,-0.13,46.7,45.3,48.2,43.9,51684564.0,2.9000000000000057
2026,9.7,68.8,21.6,31.3,222.7,-0.15,47.3,45.9,48.8,45.4,51609121.0,2.8999999999999986
2027,9.2,68.3,22.5,33.0,244.0,-0.14,47.9,46.5,49.4,46.5,51534551.0,2.8999999999999986
2028,8.8,67.6,23.6,34.8,267.6,-0.15,48.5,47.2,50.0,47.9,51459877.0,2.799999999999997
2029,8.5,67.2,24.4,36.3,288.2,-0.15,49.1,47.8,50.6,48.9,51384052.0,2.8000000000000043
2030,8.1,66.6,25.3,38.0,312.0,-0.15,49.7,48.3,51.1,50.2,51305713.0,2.8000000000000043
2031,7.8,66.0,26.2,39.7,336.0,-0.16,50.3,48.9,51.7,51.5,51223269.0,2.8000000000000043
2032,7.6,65.4,27.1,41.4,356.8,-0.17,50.9,49.4,52.3,53.0,51135265.0,2.8999999999999986
2033,7.4,64.6,27.9,43.2,375.1,-0.19,51.4,50.0,52.9,54.8,51040632.0,2.8999999999999986
2034,7.4,63.6,29.0,45.5,393.1,-0.2,52.0,50.4,53.4,57.1,50937726.0,3.0
2035,7.4,62.7,29.9,47.7,406.7,-0.22,52.5,50.9,54.0,59.4,50824868.0,3.1000000000000014
2036,7.4,61.7,30.9,50.1,418.7,-0.24,53.0,51.3,54.5,62.1,50701389.0,3.200000000000003
2037,7.4,60.7,31.8,52.4,427.6,-0.27,53.4,51.7,55.0,64.6,50567057.0,3.299999999999997
2038,7.5,59.8,32.7,54.7,434.6,-0.3,53.9,52.1,55.5,67.3,50417167.0,3.3999999999999986
2039,7.6,58.8,33.6,57.1,439.8,-0.34,54.3,52.5,56.0,70.0,50247657.0,3.5
2040,7.7,58.0,34.3,59.1,442.2,-0.38,54.6,52.9,56.5,72.4,50059218.0,3.6000000000000014
2041,7.9,57.3,34.9,60.9,443.7,-0.42,55.0,53.2,56.9,74.6,49851637.0,3.6999999999999957
2042,7.9,56.6,35.5,62.6,446.0,-0.45,55.4,53.6,57.3,76.7,49625415.0,3.6999999999999957
2043,8.0,56.0,36.0,64.4,449.7,-0.49,55.7,53.9,57.6,78.7,49380766.0,3.700000000000003
2044,8.1,55.3,36.6,66.2,454.6,-0.53,56.0,54.3,58.0,80.8,49117432.0,3.700000000000003
2045,8.1,54.6,37.3,68.4,462.1,-0.58,56.4,54.7,58.3,83.2,48835031.0,3.5999999999999943
2046,8.1,53.9,38.1,70.7,470.5,-0.62,56.7,55.0,58.6,85.7,48532231.0,3.6000000000000014
2047,8.1,53.2,38.8,72.9,479.8,-0.67,57.0,55.4,58.9,88.1,48208374.0,3.5
2048,8.1,52.6,39.4,74.9,488.6,-0.72,57.3,55.8,59.2,90.2,47863071.0,3.4000000000000057
2049,8.0,52.2,39.8,76.3,496.5,-0.77,57.7,56.3,59.4,91.7,47495914.0,3.1000000000000014
2050,8.0,51.9,40.1,77.3,504.0,-0.82,58.1,56.6,59.7,92.7,47106960.0,3.1000000000000014
2051,7.9,51.6,40.5,78.4,512.8,-0.87,58.4,57.0,60.0,93.7,46697391.0,3.0
2052,7.8,51.4,40.8,79.3,522.4,-0.92,58.8,57.4,60.3,94.4,46267614.0,2.8999999999999986
