election_label,election_year,election_type,age_group,age_order,turnout_pct,source_note
2022 대선,2022,presidential,18세,1,71.3,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,19세,2,72.5,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,20대,3,71.0,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,30대,4,70.7,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,40대,5,74.2,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,50대,6,81.4,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,60대,7,87.6,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,70대,8,86.2,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 대선,2022,presidential,80세 이상,9,61.8,중앙선거관리위원회 제20대 대통령선거 투표율 분석
2022 지방선거,2022,local,18세,1,36.1,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,19세,2,35.7,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,20대,3,36.3,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,30대,4,37.8,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,40대,5,44.7,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,50대,6,55.2,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,60대,7,70.5,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,70대,8,75.3,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2022 지방선거,2022,local,80세 이상,9,51.2,중앙선거관리위원회 제8회 전국동시지방선거 투표율 분석
2024 총선,2024,national_assembly,18세,1,56.8,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,19세,2,57.7,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,20대,3,52.4,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,30대,4,55.1,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,40대,5,62.6,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,50대,6,71.6,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,60대,7,82.0,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,70대,8,84.7,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
2024 총선,2024,national_assembly,80세 이상,9,60.5,중앙선거관리위원회 제22대 국회의원선거 투표율 분석
