year,income_group,one_child_pct,two_child_pct,three_plus_child_pct,no_child_pct,has_child_pct,avg_births,latest_year,latest_total_avg_births,latest_low_avg_births,latest_high_avg_births,latest_high_minus_low_avg_births
2015,합계,43.8,19.7,3.2,33.3,66.7,0.93,2024,0.74,0.99,0.59,-0.4
2015,1천만원 미만,40.9,23.9,6.7,28.5,71.5,1.11,2024,0.74,0.99,0.59,-0.4
2015,1천만원~3천만원 미만,44.1,21.8,4.2,29.9,70.1,1.01,2024,0.74,0.99,0.59,-0.4
2015,3천만원~5천만원 미만,46.4,19.7,2.5,31.5,68.5,0.94,2024,0.74,0.99,0.59,-0.4
2015,5천만원~7천만원 미만,44.0,17.7,1.7,36.6,63.4,0.85,2024,0.74,0.99,0.59,-0.4
2015,7천만원~1억원 미만,42.6,15.9,1.3,40.1,59.9,0.79,2024,0.74,0.99,0.59,-0.4
2015,1억원 이상,42.1,15.4,1.3,41.2,58.8,0.77,2024,0.74,0.99,0.59,-0.4
2016,합계,43.6,19.3,3.1,33.9,66.1,0.92,2024,0.74,0.99,0.59,-0.4
2016,1천만원 미만,41.4,24.0,6.6,28.1,71.9,1.11,2024,0.74,0.99,0.59,-0.4
2016,1천만원~3천만원 미만,44.0,21.5,4.2,30.3,69.7,1.01,2024,0.74,0.99,0.59,-0.4
2016,3천만원~5천만원 미만,46.1,19.5,2.5,31.9,68.1,0.93,2024,0.74,0.99,0.59,-0.4
2016,5천만원~7천만원 미만,43.7,17.5,1.8,37.0,63.0,0.84,2024,0.74,0.99,0.59,-0.4
2016,7천만원~1억원 미만,41.9,15.6,1.5,41.0,59.0,0.78,2024,0.74,0.99,0.59,-0.4
2016,1억원 이상,41.4,15.2,1.3,42.1,57.9,0.76,2024,0.74,0.99,0.59,-0.4
2017,합계,43.4,18.7,3.0,34.9,65.1,0.91,2024,0.74,0.99,0.59,-0.4
2017,1천만원 미만,39.6,24.8,6.9,28.6,71.4,1.12,2024,0.74,0.99,0.59,-0.4
2017,1천만원~3천만원 미만,43.7,21.5,4.2,30.7,69.3,1.0,2024,0.74,0.99,0.59,-0.4
2017,3천만원~5천만원 미만,46.4,18.2,2.6,32.8,67.2,0.91,2024,0.74,0.99,0.59,-0.4
2017,5천만원~7천만원 미만,43.1,16.9,1.9,38.1,61.9,0.83,2024,0.74,0.99,0.59,-0.4
2017,7천만원~1억원 미만,42.0,15.6,1.3,41.1,58.9,0.77,2024,0.74,0.99,0.59,-0.4
2017,1억원 이상,42.5,13.5,1.1,42.8,57.2,0.73,2024,0.74,0.99,0.59,-0.4
2018,합계,42.1,17.8,2.9,37.1,62.9,0.87,2024,0.74,0.99,0.59,-0.4
2018,1천만원 미만,38.0,24.1,6.6,31.3,68.7,1.08,2024,0.74,0.99,0.59,-0.4
2018,1천만원~3천만원 미만,42.4,21.3,4.6,31.8,68.2,1.0,2024,0.74,0.99,0.59,-0.4
2018,3천만원~5천만원 미만,45.2,18.1,2.8,33.8,66.2,0.91,2024,0.74,0.99,0.59,-0.4
2018,5천만원~7천만원 미만,42.9,16.1,1.5,39.4,60.6,0.8,2024,0.74,0.99,0.59,-0.4
2018,7천만원~1억원 미만,40.5,13.3,1.2,44.9,55.1,0.71,2024,0.74,0.99,0.59,-0.4
2018,1억원 이상,39.9,12.9,1.0,46.2,53.8,0.69,2024,0.74,0.99,0.59,-0.4
2019,합계,41.1,16.9,2.9,39.1,60.9,0.84,2024,0.74,0.99,0.59,-0.4
2019,1천만원 미만,38.2,23.0,7.7,31.1,68.9,1.1,2024,0.74,0.99,0.59,-0.4
2019,1천만원~3천만원 미만,42.1,20.8,4.1,33.0,67.0,0.97,2024,0.74,0.99,0.59,-0.4
2019,3천만원~5천만원 미만,43.9,17.8,2.5,35.8,64.2,0.88,2024,0.74,0.99,0.59,-0.4
2019,5천만원~7천만원 미만,41.5,15.4,1.8,41.4,58.6,0.78,2024,0.74,0.99,0.59,-0.4
2019,7천만원~1억원 미만,38.9,12.2,1.3,47.6,52.4,0.67,2024,0.74,0.99,0.59,-0.4
2019,1억원 이상,38.7,11.8,1.0,48.5,51.5,0.65,2024,0.74,0.99,0.59,-0.4
2020,합계,40.3,16.0,2.8,40.9,59.1,0.81,2024,0.74,0.99,0.59,-0.4
2020,1천만원 미만,37.6,22.1,6.8,33.5,66.5,1.05,2024,0.74,0.99,0.59,-0.4
2020,1천만원~3천만원 미만,40.8,20.4,4.3,34.5,65.5,0.95,2024,0.74,0.99,0.59,-0.4
2020,3천만원~5천만원 미만,43.1,16.2,2.9,37.8,62.2,0.85,2024,0.74,0.99,0.59,-0.4
2020,5천만원~7천만원 미만,40.6,14.6,1.8,43.0,57.0,0.76,2024,0.74,0.99,0.59,-0.4
2020,7천만원~1억원 미만,38.4,12.0,1.3,48.3,51.7,0.67,2024,0.74,0.99,0.59,-0.4
2020,1억원 이상,38.9,11.7,0.8,48.6,51.4,0.65,2024,0.74,0.99,0.59,-0.4
2021,합계,39.8,15.5,2.8,41.9,58.1,0.8,2024,0.74,0.99,0.59,-0.4
2021,1천만원 미만,37.9,22.2,7.0,32.8,67.2,1.06,2024,0.74,0.99,0.59,-0.4
2021,1천만원~3천만원 미만,40.8,19.8,4.5,34.9,65.1,0.95,2024,0.74,0.99,0.59,-0.4
2021,3천만원~5천만원 미만,42.4,16.7,2.8,38.0,62.0,0.85,2024,0.74,0.99,0.59,-0.4
