year,income_group,one_child_pct,two_child_pct,three_plus_child_pct,no_child_pct,has_child_pct,avg_births,latest_year,latest_total_avg_births,latest_total_no_child_pct
2015,합계,47.9,15.9,0.6,35.5,64.5,0.82,2024,0.61,48.8
2015,1천만원 미만,50.6,17.6,1.0,30.9,69.1,0.89,2024,0.61,48.8
2015,1천만원~3천만원 미만,49.9,17.1,0.8,32.2,67.8,0.87,2024,0.61,48.8
2015,3천만원~5천만원 미만,49.5,17.0,0.6,32.9,67.1,0.85,2024,0.61,48.8
2015,5천만원~7천만원 미만,45.9,15.2,0.5,38.4,61.6,0.78,2024,0.61,48.8
2015,7천만원~1억원 미만,44.3,13.3,0.4,42.1,57.9,0.72,2024,0.61,48.8
2015,1억원 이상,43.8,12.6,0.3,43.3,56.7,0.7,2024,0.61,48.8
2016,합계,47.7,15.4,0.6,36.3,63.7,0.8,2024,0.61,48.8
2016,1천만원 미만,51.2,17.6,1.1,30.2,69.8,0.9,2024,0.61,48.8
2016,1천만원~3천만원 미만,50.1,16.4,0.8,32.8,67.2,0.85,2024,0.61,48.8
2016,3천만원~5천만원 미만,49.4,16.6,0.6,33.5,66.5,0.84,2024,0.61,48.8
2016,5천만원~7천만원 미만,45.8,14.9,0.5,38.8,61.2,0.77,2024,0.61,48.8
2016,7천만원~1억원 미만,43.5,12.8,0.4,43.2,56.8,0.7,2024,0.61,48.8
2016,1억원 이상,43.1,12.0,0.3,44.5,55.5,0.68,2024,0.61,48.8
2017,합계,47.3,14.6,0.6,37.5,62.5,0.78,2024,0.61,48.8
2017,1천만원 미만,48.6,17.3,1.0,33.1,66.9,0.86,2024,0.61,48.8
2017,1천만원~3천만원 미만,49.8,15.8,0.8,33.6,66.4,0.84,2024,0.61,48.8
2017,3천만원~5천만원 미만,49.9,15.1,0.6,34.4,65.6,0.82,2024,0.61,48.8
2017,5천만원~7천만원 미만,45.0,14.4,0.5,40.1,59.9,0.75,2024,0.61,48.8
2017,7천만원~1억원 미만,44.0,12.9,0.3,42.9,57.1,0.71,2024,0.61,48.8
2017,1억원 이상,44.5,10.8,0.3,44.4,55.6,0.67,2024,0.61,48.8
2018,합계,45.9,13.5,0.5,40.2,59.8,0.74,2024,0.61,48.8
2018,1천만원 미만,46.2,16.7,0.6,36.5,63.5,0.81,2024,0.61,48.8
2018,1천만원~3천만원 미만,48.5,15.5,0.8,35.2,64.8,0.82,2024,0.61,48.8
2018,3천만원~5천만원 미만,49.0,14.8,0.6,35.7,64.3,0.8,2024,0.61,48.8
2018,5천만원~7천만원 미만,45.0,13.4,0.3,41.3,58.7,0.73,2024,0.61,48.8
2018,7천만원~1억원 미만,42.4,10.1,0.3,47.3,52.7,0.63,2024,0.61,48.8
2018,1억원 이상,41.7,9.6,0.2,48.6,51.4,0.61,2024,0.61,48.8
2019,합계,44.7,12.4,0.5,42.5,57.5,0.71,2024,0.61,48.8
2019,1천만원 미만,47.9,14.9,1.0,36.1,63.9,0.81,2024,0.61,48.8
2019,1천만원~3천만원 미만,47.6,14.7,0.7,37.0,63.0,0.79,2024,0.61,48.8
2019,3천만원~5천만원 미만,47.6,13.9,0.4,38.0,62.0,0.77,2024,0.61,48.8
2019,5천만원~7천만원 미만,43.7,12.4,0.4,43.5,56.5,0.7,2024,0.61,48.8
