year,unknown_marital_status_births,total_births,nonmarital_births,marital_births,known_marital_status_births,nonmarital_birth_share_pct,nonmarital_share_among_known_pct,latest_year,latest_nonmarital_births,latest_nonmarital_birth_share_pct
1997,56,675394,6624,668714,675338,0.98,0.98,2024,13827,5.8
1998,121,641594,6706,634767,641473,1.05,1.05,2024,13827,5.8
1999,1473,620668,7074,612121,619195,1.14,1.14,2024,13827,5.8
2000,1742,640089,7614,630733,638347,1.19,1.19,2024,13827,5.8
2001,1967,559934,7119,550848,557967,1.27,1.28,2024,13827,5.8
2002,3870,496911,6957,486084,493041,1.4,1.41,2024,13827,5.8
2003,4352,495036,7824,482860,490684,1.58,1.59,2024,13827,5.8
2004,3402,476958,7729,465827,473556,1.62,1.63,2024,13827,5.8
2005,2920,438707,7848,427939,435787,1.79,1.8,2024,13827,5.8
2006,2613,451759,7980,441166,449146,1.77,1.78,2024,13827,5.8
2007,2140,496822,8868,485814,494682,1.78,1.79,2024,13827,5.8
2008,2093,465892,8362,455437,463799,1.79,1.8,2024,13827,5.8
2009,1781,444849,8677,434391,443068,1.95,1.96,2024,13827,5.8
2010,1989,470171,9636,458546,468182,2.05,2.06,2024,13827,5.8
2011,1078,471265,9954,460233,470187,2.11,2.12,2024,13827,5.8
2012,1067,484550,10141,473342,483483,2.09,2.1,2024,13827,5.8
2013,700,436455,9332,426423,435755,2.14,2.14,2024,13827,5.8
2014,653,435435,8459,426323,434782,1.94,1.95,2024,13827,5.8
2015,276,438420,8152,429992,438144,1.86,1.86,2024,13827,5.8
2016,219,406243,7781,398243,406024,1.92,1.92,2024,13827,5.8
2017,174,357771,6951,350646,357597,1.94,1.94,2024,13827,5.8
2018,194,326822,7166,319462,326628,2.19,2.19,2024,13827,5.8
2019,154,302676,6974,295548,302522,2.3,2.31,2024,13827,5.8
2020,127,272337,6876,265334,272210,2.52,2.53,2024,13827,5.8
2021,92,260562,7682,252788,260470,2.95,2.95,2024,13827,5.8
2022,84,249186,9763,239339,249102,3.92,3.92,2024,13827,5.8
2023,63,230028,10857,219108,229965,4.72,4.72,2024,13827,5.8
2024,85,238317,13827,224405,238232,5.8,5.8,2024,13827,5.8
