year,age,age_label,consumption_thousand_krw_per_person,labor_income_thousand_krw_per_person,lifecycle_deficit_thousand_krw_per_person,consumption_million_krw_per_person,labor_income_million_krw_per_person,lifecycle_deficit_million_krw_per_person,lifecycle_surplus_million_krw_per_person
2022,0,0세,14353.125436466,,14353.125436466,14.353,,14.353,-14.353
2022,1,1세,14403.785486266,,14403.785486266,14.404,,14.404,-14.404
2022,2,2세,14454.448489773,,14454.448489773,14.454,,14.454,-14.454
2022,3,3세,14505.109244724,,14505.109244724,14.505,,14.505,-14.505
2022,4,4세,14555.771422513,,14555.771422513,14.556,,14.556,-14.556
2022,5,5세,14642.674334628,,14642.674334628,14.643,,14.643,-14.643
2022,6,6세,31950.842501813,,31950.842501813,31.951,,31.951,-31.951
2022,7,7세,35260.501543909,,35260.501543909,35.261,,35.261,-35.261
2022,8,8세,36351.321962704,,36351.321962704,36.351,,36.351,-36.351
2022,9,9세,36944.291627782,,36944.291627782,36.944,,36.944,-36.944
2022,10,10세,36980.120025093,,36980.120025093,36.98,,36.98,-36.98
2022,11,11세,37583.950361079,,37583.950361079,37.584,,37.584,-37.584
2022,12,12세,37713.43280865,,37713.43280865,37.713,,37.713,-37.713
2022,13,13세,37925.981015894,,37925.981015894,37.926,,37.926,-37.926
2022,14,14세,39638.628815193,,39638.628815193,39.639,,39.639,-39.639
2022,15,15세,39026.144675633,0.0,39026.144675633,39.026,0.0,39.026,-39.026
2022,16,16세,39347.990004698,0.0,39347.990004698,39.348,0.0,39.348,-39.348
2022,17,17세,41124.683350859,348.874250735,40775.809100124,41.125,0.349,40.776,-40.776
2022,18,18세,28052.079179417,2155.704255243,25896.374924175,28.052,2.156,25.896,-25.896
2022,19,19세,27506.376558284,3966.536186049,23539.840372235,27.506,3.967,23.54,-23.54
2022,20,20세,29727.626532312,5777.365561211,23950.260971101,29.728,5.777,23.95,-23.95
2022,21,21세,27195.42316288,7891.217486799,19304.205676081,27.195,7.891,19.304,-19.304
2022,22,22세,26909.550782948,10103.672176187,16805.878606761,26.91,10.104,16.806,-16.806
2022,23,23세,26303.130031862,12839.593243724,13463.536788138,26.303,12.84,13.464,-13.464
2022,24,24세,25788.835293188,16058.298368799,9730.536924389,25.789,16.058,9.731,-9.731
2022,25,25세,25501.209516926,18977.30651413,6523.903002795,25.501,18.977,6.524,-6.524
2022,26,26세,25590.842042322,22274.297773819,3316.544268502,25.591,22.274,3.317,-3.317
2022,27,27세,25819.150007569,24825.780549678,993.369457891,25.819,24.826,0.993,-0.993
2022,28,28세,25798.345081648,27079.458964618,-1281.11388297,25.798,27.079,-1.281,1.281
2022,29,29세,25789.984147322,29854.579161673,-4064.595014351,25.79,29.855,-4.065,4.065
2022,30,30세,26112.348700941,32097.223108698,-5984.874407758,26.112,32.097,-5.985,5.985
2022,31,31세,26444.027872864,33627.819207043,-7183.791334179,26.444,33.628,-7.184,7.184
2022,32,32세,26614.058040377,35046.066494975,-8432.008454598,26.614,35.046,-8.432,8.432
2022,33,33세,26856.168049465,36539.095559997,-9682.927510532,26.856,36.539,-9.683,9.683
2022,34,34세,26899.608947467,37507.112460436,-10607.503512969,26.9,37.507,-10.608,10.608
2022,35,35세,26811.618179623,37786.303933894,-10974.685754271,26.812,37.786,-10.975,10.975
2022,36,36세,26801.378549927,38483.450808905,-11682.072258978,26.801,38.483,-11.682,11.682
2022,37,37세,26608.440218782,38578.701265769,-11970.261046988,26.608,38.579,-11.97,11.97
2022,38,38세,26313.74954204,39481.843354274,-13168.093812235,26.314,39.482,-13.168,13.168
2022,39,39세,26058.743586174,40340.215237446,-14281.471651271,26.059,40.34,-14.281,14.281
2022,40,40세,25754.773791566,40514.705723237,-14759.931931671,25.755,40.515,-14.76,14.76
2022,41,41세,25648.713267714,41384.674211032,-15735.960943318,25.649,41.385,-15.736,15.736
2022,42,42세,25500.840262754,42306.800693239,-16805.960430485,25.501,42.307,-16.806,16.806
2022,43,43세,25366.518390505,42895.779344807,-17529.260954302,25.367,42.896,-17.529,17.529
2022,44,44세,25293.625615057,42773.746135541,-17480.120520484,25.294,42.774,-17.48,17.48
2022,45,45세,25153.827578553,42336.810175705,-17182.982597152,25.154,42.337,-17.183,17.183
2022,46,46세,25031.629659887,42121.033288625,-17089.403628738,25.032,42.121,-17.089,17.089
2022,47,47세,25020.762181021,41986.644110183,-16965.881929163,25.021,41.987,-16.966,16.966
2022,48,48세,24986.054344561,41136.453255928,-16150.398911367,24.986,41.136,-16.15,16.15
2022,49,49세,25076.207724176,41076.301792091,-16000.094067915,25.076,41.076,-16.0,16.0
2022,50,50세,25168.764589152,40673.427986136,-15504.663396984,25.169,40.673,-15.505,15.505
2022,51,51세,25234.63798169,39792.613506706,-14557.975525016,25.235,39.793,-14.558,14.558
2022,52,52세,25352.970195359,38070.185944132,-12717.215748773,25.353,38.07,-12.717,12.717
2022,53,53세,25526.613572135,37575.894603505,-12049.28103137,25.527,37.576,-12.049,12.049
2022,54,54세,25574.712418439,36363.81090922,-10789.098490781,25.575,36.364,-10.789,10.789
2022,55,55세,25710.56647704,35219.026002951,-9508.459525911,25.711,35.219,-9.508,9.508
