year,age_group,amount_thousand_krw_per_person,amount_million_krw_per_person,age_group_order
2010,0-14세,546.3,0.546,1
2011,0-14세,565.2,0.565,1
2012,0-14세,575.3,0.575,1
2013,0-14세,590.0,0.59,1
2014,0-14세,638.3,0.638,1
2015,0-14세,677.9,0.678,1
2016,0-14세,732.8,0.733,1
2017,0-14세,766.1,0.766,1
2018,0-14세,875.4,0.875,1
2019,0-14세,1005.2,1.005,1
2020,0-14세,818.5,0.818,1
2021,0-14세,919.2,0.919,1
2022,0-14세,1208.0,1.208,1
2010,15-44세,393.8,0.394,2
2011,15-44세,405.4,0.405,2
2012,15-44세,414.7,0.415,2
2013,15-44세,430.5,0.43,2
2014,15-44세,463.4,0.463,2
2015,15-44세,487.2,0.487,2
2016,15-44세,512.7,0.513,2
2017,15-44세,562.7,0.563,2
2018,15-44세,621.7,0.622,2
2019,15-44세,683.9,0.684,2
2020,15-44세,713.0,0.713,2
2021,15-44세,817.4,0.817,2
2022,15-44세,938.7,0.939,2
2010,45-64세,1212.9,1.213,3
2011,45-64세,1249.5,1.25,3
2012,45-64세,1257.6,1.258,3
2013,45-64세,1288.9,1.289,3
2014,45-64세,1341.0,1.341,3
2015,45-64세,1387.1,1.387,3
2016,45-64세,1463.7,1.464,3
2017,45-64세,1549.8,1.55,3
2018,45-64세,1702.1,1.702,3
2019,45-64세,1832.7,1.833,3
2020,45-64세,1914.0,1.914,3
2021,45-64세,2116.0,2.116,3
2022,45-64세,2209.1,2.209,3
2010,65-74세,2419.9,2.42,4
2011,65-74세,2498.5,2.498,4
2012,65-74세,2520.3,2.52,4
2013,65-74세,2595.8,2.596,4
2014,65-74세,2713.0,2.713,4
2015,65-74세,2849.7,2.85,4
2016,65-74세,3070.0,3.07,4
2017,65-74세,3272.7,3.273,4
2018,65-74세,3651.0,3.651,4
2019,65-74세,3956.9,3.957,4
2020,65-74세,4082.5,4.082,4
2021,65-74세,4456.3,4.456,4
2022,65-74세,4598.6,4.599,4
2010,75-84세,3156.4,3.156,5
2011,75-84세,3369.7,3.37,5
2012,75-84세,3543.2,3.543,5
2013,75-84세,3779.2,3.779,5
2014,75-84세,4074.5,4.074,5
2015,75-84세,4342.1,4.342,5
2016,75-84세,4651.5,4.652,5
2017,75-84세,4978.4,4.978,5
2018,75-84세,5516.0,5.516,5
2019,75-84세,5886.8,5.887,5
2020,75-84세,6054.0,6.054,5
2021,75-84세,6492.8,6.493,5
2022,75-84세,6668.3,6.668,5
2010,85세 이상,3437.3,3.437,6
2011,85세 이상,3764.1,3.764,6
2012,85세 이상,4079.0,4.079,6
2013,85세 이상,4472.0,4.472,6
2014,85세 이상,4896.7,4.897,6
2015,85세 이상,5233.7,5.234,6
2016,85세 이상,5670.8,5.671,6
2017,85세 이상,6148.3,6.148,6
2018,85세 이상,6811.5,6.812,6
2019,85세 이상,7125.3,7.125,6
2020,85세 이상,7357.8,7.358,6
2021,85세 이상,7814.9,7.815,6
2022,85세 이상,8022.6,8.023,6
