year,age,age_label,amount_thousand_krw_per_person,amount_million_krw_per_person
2010,0,0세,935.02378668,0.935
2010,1,1세,872.416606778,0.872
2010,2,2세,809.809432736,0.81
2010,3,3세,747.202261352,0.747
2010,4,4세,684.595089056,0.685
2010,5,5세,621.987909057,0.622
2010,6,6세,559.380739562,0.559
2010,7,7세,516.764571073,0.517
2010,8,8세,464.529318159,0.465
2010,9,9세,417.114793513,0.417
2010,10,10세,369.210663907,0.369
2010,11,11세,332.254438052,0.332
2010,12,12세,305.364433547,0.305
2010,13,13세,285.831903663,0.286
2010,14,14세,272.545746568,0.273
2010,15,15세,265.550997055,0.266
2010,16,16세,262.929776283,0.263
2010,17,17세,260.962301446,0.261
2010,18,18세,262.150395096,0.262
2010,19,19세,266.272564176,0.266
2010,20,20세,270.318622068,0.27
2010,21,21세,277.721753971,0.278
2010,22,22세,286.848090947,0.287
2010,23,23세,295.574463848,0.296
2010,24,24세,305.917610618,0.306
2010,25,25세,318.198754521,0.318
2010,26,26세,329.62076936,0.33
2010,27,27세,346.07011205,0.346
2010,28,28세,360.616925093,0.361
2010,29,29세,372.991683289,0.373
2010,30,30세,384.99246688,0.385
2010,31,31세,397.253603296,0.397
2010,32,32세,408.272939317,0.408
2010,33,33세,421.000120216,0.421
2010,34,34세,434.322271168,0.434
2010,35,35세,446.502714498,0.447
2010,36,36세,462.045623299,0.462
2010,37,37세,475.725110407,0.476
2010,38,38세,488.02387226,0.488
2010,39,39세,506.684334896,0.507
2010,40,40세,527.783554938,0.528
2010,41,41세,546.298782816,0.546
2010,42,42세,577.90713687,0.578
2010,43,43세,609.110958451,0.609
2010,44,44세,645.878727774,0.646
2010,45,45세,685.933969118,0.686
2010,46,46세,726.508752317,0.727
2010,47,47세,772.884342462,0.773
2010,48,48세,820.49189508,0.82
2010,49,49세,867.265167396,0.867
2010,50,50세,921.706686557,0.922
2010,51,51세,974.280304507,0.974
2010,52,52세,1035.170989655,1.035
2010,53,53세,1089.337946644,1.089
2010,54,54세,1148.951356522,1.149
2010,55,55세,1205.198266297,1.205
2010,56,56세,1266.45210888,1.266
2010,57,57세,1328.482629523,1.328
2010,58,58세,1401.12522268,1.401
2010,59,59세,1462.100568211,1.462
2010,60,60세,1538.6732478,1.539
2010,61,61세,1608.728584313,1.609
2010,62,62세,1712.703132718,1.713
2010,63,63세,1800.999906568,1.801
2010,64,64세,1891.46983311,1.891
2010,65,65세,1980.061006826,1.98
2010,66,66세,2080.507379552,2.081
2010,67,67세,2177.112758962,2.177
2010,68,68세,2275.6084924,2.276
2010,69,69세,2377.680653186,2.378
2010,70,70세,2481.005648523,2.481
2010,71,71세,2568.782437713,2.569
2010,72,72세,2668.975530923,2.669
2010,73,73세,2750.022631969,2.75
2010,74,74세,2839.715122252,2.84
2010,75,75세,2898.965919649,2.899
2010,76,76세,2973.196558148,2.973
2010,77,77세,3047.506005401,3.048
2010,78,78세,3099.915611169,3.1
2010,79,79세,3128.999535828,3.129
2010,80,80세,3180.387441641,3.18
2010,81,81세,3231.775343608,3.232
2010,82,82세,3283.163239683,3.283
2010,83,83세,3334.55112695,3.335
2010,84,84세,3385.939045675,3.386
2010,85,85세 이상,3437.32692898,3.437
2015,0,0세,1163.959761004,1.164
2015,1,1세,1085.476263557,1.085
2015,2,2세,1006.99275875,1.007
2015,3,3세,928.509258979,0.929
2015,4,4세,850.025754336,0.85
2015,5,5세,771.542257908,0.772
2015,6,6세,693.05875118,0.693
2015,7,7세,613.151329677,0.613
2015,8,8세,554.668238648,0.555
2015,9,9세,505.705592343,0.506
2015,10,10세,460.612259447,0.461
2015,11,11세,425.512414687,0.426
2015,12,12세,392.02825444,0.392
2015,13,13세,366.523725865,0.367
2015,14,14세,351.20184271,0.351
2015,15,15세,336.280870234,0.336
2015,16,16세,328.360218144,0.328
2015,17,17세,325.915739406,0.326
2015,18,18세,327.634581594,0.328
2015,19,19세,330.440209992,0.33
2015,20,20세,336.984152884,0.337
2015,21,21세,346.376574705,0.346
2015,22,22세,355.624936811,0.356
2015,23,23세,366.112294741,0.366
2015,24,24세,380.351476731,0.38
2015,25,25세,394.173425029,0.394
2015,26,26세,412.509247946,0.413
2015,27,27세,430.980382207,0.431
2015,28,28세,449.967149954,0.45
2015,29,29세,467.828950473,0.468
2015,30,30세,487.198695605,0.487
2015,31,31세,500.982198902,0.501
2015,32,32세,519.321808676,0.519
2015,33,33세,534.535475014,0.535
2015,34,34세,549.227014737,0.549
2015,35,35세,562.894096466,0.563
2015,36,36세,577.309681719,0.577
2015,37,37세,589.888361993,0.59
2015,38,38세,605.677203963,0.606
2015,39,39세,622.607629575,0.623
2015,40,40세,640.721034269,0.641
2015,41,41세,666.145076863,0.666
2015,42,42세,693.869238563,0.694
2015,43,43세,720.007568272,0.72
2015,44,44세,756.288327041,0.756
2015,45,45세,797.713802923,0.798
2015,46,46세,833.210821801,0.833
2015,47,47세,884.997199097,0.885
2015,48,48세,932.729839597,0.933
2015,49,49세,987.265703017,0.987
2015,50,50세,1046.870193371,1.047
2015,51,51세,1104.870223907,1.105
2015,52,52세,1170.904676807,1.171
2015,53,53세,1237.312261379,1.237
2015,54,54세,1299.987976237,1.3
2015,55,55세,1372.196414022,1.372
2015,56,56세,1444.77288767,1.445
2015,57,57세,1523.158348695,1.523
2015,58,58세,1598.825017821,1.599
2015,59,59세,1679.508281773,1.68
2015,60,60세,1767.511557888,1.768
2015,61,61세,1860.568154902,1.861
2015,62,62세,1955.554785203,1.956
2015,63,63세,2075.472817968,2.075
2015,64,64세,2169.14483743,2.169
2015,65,65세,2277.599604317,2.278
2015,66,66세,2369.436675368,2.369
2015,67,67세,2507.614293611,2.508
2015,68,68세,2638.534632434,2.639
2015,69,69세,2765.915252418,2.766
2015,70,70세,2903.106626589,2.903
2015,71,71세,3047.087556938,3.047
2015,72,72세,3193.152047401,3.193
2015,73,73세,3324.726045686,3.325
2015,74,74세,3469.678793364,3.47
2015,75,75세,3618.563298256,3.619
2015,76,76세,3745.102385069,3.745
2015,77,77세,3907.381140583,3.907
2015,78,78세,4059.124283512,4.059
2015,79,79세,4287.670081706,4.288
2015,80,80세,4445.334509219,4.445
2015,81,81세,4602.998928838,4.603
2015,82,82세,4760.663347128,4.761
